"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","coordinatePrecision","imagecode","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","788694","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stifftia","parviflora","Stifftia parviflora","D.Don","J. F. Pruski","W. Hoehne","6221","1968","08","14","South America","Brazil","São Paulo","Aguas de Lindóia","Perto das termas de Lindoia.","-46.63","-22.47","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=375381' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","788697","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stifftia","parviflora","Stifftia parviflora","D.Don","S. F. Blake","D. Lemos","17110","1923","08",NA,"South America","Brazil","São Paulo",NA,"Piasságuera.","-46.387953","-23.873871","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=375383' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","788695","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stifftia","parviflora","Stifftia parviflora","D.Don",NA,"A. P. Duarte","5891","1961","07","18","South America","Brazil","Rio de Janeiro",NA,"Estado da Guanabara, Restinga de Jacarepaguá.","-43.397161","-23.010952","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=375385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788695",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","788699","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stifftia","parviflora","Stifftia parviflora","D.Don",NA,"L. Riedel","771","1832","08",NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=375387' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","788698","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stifftia","parviflora","Stifftia parviflora","D.Don","G. M. Barroso","B. D. Sucre","7062","1970","08","17","South America","Brazil","Rio de Janeiro",NA,"Estado da Guanabara. Do Recreio dos Bandeirantes.","-43.482796","-23.016442","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=375382' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788698",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","788696","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stifftia","parviflora","Stifftia parviflora","D.Don",NA,"A. P. Duarte","4977","1959","08","18","South America","Brazil","Rio de Janeiro",NA,"Guanabara, Jacarepaguá, Recreio dos Bandeirantes.","-43.482796","-23.016442","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=375386' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788696",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","788700","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stifftia","parviflora","Stifftia parviflora","D.Don",NA,"L. Riedel","388",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=375384' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:35:08-03","EAO","IAN","13801","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Stifftia","parviflora","Stifftia parviflora","(Spreng.) D.Don","Barreto, M","Magalhães, MG","974","1941","09","27","Southern America","Brasil","Minas Gerais","Betim","Capoeira, Ibireté.","-44.198299407959","-19.9678001403809",NA,"Árvore de 6m de altura; flores alvas, muito frequente.","IAN013801","15199","IAN013801 IAN013801_e","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:51:43-03","NBC","NL-BOTANY","L.1822165","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Stifftia","parviflora","Stifftia parviflora","(Leandro) D.Don",NA,"Martius CFP von",NA,"1847","01","01","Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1822165 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1822165",NA,"NL-L1822165",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:51:43-03","NBC","NL-BOTANY","L.1822166","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Stifftia","parviflora","Stifftia parviflora","(Leandro) D.Don",NA,"Riedel JGF",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1822166 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1822166",NA,"NL-L1822166",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 08:51:43-03","NBC","NL-BOTANY","L.1822167","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Stifftia","parviflora","Stifftia parviflora","(Leandro) D.Don",NA,"Pohl JE; Schott HW",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1822167 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1822167",NA,"NL-L1822167",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 08:51:43-03","NBC","NL-BOTANY","U.1138255","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Stifftia","parviflora","Stifftia parviflora","(Leandro) D.Don",NA,"Duarte AP",NA,"1959","08","18","Southern America","Brazil",NA,NA,"Graunabara, Jacarepaguá, Recreio dos Baudeuanles.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1138255 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1138255",NA,"NL-U1138255",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 08:51:43-03","NBC","NL-BOTANY","U.1138256","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Stifftia","parviflora","Stifftia parviflora","(Leandro) D.Don",NA,"Duarte AP",NA,"1961","07","18","Southern America","Brazil",NA,NA,"Est. da Guanabara, Restinga de Jacarepaguá.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1138256 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1138256",NA,"NL-U1138256",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:02:25-03","ESALQ","ESA","128911","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Stifftia","parviflora","Stifftia parviflora","D. Don","Roque, N.","Colletta, G.D.","1291.0","2013","08","29",NA,"Brasil","São Paulo","Ilhabela","Norte da ilha, perto da armação, altura 7609.","-45.3499984741211","-23.7700004577637",NA,"Árvore, 9m, troco fissurado, casca interna preta","ESA128911","23719",NA,"auto",NA,"2016","07","06",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:02:25-03","ESALQ","ESA","76970","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Stifftia","parviflora","Stifftia parviflora","(Spreng.) D.Don","Mello Barreto","Mello Barreto","11199.0","1941","09","13",NA,"Brasil","Minas Gerais","Santa Luzia",NA,"-43.8513984680176","-19.7696990966797",NA,NA,"ESA076970","19939","ESA076970","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-01-14 15:24:27-03","MN","R","10599","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Stifftia","parviflora","Stifftia parviflora","D.Don",NA,"Glaziou, A.F.M.","21676","1895","10","07",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000010599",NA,"R000010599_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-07-02 14:00:58-03","JBP","HPL","9726","S","Plantae",NA,NA,"Asteraceae","Stifftia","parviflora","Stifftia parviflora",NA,"H. Lorenzi","H. Lorenzi","344","1993","08","28",NA,"Brasil","SP","Itapira","Coletado nas proximidades da localidade de Eleutério.","-46.82","-22.43",NA,NA,NA,"19933",NA,"auto",NA,"1993","08","28",NA,NA,NA,NA,NA,NA,NA
"18","2015-07-02 14:00:58-03","JBP","HPL","10451","S","Plantae",NA,NA,"Asteraceae","Stifftia","parviflora","Stifftia parviflora",NA,"R. Tsuji","R. Tsuji","2126","2007","09","05",NA,"Brasil","SP","Jacupiranga","Coletado nas proximidades do município de Jacupiranga, sentido Pariquera-açu.","-48","-24.69",NA,NA,NA,"35797",NA,"auto",NA,"2007","09","05",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:25:19-03","UNICAMP","UEC","181775","S","Plantae","Magnoliopsida",NA,"Asteraceae","Stifftia","parviflora","Stifftia parviflora","(Spreng.) D.Don","Monge, M","Luz, AA","511","2009","09","24",NA,"Brazil","Espírito Santo","Baixo Guandu","Estrada: Baixo Guandú à Itambé","-29.268056","-78.488972",NA,"Porte: aArbóreo&nf;Forma Fuste: Cilíndrico&nf;Forma Vida: Terrestre&nf;Superfície Casca: áspera&nf;Altura Total (m): 6,0&nf;Altura Fuste (m): 1&nf;Cap Fuste (cm): 45&nf;Diametro Copa(m): 3&nf;Cor Fruto Maduro: Marrom&nf;Cor Fruto Imaturo: Verde&nf;Descama","UEC038054",NA,"UEC038054",NA,NA,"2011","08","17","-29.268056","-78.488972",NA,NA,NA,NA,NA
