"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-04-05 14:33:32-03","UNESC","CRI","2720","PreservedSpecimen","Plantae","Fabaceae","Desmodium","discolor","Desmodium discolor","Vogel","Daiane Martins Freitas","2011","09","01","R. Reitz; R. M. Klein","1959","03","21","Brasil","Santa Catarina","Urussanga","-49.3175","-28.5225","49º19'3''W","28º31'21''S","CRI002781","CRI002781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:26-03","UNESC","CRI","13540","PreservedSpecimen","Plantae","Leguminosae","Desmodium","subsecundum","Desmodium subsecundum","Vogel","Renato Colares","2018","05","29","Renato Colares; Thuany Machado","2018","03",NA,"Brasil","Santa Catarina","Treviso","-49.4475","-28.541111","49º26'51''W","28º32'28''S","CRI012147",NA,"Campo Morozini","161","161","Coletada em área em processo de recuperação ambiental. Estágio sucessional médio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:34-03","E","E","287451","PreservedSpecimen","Plantae","Leguminosae","Desmodium","discolor","Desmodium discolor",NA,NA,NA,NA,NA,"Brooks, R.R.; Reeves, R.D.; Baker, A.J.M.; Diaz Ferreira, H.","1988","04","08","BR",NA,NA,NA,NA,NA,NA,"E00287451",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00287451 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","17","E. Tropical South America","herbarium specimen of unspecif","BGBASE:298804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01131878","PreservedSpecimen","Plantae","Fabaceae","Desmodium","discolor","Desmodium discolor","Vogel","G. P. Lewis",NA,NA,NA,"V. C. Souza","1994","02","11","Brazil","Minas Gerais","Pedra Azul","-41.2969","-16.0056",NA,NA,"NY01131878","NY01131878_01","ca. 15 km. (em linha reta) da cidade km. 47 da BR-116.","790","790","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1281606' target='other'> <mi>dwc_moreinfo</mi></a>","5179","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01019990","PreservedSpecimen","Plantae","Fabaceae","Desmodium","discolor","Desmodium discolor","Vogel",NA,NA,NA,NA,"A. F. Regnell",NA,NA,NA,"Brazil","Minas Gerais","Caldas","-46.3873839","-21.9230619",NA,NA,"NY01019990","NY01019990_01","Caldas",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139078' target='other'> <mi>dwc_moreinfo</mi></a>","I:88","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","594254","PreservedSpecimen","Plantae","Fabaceae","Desmodium","discolor","Desmodium discolor","Vogel","E. Pereira",NA,NA,NA,"G. F. J. Pabst","1957","05","15","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY00594254","NY00594254_01","Km. 75 da rodovia BR-2 entre Monumento Rodoviário e Rezende",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=642214' target='other'> <mi>dwc_moreinfo</mi></a>","4168","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01019973","PreservedSpecimen","Plantae","Fabaceae","Desmodium","discolor","Desmodium discolor","Vogel","R. C. Barneby",NA,NA,NA,"Z. A. Trinta","1964","03","29","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"NY01019973","NY01019973_01","Estrada BR-58, próximo Caxambú",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139085' target='other'> <mi>dwc_moreinfo</mi></a>","662","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01019995","PreservedSpecimen","Plantae","Fabaceae","Desmodium","discolor","Desmodium discolor","Vogel","F. C. Hoehne; A. E. Burkart",NA,NA,NA,"A. Macedo","1949","03","26","Brazil","Minas Gerais","Ituiutaba","-49.465","-18.9692",NA,NA,"NY01019995","NY01019995_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139093' target='other'> <mi>dwc_moreinfo</mi></a>","1789","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01020000","PreservedSpecimen","Plantae","Fabaceae","Desmodium","discolor","Desmodium discolor","Vogel",NA,NA,NA,NA,"D. O. Norris","1964","04","19","Brazil","São Paulo","Valinhos","-47.02","-22.98",NA,NA,"NY01020000","NY01020000_01","Intersection of S. Paulo-Campinas highway with turnoff road to Valinhos, 11.5 km SE of Campinas",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139102' target='other'> <mi>dwc_moreinfo</mi></a>","174","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01019972","PreservedSpecimen","Plantae","Fabaceae","Desmodium","discolor","Desmodium discolor","Vogel","A. K. Schindler",NA,NA,NA,"G. Gardner",NA,NA,NA,"Brazil","Goiás",NA,NA,NA,NA,NA,"NY01019972","NY01019972_01","Goyaz",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1139081' target='other'> <mi>dwc_moreinfo</mi></a>","3680","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
