"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","dayIdentified","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","856013","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Viguiera","filifolia","Viguiera filifolia","Sch.Bip. ex Baker","J. B. A. Bringel","H. S. Irwin","12776","1966","02","13","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 15 km W. of Alto Paraíso de Goiás (formerly Veadeiros)","-47.65562","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930528' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856013","NY00856013_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","801728","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Viguiera","filifolia","Viguiera filifolia","Sch.Bip. ex Baker","J. B. A. Bringel","R. M. Harley","11384","1968","12","21","South America","Brazil","Goiás",NA,"Chapada dos Veadeiros, c. 65 km. due North of Brasilia.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794010' target='other'> <mi>dwc_moreinfo</mi></a>","NY00801728","NY00801728_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","856092","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Viguiera","filifolia","Viguiera filifolia","Sch.Bip. ex Baker","J. B. A. Bringel","H. S. Irwin","32791","1971","03","20","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca 19 km N of Alto do Paraiso","-47.5097","-14.1325","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856092","NY00856092_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1182051","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Viguiera","filifolia","Viguiera filifolia","Sch.Bip. ex Baker","J. N. Nakajima","P. G. Delprete","8932","2004","10","24","South America","Brazil","Goiás","Cocalzinho de Goiás","Serra dos Pireneus, Faz. Capitão do Mato, área de cerrado perto da nascente do Córrego Água Fria.","-48.8","-15.8","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396882' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182051","NY01182051_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","846289","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Viguiera","filifolia","Viguiera filifolia","Sch.Bip. ex Baker","J. F. Pruski","H. S. Irwin","24761","1969","03","20","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 16 km south of Alto Paraíso (formerly Veadeiros)","-47.5167","-14.26131","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930239' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846289","NY00846289_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","846288","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Viguiera","filifolia","Viguiera filifolia","Sch.Bip. ex Baker","G. M. Barroso","H. S. Irwin","24403","1969","03","15","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 35 km north of Alto Paraíso de Goiás (formerly Veadeiros).","-47.5167","-13.80036","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930223' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846288","NY00846288_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","277947","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Viguiera","filifolia","Viguiera filifolia","Sch.Bip. ex Baker",NA,"L. Riedel","240","1826","03",NA,"South America","Brazil",NA,NA,"[In graminosis prope C..].",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141866' target='other'> <mi>dwc_moreinfo</mi></a>","NY00277947","NY00277947_01","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","846278","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Viguiera","filifolia","Viguiera filifolia","Sch.Bip. ex Baker","J. F. Pruski","G. G. Hatschbach","58730","1993","02","09","South America","Brazil","Mato Grosso do Sul","Ponta Porã","Km 22 para rodovia para Antônio João","-55.7256","-22.5361",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930076' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846278","NY00846278_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:35:18-03","EAO","IAN","57130","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Viguiera","filifolia","Viguiera filifolia","Sch.Bip.",NA,"Hassler, E","9889","1907","08",NA,NA,"Paraguai",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN057130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:02:45-03","ESALQ","ESA","111848","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Viguiera","filifolia","Viguiera filifolia",NA,"Bombo, A.B.","Bombo, A.R.","59.0","2010","05","22",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"ESA111848","ESA111848",NA,"44724","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:02:45-03","ESALQ","ESA","34376","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Viguiera","filifolia","Viguiera filifolia","Sch. Bip. ex Baker","Pruski, J.","Hatschbach, G. et al.","58730.0","1993","02","09",NA,"Brasil","Mato Grosso do Sul","Ponta Porã",NA,"-55.7256011962891","-22.5361003875732",NA,NA,NA,NA,"ESA034376","ESA034376",NA,"102608","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:02:45-03","ESALQ","ESA","111852","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Viguiera","filifolia","Viguiera filifolia",NA,"Bombo, A.B.","Bombo, A.R.","56.0","2010","05","22",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"ESA111852","ESA111852",NA,"44724","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:02:45-03","ESALQ","ESA","111853","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Viguiera","filifolia","Viguiera filifolia",NA,"Bombo, A.B.","Bombo, A.R.","57.0","2010","05","22",NA,"Brasil","Goiás","Alto Paraíso de Goiás",NA,"-47.5099983215332","-14.1324996948242",NA,NA,NA,NA,"ESA111853","ESA111853",NA,"44724","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:02:45-03","ESALQ","ESA","88825","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Viguiera","filifolia","Viguiera filifolia",NA,NA,"Hatschbach, G. et al.","76929.0","2004","03","09",NA,"Brasil","Mato Grosso do Sul","Ponta Porã",NA,"-55.7256011962891","-22.5361003875732",NA,NA,NA,NA,"ESA088825","ESA088825",NA,"102608","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-19 10:22:55-03","CPAP","CPAP","16759","PreserverdSpecimen","Plantae",NA,NA,"Asteraceae","Viguiera","filifolia","Viguiera filifolia","Sch.Bip. ex Baker","J. Pruski","Hatschbach, G.","58730","1993","02","09",NA,"Brasil","MS","Ponta Porã","Ponta Porã km 22 a Oeste na rodovia para Antonio João","-55.7256011962891","-22.5361003875732",NA,NA,NA,"Erva ereta, até 1,50m de altura. FLOR: capítulos amarelos. FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Campo. SUBSTRATO: . RELEVO: .",NA,NA,NA,"102608","auto","1996",NA,NA,NA,NA,NA,NA,NA,NA
