"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","relationshipType","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","typeStatus"
"1","2021-04-05 14:33:25-03","UNESC","CRI","10260","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","odorata","Kyllinga odorata","Vahl","M. Alves","2009","06","08","E.L. Siqueira; A.S. dos Santos","135","2009","02","13","Brasil","Paraná","Luiziana","RPPN Depositozinho - Propriedade da COAMO - Agroindustrial Cooperativa.","-52.32","-24.202222","52º19'12''W","24º12'8''S","657","657","Habitat: afloramento basáltico Habito: erva ereta","CRI002179","CRI002179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:39-03","E","E","153018","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","odorata","Kyllinga odorata",NA,NA,NA,NA,NA,"Hassler, E.","12680","1905","03","27","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153018 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153018",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:39-03","E","E","153020","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","odorata","Kyllinga odorata",NA,NA,NA,NA,NA,"Sellow, F.",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153020 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153020",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:39-03","E","E","151967","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","odorata","Kyllinga odorata",NA,NA,NA,NA,NA,"Bang, A. Miguel","581","1905","03","04","BO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00151967 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151967",NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:159977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:38:39-03","E","E","153017","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","odorata","Kyllinga odorata",NA,NA,NA,NA,NA,"Gardner","153",NA,NA,NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153017 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153017",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:160210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:38:39-03","E","E","153014","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","odorata","Kyllinga odorata",NA,NA,NA,NA,NA,"Morong, Thomas","60",NA,NA,NA,"PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153014 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153014",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:38:39-03","E","E","151870","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","odorata","Kyllinga odorata",NA,NA,NA,NA,NA,"Idinoel, Frere",NA,"1909","11","08","CO",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00151870 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151870",NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:160095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:38:39-03","E","E","151960","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","odorata","Kyllinga odorata",NA,NA,NA,NA,NA,"Jameson, W.","419",NA,NA,NA,"EC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00151960 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00151960",NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:159984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:38:39-03","E","E","153028","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","odorata","Kyllinga odorata",NA,NA,NA,NA,NA,"Saltzmann",NA,"1905","01","04","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153028 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153028",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:38:39-03","E","E","153013","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","odorata","Kyllinga odorata",NA,NA,NA,NA,NA,"Fiebrig, K.","158","1902","09","28","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153013 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153013",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:38:39-03","E","E","153015","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","odorata","Kyllinga odorata",NA,NA,NA,NA,NA,"Gardner","153","1905","01","09","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153015 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153015",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:160212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-23 10:38:39-03","E","E","153019","PreservedSpecimen","Plantae","Cyperaceae","Kyllinga","odorata","Kyllinga odorata",NA,NA,NA,NA,NA,"Gardner","153",NA,NA,NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153019 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153019",NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:160208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","622464","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","sesquiflorus","Cyperus sesquiflorus","(Torr.) Mattf. & Kük.",NA,NA,NA,NA,"L. B. Smith","14306","1965","01","05","Brazil","Santa Catarina","Sao Joaquim","10 km south of Sao Joaquim.","-49.93","-28.35",NA,NA,"1200","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17538' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622464","NY00622464_01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01177918","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","sesquiflorus","Cyperus sesquiflorus","(Torr.) Mattf. & Kük.",NA,NA,NA,NA,"E. de Oliveira","3435","1965","09","30","Brazil","Pará",NA,"Marajõ, Rio Genipapo, Faz. Tauá.","-50.7972222","-3.3722222",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1418779' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177918","NY01177918_01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01177920","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","sesquiflorus","Cyperus sesquiflorus","(Torr.) Mattf. & Kük.",NA,NA,NA,NA,"N. T. da Silva","1983","1969","05","18","Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1418783' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177920","NY01177920_01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","622468","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","sesquiflorus","Cyperus sesquiflorus","(Torr.) Mattf. & Kük.",NA,NA,NA,NA,"C. Kozera","459","1997","01","06","Brazil","Paraná","Curitiba","Parque Barigui.","-49.22","-25.37",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622468","NY00622468_01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01177925","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","sesquiflorus","Cyperus sesquiflorus","(Torr.) Mattf. & Kük.",NA,NA,NA,NA,"W. R. Anderson","11082","1974","02","18","Brazil","Pará",NA,"Alto Tapajós, Rio Cururú, region of the Village of Mouro, 2 hours by launch downstream from Missão Cururú.","-57.916667","-7.25",NA,NA,"100","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1418795' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177925","NY01177925_01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","622465","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","sesquiflorus","Cyperus sesquiflorus","(Torr.) Mattf. & Kük.",NA,NA,NA,NA,"R. M. Klein","2851a","1961","11","26","Brazil","Santa Catarina",NA,"Avenida Vasconcelos Drumond, Itajaí.","-48.661316","-26.91978",NA,NA,"5","5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622465","NY00622465_01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01177921","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","sesquiflorus","Cyperus sesquiflorus","(Torr.) Mattf. & Kük.",NA,NA,NA,NA,"N. T. da Silva","1061","1968","10","01","Brazil","Pará",NA,"Região do Rio Jarí. R. Jarí, Monte Dourado","-52.5338101","-0.86071",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1418785' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177921","NY01177921_01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01177923","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","sesquiflorus","Cyperus sesquiflorus","(Torr.) Mattf. & Kük.",NA,NA,NA,NA,"G. S. Pinheiro","274","1974","04","06","Brazil","Pará",NA,"Estreito-Marabá, km 1.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1418790' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177923","NY01177923_01","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
