"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00942341","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","biflora","Pavonia biflora","Fryxell","P. A. Fryxell","I. Cordeiro","974","1981","04","15","South America","Brazil","Minas Gerais","Grão Mogol","Virgem da Lapa. Margem do Rio Ventania.","-42.8894","-16.5594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032110' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942341","NY00942341_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","221904","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","biflora","Pavonia biflora","Fryxell",NA,"H. S. Irwin","26416","1970","02","20","South America","Brazil","Distrito Federal","Brasília","Cachoeira Piripiripau, ca. 15 km. south of Planaltina","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=586060' target='other'> <mi>dwc_moreinfo</mi></a>","NY00221904","NY00221904_01","possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00942340","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","biflora","Pavonia biflora","Fryxell","P. A. Fryxell","H. S. Irwin","27556","1970","03","15","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 25 km E. of Diamantina, near Rio Jequití","-43.50795","-18.1448","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032107' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942340","NY00942340_01",NA,"800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00942339","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","biflora","Pavonia biflora","Fryxell","W. H. Cross","W. H. Cross","s.n.","1984","02","06","South America","Brazil","Minas Gerais","Iturama","6 km W of Alexandrita.","-50.1956","-19.7283","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1032093' target='other'> <mi>dwc_moreinfo</mi></a>","NY00942339","NY00942339_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:59:32-03","NBC","NL-BOTANY","U.1376869","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Pavonia","biflora","Pavonia biflora","Fryxell","Krapovickas A","Gottsberger GK; Gottsberger IS",NA,"1975","02","09","Southern America","Brazil","São Paulo",NA,NA,"-48.416667","-22.75",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1376869 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1376869","NL-U1376869",NA,NA,NA,"Magnoliopsidae","-48.416667","-22.75","U 0101844",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:59:32-03","NBC","NL-BOTANY","U.1376870","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Pavonia","biflora","Pavonia biflora","Fryxell","Krapovickas A","Gottsberger IS",NA,"1971","02","16","Southern America","Brazil","São Paulo",NA,NA,"-48.416667","-22.75",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1376870 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1376870","NL-U1376870",NA,NA,NA,"Magnoliopsidae","-48.416667","-22.75","U 0100513",NA,NA,NA,NA,NA,NA,NA
"7","2019-08-20 10:17:48-03","UNICAMP","UEC","212065","S","Plantae","Magnoliopsida",NA,"Malvaceae","Pavonia","biflora","Pavonia biflora","Fryxell","Esteves, GL","Heringer, EP; Filgueiras, TS; Mendonça, RC; Pereira, BAS","6641","1981","03","30",NA,"Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu, Adjacencia da Cachoeira do Piriripau","-47.9296989440918","-15.7797002792358",NA,"Arbusto muito ornamental, formando moitas, folhas pilosas, ramos idem, flores roseas, vistosas, cerrado, solo arenoso, local de camping",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997","02","70570","auto",NA,NA,NA
"8","2019-08-20 10:17:48-03","UNICAMP","UEC","48116","S","Plantae","Magnoliopsida",NA,"Malvaceae","Pavonia","biflora","Pavonia biflora","Fryxell","Esteves, GL","Leitão Filho, HF; Martins, FR; Rodrigues, RR","20092","1988","02","18",NA,"Brazil","São Paulo","Assis","Estacao experimental do Instituto Flores, Em area de cerrado","-50.4099998474121","-22.6599998474121",NA,"Arbusto ate 2m, flores rosadas, muito ornamentais",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1997","02","23972","auto",NA,NA,NA
"9","2021-03-01 16:33:32-03","UNICAMP","UEC","167804","S","Plantae","Magnoliopsida",NA,"Malvaceae","Pavonia","biflora","Pavonia biflora","Fryxell","Esteves, GL","Weiser, V; Erba, CM","666","2006","02","02",NA,"Brazil","São Paulo","Bauru","Estrada Zôo-Botânico.","-49.060001373291","-22.3099994659424",NA,"Arbusto ca. 3,5 m alt. Folhas simples, alternas e pubescentes. Flores rosas reunidas em inflorescência.; Cerrado perturbado.","UEC040158","UEC040158",NA,NA,NA,NA,NA,NA,NA,"2006","02","29186","auto","16",NA,NA
"10","2020-06-29 09:30:52-03","UFRRJ","RBR","2376","S","Plantae",NA,NA,"Malvaceae","Pavonia","biflora","Pavonia biflora","Fryxell","G.L. Esteves","E.P. Heringer","14315","1975","01","21",NA,"Brasil","Distrito Federal","Piriripau","Sobradinho",NA,NA,NA,NA,"RBR00002376",NA,NA,NA,NA,NA,NA,NA,NA,"1997","02",NA,NA,NA,NA,NA
