"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","645802","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Schlumbergera","opuntioides","Schlumbergera opuntioides","(Löfgr.) D.R.Hunt","N. P. Taylor; D. C. Zappi","J. N. Rose","20496","1915","07","26","South America","Brazil","Rio de Janeiro","Itatiaia","Vicinity of Itatiaia","-44.5631","-22.4961","2300","2700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194441' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645802","NY00645802_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","645800","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Schlumbergera","opuntioides","Schlumbergera opuntioides","(Löfgr.) D.R.Hunt","N. P. Taylor; D. C. Zappi","J. N. Rose","20495","1915","07","26","South America","Brazil","Rio de Janeiro","Itatiaia","Vicinity of Itatiaia","-44.5631","-22.4961","2300","2700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194439' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645800","NY00645800_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","645799","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Schlumbergera","opuntioides","Schlumbergera opuntioides","(Löfgr.) D.R.Hunt","N. P. Taylor; D. C. Zappi","J. N. Rose","20495","1915","07","26","South America","Brazil","Rio de Janeiro","Itatiaia","Vicinity of Itatiaia","-44.5631","-22.4961","2300","2700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194438' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645799","NY00645799_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","645801","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Schlumbergera","opuntioides","Schlumbergera opuntioides","(Löfgr.) D.R.Hunt","N. P. Taylor; D. C. Zappi","J. N. Rose","20495","1915","07","26","South America","Brazil","Rio de Janeiro","Itatiaia","Vicinity of Itatiaia","-44.5631","-22.4961","2300","2700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645801","NY00645801_01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:54:54-03","NBC","NL-BOTANY","L.2476907","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Schlumbergera","opuntioides","Schlumbergera opuntioides","(Loefgr. & Dusén) D.R.Hunt",NA,"Davis PH; et al.",NA,"1976","09","29","Southern America","Brazil",NA,NA,"Plantas Do Brasil. Estado de Sao Paulo, Municipio de Campos do Jordao. Reserva do Instituto Florestal, S. Jose dos Alpes ao lado de Guaratingueta.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2476907 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2476907","NL-L2476907","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:54:54-03","NBC","NL-BOTANY","U.1180959","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Schlumbergera","opuntioides","Schlumbergera opuntioides","(Loefgr. & Dusén) D.R.Hunt",NA,"Lindeman JC; Haas JH de",NA,"1967","07","04","Southern America","Brazil",NA,NA,"Brasiliae Australis, Rio de Janeiro. Parque Nacional do itatiaia, along road 3km before Abrigo Reboucas on plateau.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1180959 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1180959","NL-U1180959","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:26:44-03","MN","R","218713","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Schlumbergera","opuntioides","Schlumbergera opuntioides","(Loefgr. & Dusén) D.R. Hunt","Taylor, N.P. & Zappi, D.C.","Silveira, A.","2751","1897","11",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Comissão Geográfica e Geológica de Minas.","R010030416",NA,NA,"1992",NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:26:44-03","MN","R","91048","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Schlumbergera","opuntioides","Schlumbergera opuntioides","(Loefgr. & Dusén) D.R. Hunt","Taylor, N.P. & Zappi, D.C.","Dusén, P.K.H.","530","1902","06","11",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"2500","2500",NA,NA,"R010030413,R010030414",NA,NA,"1992",NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:26:44-03","MN","R","221523","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Schlumbergera","opuntioides","Schlumbergera opuntioides","(Loefgr. & Dusén) D.R. Hunt",NA,"Almeida, M.C.; Leandro; Gonzales, D.","69","2014","07","12",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,"R010030415",NA,NA,NA,"19648","auto",NA,NA,NA,NA
"10","2020-06-30 18:32:06-03","UFJF","CESJ","60838","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Schlumbergera","opuntioides","Schlumbergera opuntioides","(Loefgr. & Dusén) D.R.Hunt","D.R. Gonzaga","D.R. Gonzaga; L. Menini Neto; S.G. Furtado","46","2012","10","28","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Mata da Gruta do Cruzeiro.","-43.793098449707","-21.8425006866455",NA,NA,NA,"Arenícola, cladódio aplanado verde escuro brilhante com espinhos; fruto verde imatura.","CESJ060838",NA,NA,"2012","30417","auto","10","28",NA,NA
"11","2019-11-21 14:33:08-03","UFJF","CESJ","72011","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Schlumbergera","opuntioides","Schlumbergera opuntioides","(Loefgr. & Dusén) D.R.Hunt","D.R. Gonzaga","L.N. Gonçalves; P. Duffles","389","2017","07","22","América do Sul","Brasil","Minas Gerais","Passa-Quatro","Pico do Itaguaré, Antecume","-45.083611","-22.484722","2100","2100",NA,"Flores róseas; blocos de granito no antecume do Itaguaré;","CESJ072011",NA,NA,"2018",NA,NA,"04","09","-45.083611","-22.484722"
"12","2020-06-30 18:32:06-03","UFJF","CESJ","25475","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Schlumbergera","opuntioides","Schlumbergera opuntioides","(Loefgr. & Dusén) D.R.Hunt","D.C. Zappi","D.C. Zappi","258","1991","07","27","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,NA,NA,"Epífita ou litófita, flores magenta. Mata de grotão atrás do Cruzeiro.","CESJ025475",NA,NA,"1991","30417","auto","07","27",NA,NA
"13","2021-03-01 16:27:18-03","UNICAMP","UEC","59594","S","Plantae","Magnoliopsida",NA,"Cactaceae","Schlumbergera","opuntioides","Schlumbergera opuntioides","(Loefgr. & Dusén) D.R.Hunt","Zappi, DC","Buzato, S; Sazima, M","27190","1992","08","16",NA,"Brazil","São Paulo","Campos do Jordão","Horto Florestal.","-45.5900001525879","-22.7299995422363",NA,NA,NA,"Epífita, flores de coloração vináceo.","UEC090796","UEC090796",NA,"1993","21048","auto",NA,NA,NA,NA
"14","2021-03-01 16:27:18-03","UNICAMP","UEC","1149","S","Plantae","Magnoliopsida",NA,"Cactaceae","Schlumbergera","opuntioides","Schlumbergera opuntioides","(Loefgr. & Dusén) D.R.Hunt","Lombardi, JA","Davis, PH; Cruz, ND; Semir, J; Felippe, GM; Kinoshita, LS; Shepherd, GJ","2978","1976","09","29",NA,"Brazil","São Paulo","Campos do Jordão","Reserva do Instituto Florestal, S. José dos Alpes ao lado de Guaratinguetá.","-45.5900001525879","-22.7299995422363","2000","2000",NA,"Epífita. Flores rosa-escura.; Mata úmida.","UEC090793","UEC090793",NA,"1988","21048","auto",NA,NA,NA,NA
"15","2020-12-21 16:19:48-03","MBM","MBM","404881","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Schlumbergera","opuntioides","Schlumbergera opuntioides","(Loefgr. & Dusén) D.R. Hunt",NA,"Gonçalvez, L.N.; Duffles, P.; Fernandez, E.P.; Lima, T.; Duffles, P.; Fernandez, E.P.; Lima, T.","151","2013","09","03","Southern America","Brazil","São Paulo","Piquete","Pico dos Marins, Trilha entre o acampamento do 1º mirante e a pedra do golfinho","-45.131389","-22.498611","2015","2015",NA,"Erva saxícola com 0,3 m de altura. Cladódios achatados; flores com corola rosa.; Campo de Altitude.","MBM404881","MBM404881",NA,NA,NA,NA,NA,NA,"-45.131389","-22.498611"
"16","2020-12-11 11:34:16-03","UFMG","BHCB","114315","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Schlumbergera","opuntioides","Schlumbergera opuntioides","(Loefgr. & Dusén.) D.R.Hunt",NA,"Mota, NFO; Viana, PL; Andrade, LE","1047","2007","11","10","Southern America","Brasil","Minas Gerais","Alagoa",NA,"-44.760556","-22.210556","2122","2122",NA,"Epífita ou terrestre, frutos maduros rosas e imaturos verdes; Campo de altitude","BHCB024557",NA,NA,"2015",NA,NA,"05","13","-44.760556","-22.210556"
"17","2020-06-15 15:29:46-03","UNESP-RC","HRCB","64762","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Schlumbergera","opuntioides","Schlumbergera opuntioides","(Loefgr. & Dusén) D.R. Hunt","Julio A. Lombardi","Grupo Vermelho",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Itamonte","Parque Nacional do Itatiaia - Estrada para a entrada alta (ponto 4)","-44.73705","-22.3598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44º44'13.38W","22º21'35.28S"
