"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","378045","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","schottii","Couepia schottii","Fritsch","C. Farney","1101","1986","02","23","South America","Brazil","Rio de Janeiro","Saquarema","Restinga de Massambaba","-42.5103","-22.9203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261466' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","378043","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","schottii","Couepia schottii","Fritsch","T. S. dos Santos","309","1968","12","12","South America","Brazil","Bahia","Una","Fazenda Sao Rafael","-39.2481074","-15.2189248","sheet","Coleçao de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261464' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378043","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02674905","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","schottii","Couepia schottii","Fritsch","D. Piotto","2796","2010","06","10","South America","Brazil","Bahia","Uruçuca","Parque Est. Serra do Conduru","-39.08","-14.42","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3671394' target='other'> <mi>dwc_moreinfo</mi></a>","NY02674905","D. Piotto","120","300","NY02674905_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","378041","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","schottii","Couepia schottii","Fritsch","A. P. Boechat","21","1960","08","19","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Ilha de Paquetá. Arbore próximo a pedreira, na zona litoranea da ilha de Paquetá","-43.1090158","-22.7585277","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261461' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378041","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","378044","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","schottii","Couepia schottii","Fritsch","A. F. M. Glaziou","2126","1867","09","30","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Copacabana","-43.184813","-22.973744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378044","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","428140","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","schottii","Couepia schottii","Fritsch","Schott","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261467' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428140",NA,NA,NA,"NY00428140_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","378042","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","schottii","Couepia schottii","Fritsch","Sorti","13","1960","10","19","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Paqueta","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261462' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378042","G. T. Prance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:29:49-03","UFRJ","RFA","34775","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","schottii","Couepia schottii","Fritsch","Robson D. Ribeiro; Veronica Maioli","1064","2008","12","06",NA,"Brasil","Rio de Janeiro","Rio das Ostras","Balneário Morada das Graças","-41.9449996948242","-22.5268993377686",NA,"Árvore com 7 m de altura. tronco estriado de cor cinza escuro. DAP com ca. 35 cm. Folhas discolores. Inflorescência com flores alvas e quando passadas amarronzadas. Visitadas por borboletas. Fotos","RFA22346","C. Sothers",NA,NA,NA,NA,"2016","08","18","17620","auto",NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:26:56-03","MN","R","63206","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","schottii","Couepia schottii","Fritsch","Glaziou, A.F.M.",NA,"1882","09","22",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Herb. J. de Saldanha; Gabinete de Botânica da Escola Polytechnica, 5696","R000063206","Prance, G.T.",NA,NA,"R000063206_001 R000063206_002",NA,"1965","12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:16:38-03","UFV","VIC","18111","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Couepia","schottii","Couepia schottii","Fritsch","Luiza, A.","s.n.","1995","09","20",NA,"Brasil","Bahia",NA,"FLONA Rio Preto",NA,NA,NA,"Altura de 28 metros, P26 nº 112.","VIC018111","Prance, G.T.",NA,NA,"VIC018111",NA,"2007","07","24",NA,NA,NA,NA,NA,NA,NA,NA
