"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","order","fieldNumber","preparationType","individualCount","typeStatus"
"1","2021-03-30 12:43:43-03","EAO","IAN","50590","PreservedSpecimen","Plantae","Dicotiledônea","Malvaceae","Aguiaria","excelsa","Aguiaria excelsa","Ducke","Ducke, A","s.n.","1936","11","16","Southern America","Brasil","Amazonas","São Gabriel da Cachoeira","Alto Rio Negro; mata de terra firme.","-67.0892028808594","-0.130278006196022","377621","Árvore muito grande.","IAN050590","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:43:43-03","EAO","IAN","103834","PreservedSpecimen","Plantae","Dicotiledônea","Malvaceae","Aguiaria","excelsa","Aguiaria excelsa","Ducke","Ducke, A","s.n.","1936","11","16","Southern America","Brasil","Amazonas","São Gabriel da Cachoeira","Rio Negro.","-67.0892028808594","-0.130278006196022","377621","Árvore muiro grande.","IAN103834","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:43:43-03","EAO","IAN","148351","PreservedSpecimen","Plantae","Dicotiledônea","Malvaceae","Aguiaria","excelsa","Aguiaria excelsa","Ducke","Silva, NT da","3761","1975","03","08","Southern America","Brasil","Amazonas","São Gabriel da Cachoeira","Rio Negro; mata de terra firme; terreno arenoso.","-67.0892028808594","-0.130278006196022","377621","Árvore de 38m.","IAN148351","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:19:15-03","UFBA","ALCB","125906","PreservedSpecimen","Plantae","Dicotyledon","Malvaceae","Aguiaria","excelsa","Aguiaria excelsa","Ducke","Cardoso, D; Zartman, CE; Komura, DL; Zé Adailton; Keerad, L","3304","2013","03","28","Southern America","Brasil","Amazonas","São Gabriel da Cachoeira","Alto Rio Negro, comunidade de Itacoatiara-Mirim.","-67.008333","-0.161944",NA,"ca. 30 m alt. , com sapopemas grandes. Folhas com folíolos cartáceos. Estéril. Foto. Amostra com folíolos coletada em sílica-gel para extração de DNA.; Caatinga amazônica alta. Solo arenoso.","ALCB048841",NA,"Cardoso, D","2013","03","-67.008333","-0.161944","58","58","ALCB048841",NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:19:15-03","UFBA","ALCB","136612","PreservedSpecimen","Plantae","Dicotyledon","Malvaceae","Aguiaria","excelsa","Aguiaria excelsa","Ducke","Cardoso, D","3384","2013","04","02","Southern America","Brasil","Amazonas","São Gabriel da Cachoeira",NA,"-66.8375","-0.270556",NA,"abundantes no sub-bosque. Frutos amarronzados coletados no chão.","ALCB066947",NA,NA,NA,NA,"-66.8375","-0.270556",NA,NA,"ALCB066947",NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:58:51-03","NBC","NL-BOTANY","U.1363507","PreservedSpecimen","Plantae",NA,"Bombacaceae","Aguiaria","excelsa","Aguiaria excelsa","Ducke","Ducke A",NA,"1936","11","16","Southern America","Brazil",NA,NA,"P_roced Sao Gabriel, RIo Negro (Amazonas).",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1363507 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1363507",NA,NA,NA,NA,NA,NA,NA,NA,"NL-U1363507","Magnoliopsidae","Malvales",NA,NA,NA,NA
"7","2020-02-08 09:58:52-03","NBC","NL-BOTANY","U.1363508","PreservedSpecimen","Plantae",NA,"Bombacaceae","Aguiaria","excelsa","Aguiaria excelsa","Ducke","Ducke A",NA,"1936","11","16","Southern America","Brazil",NA,NA,"P_roced Sao Gabriel, RIo Negro (Amazonas).",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1363508 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1363508",NA,NA,NA,NA,NA,NA,NA,NA,"NL-U1363508","Magnoliopsidae","Malvales",NA,NA,NA,NA
"8","2013-04-01 09:14:43-03","IPT","BCTW","994","S","Plantae","Magnoliophyta",NA,"Aguiaria","excelsa","Aguiaria excelsa","Ducke",NA,NA,NA,NA,NA,NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"9","2015-09-04 23:18:37-03","MNHN","RECOLNAT_MNHN_P","P05294129","PreservedSpecimen",NA,NA,"Malvaceae","Aguiaria","excelsa","Aguiaria excelsa","Ducke","Ducke",NA,"1938","3","10",NA,"Brasil","Amazonas",NA,"Rio Negro.",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05294129' target='other'> <mi>dwc_moreinfo</mi></a>","P05294129",NA,NA,NA,NA,NA,NA,NA,NA,"P05294129_01",NA,NA,"29024","hb",NA,NA
"10","2015-09-04 23:18:37-03","MNHN","RECOLNAT_MNHN_P","P05294130","PreservedSpecimen",NA,NA,"Malvaceae","Aguiaria","excelsa","Aguiaria excelsa","Ducke","Ducke, A.",NA,"1936","2","16",NA,"Brasil","Amazonas","São Gabriel da Cachoeira","Rio Negro.","-67.0892028808594","-0.130278006196022","377621","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05294130' target='other'> <mi>dwc_moreinfo</mi></a>","P05294130","auto",NA,NA,NA,NA,NA,NA,NA,"P05294130_01",NA,NA,"29024","hb",NA,NA
"11","2020-05-26 20:34:00-03","MO","MOBOT","101195319","PreservedSpecimen","Plantae",NA,"Malvaceae","Aguiaria","excelsa","Aguiaria excelsa","Ducke","D. Cardoso|et al.","Cardoso 3343","2013","3","31","South America","Brazil","Amazonas","São Gabriel da Cachoeira","Alto Rio Negro, trilha em mata de terra firme para a Serra Bela Adormecida ao longo do Rio Curicuriar.","-66.8513889","-0.2352777",NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.00000000",NA,NA,NA,NA,NA,NA,"1",NA
"12","2020-08-31 08:47:15-03","INPA","INPA","266494","S","Plantae",NA,NA,"Aguiaria","excelsa","Aguiaria excelsa","Ducke","Cardoso, DBOS","3304","2013","03","28","Southern America","Brasil","Amazonas","São Gabriel da Cachoeira","Comunidade de Itacoatiara-Mirim, Alto Rio Negro.","-67.023147",NA,NA,NA,"INPA0266494",NA,NA,NA,NA,"-67.023147",NA,"58","58",NA,NA,NA,NA,NA,NA,NA
"13","2020-08-31 08:47:15-03","INPA","INPA","16390","S","Plantae",NA,NA,"Aguiaria","excelsa","Aguiaria excelsa","Ducke","Ducke, A","JB29024","1936","02","16","Southern America","Brasil","Amazonas","São Gabriel da Cachoeira","Rio Negro.","-67.133333","-0.216667",NA,NA,"INPA0016390",NA,NA,NA,NA,"-67.133333","-0.216667",NA,NA,"INPA0016390 INPA0016390_e",NA,NA,NA,NA,NA,NA
"14","2020-08-31 08:47:15-03","INPA","INPA","8613","S","Plantae",NA,NA,"Aguiaria","excelsa","Aguiaria excelsa","Ducke","Ducke, A","JBRJ29024","1936","02","16","Southern America","Brasil","Amazonas","São Gabriel da Cachoeira","Rio Negro","-67.133333","-0.216667",NA,NA,"INPA0008613",NA,NA,NA,NA,"-67.133333","-0.216667",NA,NA,"INPA0008613 INPA0008613_e",NA,NA,NA,NA,NA,NA
"15","2020-08-31 08:47:15-03","INPA","INPA","266545","S","Plantae",NA,NA,"Aguiaria","excelsa","Aguiaria excelsa","Ducke","Cardoso, DBOS","3384","2013","04","02","Southern America","Brasil","Amazonas","São Gabriel da Cachoeira","Serra Bela Adormecida, Alto Rio Negro, trilha para o segundo acampamento na Serra Bela Adormecida ao longo do Rio Curicuriari.","-67.404167",NA,NA,NA,"INPA0266545",NA,NA,NA,NA,"-67.404167",NA,"90","90",NA,NA,NA,NA,NA,NA,NA
