"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","continentOcean","coordinatePrecision","geoFlag","phylum","identifiedBy","yearIdentified","monthIdentified","imagecode"
"1","2020-11-13 09:18:54-03","UFRJ","RFA","37846","PreservedSpecimen","Plantae","Araceae","Andromycia","cubensis","Andromycia cubensis","A.Rich.","M.S. Wängler; G.F. Mazzoni; E.B. de Morais","612","2011","05","29","Brasil","Rio de Janeiro","Paty do Alferes","Zona de Vida Silvestre. Alameda Palmares, entre a propriedade da Sra. Isabel e a entrada para Água fria.","-43.617778","-22.739722","43º37'4''W","22º44'23''S","Erva escandente, folhas alternas. Estéril.","RFA52852",NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-12-10 13:05:00-02","MO","MOBOT","101087187","PreservedSpecimen","Plantae","Araceae","Asterostigma","cubense","Asterostigma cubense","(A. Rich.) K. Krause ex Bogner","Milton Groppo","Groppo, Jr. 221",NA,NA,NA,"Brazil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"South America","53584","auto",NA,NA,NA,NA,NA
"3","2019-11-01 15:12:49-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Araceae","Asterostigma","cubense","Asterostigma cubense","(A. Rich) K. Krause ex Bogner","Gonçalves, EG","474","2000","08","18","Brasil","São Paulo","Embu","Embu das Artes","-46.8499984741211","-23.6399993896484",NA,NA,"Espata levemente constrita, de margens vináceas. Estamens e estaminódios com base vinácea. Lobos do estigma elevados 45° em relação ao eixo do espádice; Fragmento de floresta atrás da cidade","UB0000875","Southern America","6851","auto","Monocotyledonae","Gonçalves, EG","2000","08","UB0000875"
