"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","eventTime","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","495985","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Myrsine","villosissima","Myrsine villosissima","Mart.","C. Farney","673","1985","04","05","South America","Brazil","São Paulo","Sao José do Barreiro","P. N. da Serra de Bocaina. Mata de Galeria próxima a entrada do Parque","-44.5697","-22.64","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239164' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495985","NY00495985_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","329287","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Primulaceae","Myrsine","villosissima","Myrsine villosissima","Mart.","G. Gardner","4492","1836",NA,NA,"South America","Brazil","Minas Gerais",NA,"Diamond District",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239165' target='other'> <mi>dwc_moreinfo</mi></a>","NY00329287","NY00329287_01","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-10-27 11:22:06-03","PUCPR","HUCP","25631","S","Plantae","Eudicotiledonea",NA,"Primulaceae","Myrsine","villosissima","Myrsine villosissima","Mart.","Cordeiro, J.; Silva, JM","3505","2010","03","06",NA,"Brasil","São Paulo","São José do Barreiro","Serra da Bocaína","-44.5699996948242","-22.6399993896484","1640","1640",NA,"Arbusto, 1,69 m, frutos imaturos verdes com flores creme.","HUCP00025631","HUCP00025631",NA,"Martin, V.C.","2010","30784","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-25 16:51:33-03","UFBA","ALCB","98446","PreservedSpecimen","Plantae","Dicotyledon",NA,"Primulaceae","Myrsine","villosissima","Myrsine villosissima","Mart.","Guedes, ML; Silva, LB da; Oliveira, MAJ de; Silva, MS; Melo, IV de","17950","2011","02","08","Southern America","Brasil","Bahia","Elísio Medrado","Recôncavo Sul, Serra da Jibóia","-39.466667","-12.85",NA,NA,NA,"Folhas lanceoladas, rufo-vilosa, com pontuações glandulosas. Material estéril.",NA,NA,NA,"Guedes, ML","2011",NA,NA,"02","-39.466667","-12.85",NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:03:40-03","NBC","NL-BOTANY","U 0117325","PreservedSpecimen","Plantae",NA,"Ericales","Myrsinaceae","Myrsine","villosissima","Myrsine villosissima","Mart.","Martius CFP von",NA,NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"Itacolumi",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200117325 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0117325","NL-U0117325","isotype",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","101647 B",NA,NA,NA,NA
"6","2020-11-04 11:17:50-03","ESALQ","ESA","79082","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Rapanea","villosissima","Rapanea villosissima","(Mart.) Mez","Souza, J.P.; Souza, V.C.; Salino, A.; Paranaguá, P.A.; Oliveira, R.C.; Scarpa, F.M.; Gajardo, I.S.M.; Liesenfeld, M.A.","3480.0","2000","04","25",NA,"Brasil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Núcleo Caraguatatuba. Estrada intermediária, ca. Km 41. Campo de altitude com dominância de Eremanthus","-456.725",NA,"1220","1220",NA,"Arbusto com ramos pendentes ou volúveis, flores creme-rosadas","ESA079082","ESA079082",NA,"Sigrid-Mendaçolli, S.L.","2005",NA,NA,"01","-456,725","-23,645,556",NA,NA,"01",NA,NA,NA
"7","2020-11-04 11:17:50-03","ESALQ","ESA","75562","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Primulaceae","Rapanea","villosissima","Rapanea villosissima","(Mart.) Mez","Souza, F.M.; Duarte, A.R.; Sampaio, D.; Bernhardt, R.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","119.0","2001","04","13",NA,"Brasil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Floresta ribeirinha ao longo do Rio Mambu.","-467.753",NA,"750","750",NA,"Liana, botões creme, frutos negros.","ESA075562","ESA075562",NA,"Jung-Mendaçolli, S.L.","2005",NA,NA,"01","-467,753","-23,989,083",NA,NA,"01",NA,NA,NA
"8","2021-01-14 15:32:11-03","MN","R","11631","PreservedSpecimen","Plantae",NA,NA,"Myrsinaceae","Rapanea","villosissima","Rapanea villosissima","(Mart.) Mart.","Glaziou, A.F.M.","11139","1879","09","07",NA,"Brasil","São Paulo","Bocaina",NA,"-48.5099983215332","-22.1299991607666",NA,NA,NA,"Plantas do Brasil Central","R000011631","R000011631_001",NA,NA,NA,"18396","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-02-02 14:38:41-02","BGBM","B","B 10 0001956","S","Plantae",NA,NA,"Myrsinaceae","Rapanea","villosissima","Rapanea villosissima",NA,"J. Santos Lima & A. C. Brade","14231","1935","03","03","Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100001956 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100001956","B100001956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-02-02 14:38:41-02","BGBM","B","B 10 0001958","S","Plantae",NA,NA,"Myrsinaceae","Rapanea","villosissima","Rapanea villosissima",NA,"F. Sellow","828",NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100001958 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100001958","B100001958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
