"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","relationshipType","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:24-03","UNESC","CRI","9566","PreservedSpecimen","Plantae","Lauraceae","Ocotea","glaziovii","Ocotea glaziovii","Mez","A. A. de Oliveira","2010","09","22","M. Verdi; N.L. de Souza, G. Klemz & D.H. Klettenberg","5042","2010","06","15","Brasil","Santa Catarina","São Martinho","Hoepers/Vargem do Cedro/Parque Estadual da Serra do Tabuleiro.","-48.979444","-28.164722","48º58'46''W","28º9'53''S","517","517","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003800","CRI003800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:24-03","UNESC","CRI","14923","PreservedSpecimen","Plantae","Lauraceae","Ocotea","glaziovii","Ocotea glaziovii","Mez","Quinet, A","2010","09","15","Stival-Santos, A.; Legal, E. & Silveira, S.","2273","2010","03","30","Brasil","Santa Catarina","Botuverá","Reserva Biológica Canela Preta. Reserva Biológica Canela Preta.","-49.14","-27.27","49º8'24''W","27º16'12''S","639","639","Florística IFFSC 467 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbórea; flor botão floral verde claro","CRI014336","CRI014336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:24-03","UNESC","CRI","9580","PreservedSpecimen","Plantae","Lauraceae","Ocotea","glaziovii","Ocotea glaziovii","Mez","M. Verdi","2010","04","26","M. Verdi; N. L. de Souza; G. Klemz & D. H. Klettenber","4442","2010","04","14","Brasil","Santa Catarina","Grão Pará","Barra do Rio do Meio","-49.322222","-28.17","49º19'20''W","28º10'12''S","332","332","Doação FURB (23641) Florística IFFSC 143 (Arbórea) Habito: Arbóreo","CRI003821","CRI003821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:24-03","UNESC","CRI","3783","PreservedSpecimen","Plantae","Lauraceae","Ocotea","glaziovii","Ocotea glaziovii","Mez","João Batista Baitello",NA,NA,NA,"Vanilde Citadini-Zanette","1006","1991","04","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI003797","CRI003797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:24-03","UNESC","CRI","9447","PreservedSpecimen","Plantae","Lauraceae","Ocotea","glaziovii","Ocotea glaziovii","Mez","A. A. de Oliveira","2010","09","22","A. Korte; A. Kniess","2423","2010","03","30","Brasil","Santa Catarina","Rodeio","São Pedro.","-49.411389","-26.910278","49º24'41''W","26º54'37''S","611","611","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003824","CRI003824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:24-03","UNESC","CRI","9531","PreservedSpecimen","Plantae","Lauraceae","Ocotea","glaziovii","Ocotea glaziovii","Mez","A. Quinet","2010","09","28","A. Korte; A. Kniess","2832","2010","03","15","Brasil","Santa Catarina","Ascurra","Guaricanas.","-49.41","-27","49º24'36''W","27º0'0''S","281","281","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003799","CRI003799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:24-03","UNESC","CRI","9467","PreservedSpecimen","Plantae","Lauraceae","Ocotea","glaziovii","Ocotea glaziovii","Mez",NA,NA,NA,NA,"A. Stival-Santos; E. Legal, D. Meyer & S. Silveira","2808","2010","05","21","Brasil",NA,"Brasil","Parque Estadual do Tabuleiro.","-48.778889","-27.688611","48º46'44''W","27º41'19''S","612","612","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","CRI003822","CRI003822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:25:24-03","UNESC","CRI","9527","PreservedSpecimen","Plantae","Lauraceae","Ocotea","glaziovii","Ocotea glaziovii","Mez","A. Quinet","2010","09","15","S. Dreveck; F. E. Carneiro","1361","2009","11","24","Brasil","Santa Catarina","Corupá","Sertãozinho.","-49.41","-26.369722","49º24'36''W","26º22'11''S","857","857","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI003823","CRI003823",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:24-03","UNESC","CRI","3316","PreservedSpecimen","Plantae","Lauraceae","Ocotea","glaziovii","Ocotea glaziovii","Mez","João Batista Baitello",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Valdemar Piazza Boff","1797","1992","02","13","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI003826","CRI003826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:24-03","UNESC","CRI","9509","PreservedSpecimen","Plantae","Lauraceae","Ocotea","glaziovii","Ocotea glaziovii","Mez","A. Quinet",NA,NA,NA,"A. Stival-Santos; E. Legal & S. Silveira","3042","2010","06","17","Brasil","Santa Catarina","Palhoça","Maciambú.","-48.69","-27.81","48º41'24''W","27º48'36''S","220","220","Floresta Ombrófila Densa Habitat: entorno de fragmento Habito: arbórea","CRI003798","CRI003798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
