"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","623056","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stylosanthes","bracteata","Stylosanthes bracteata","Vogel","R. O. Vanni","H. S. Irwin","9083","1965","10","09","South America","Brazil","Distrito Federal","Brasília","Confluence of Rio Torto with Lagôa Paranoá.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409157' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623056","NY00623056_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","887272","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stylosanthes","bracteata","Stylosanthes bracteata","Vogel","A. Gehrt","F. C. Hoehne","s.n.","1977","10","24","South America","Brazil","Paraná","Ponta Grossa","Villa Velha. Ex. 1° Seção: Botanica e Agronomia do Instituto Biologico.","-50.012929","-25.234872","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091754' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887272","NY00887272_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02861618","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stylosanthes","bracteata","Stylosanthes bracteata","Vogel",NA,"R. Goodland","211","1965","11","25","South America","Brazil","Minas Gerais","Paraopeba",NA,"-44.4042","-19.2744","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3196390' target='other'> <mi>dwc_moreinfo</mi></a>","NY02861618","NY02861618_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01048213","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stylosanthes","bracteata","Stylosanthes bracteata","Vogel","N. M. de S. C. Costa","S. Tsugaru","B-1976","1987","11","04","South America","Brazil","Mato Grosso do Sul","Sidrolândia","Near Capão seco, 25 km SSE from Campo Grande, along the Rt. BR-163.","-54.9614","-20.9319","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190178' target='other'> <mi>dwc_moreinfo</mi></a>","NY01048213","NY01048213_01","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02861607","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stylosanthes","bracteata","Stylosanthes bracteata","Vogel",NA,"L. Riedel","7",NA,NA,NA,"South America","Brazil",NA,NA,"Rio Pardo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3196368' target='other'> <mi>dwc_moreinfo</mi></a>","NY02861607","NY02861607_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02861608","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stylosanthes","bracteata","Stylosanthes bracteata","Vogel",NA,"G. P. Lewis","1386","1985","01","28","South America","Brazil","Paraná",NA,"BR 376, Furnas, 2 km past turning to Vila Velha in direction of Ponta Grossa","-50.03","-25.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3196370' target='other'> <mi>dwc_moreinfo</mi></a>","NY02861608","NY02861608_01","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02282689","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stylosanthes","bracteata","Stylosanthes bracteata","Vogel","L. Coradin","E. P. Heringer","17894","1980","10","06","South America","Brazil","Distrito Federal","Brasília","Catetinho.","-47.988069","-15.948311","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2527569' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282689","NY02282689_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01048216","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stylosanthes","bracteata","Stylosanthes bracteata","Vogel","R. O. Vanni","U. Lôbo de Anhanguera","35","1967","07","20","South America","Brazil","Distrito Federal","Brasília","Campus Asa Norte- Residencial","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190183' target='other'> <mi>dwc_moreinfo</mi></a>","NY01048216","NY01048216_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","623058","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stylosanthes","bracteata","Stylosanthes bracteata","Vogel","O. A. Guimarães","A. C. Cervi","2234","1983","10","28","South America","Brazil","Paraná","Ponta Grossa","Parque Estadual Vila Velha.","-50.012929","-25.234872","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409155' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623058","NY00623058_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","623057","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stylosanthes","bracteata","Stylosanthes bracteata","Vogel","R. O. Vanni","H. S. Irwin","7576","1964","10","30","South America","Brazil","Goiás","Jataí","Serra do Caiapó, ca. 60 km S. of Caiaponia on road to Jataí.","-51.78","-17.2","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409159' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623057","NY00623057_01","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01048215","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stylosanthes","bracteata","Stylosanthes bracteata","Vogel","R. O. Vanni","U. Lôbo de Anhanguera","35","1967","07","20","South America","Brazil","Distrito Federal","Brasília","Campus Asa Norte- Residencial","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190182' target='other'> <mi>dwc_moreinfo</mi></a>","NY01048215","NY01048215_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","02861609","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stylosanthes","bracteata","Stylosanthes bracteata","Vogel",NA,"R. Callejas Posada","1962","1983","12","16","South America","Brazil","Mato Grosso do Sul","Tacuru","5 km O de Tacurú, sobre la estrada que dirije a Iguatemi.","-55","-23.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3196372' target='other'> <mi>dwc_moreinfo</mi></a>","NY02861609","NY02861609_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01048214","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stylosanthes","bracteata","Stylosanthes bracteata","Vogel","R. C. Barneby","A. C. Allem","2461","1978","11","07","South America","Brazil","Mato Grosso do Sul","Corumbá","Morro do Urucum","-57.6531","-19.0094","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190179' target='other'> <mi>dwc_moreinfo</mi></a>","NY01048214","NY01048214_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","623055","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stylosanthes","bracteata","Stylosanthes bracteata","Vogel","N. Sousa Costa","S. Tsugaru","B-1980","1987","11","04","South America","Brazil","Mato Grosso do Sul","Sidrolândia","25 km SSE from Campo Grande, along the Rt. BR-163.","-54.9614","-20.9319","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623055","NY00623055_01","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","02282669","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stylosanthes","bracteata","Stylosanthes bracteata","Vogel","S. Gama López","H. S. Irwin","s.n. (26-28 Oct 1964)","1964","10","26","South America","Brazil","Goiás","Caiapônia","Serra do Caiapó","-51.78","-17.2","sheet","26-28 October 1964 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2527571' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282669",NA,"800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","623059","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Stylosanthes","bracteata","Stylosanthes bracteata","Vogel","N. Sousa Costa","E. Pereira","8267","1964","01","14","South America","Brazil","Paraná",NA,"Vila Velha","-50.012929","-25.234872","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=409158' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623059","NY00623059_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
