"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","typeStatus","locality","occurrenceRemarks","imagecode","identifiedBy","yearIdentified","monthIdentified","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","preparationType","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","order","individualCount"
"1","2021-04-08 17:44:51-03","EAO","IAN","41745","PreservedSpecimen","Plantae","Monocotiledônea","Bromeliaceae","Vriesea","pardalina","Vriesea pardalina","Mez","Glaziou, AFM","15474","Southern America","Brasil","IAN041745",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-02-02 14:37:51-02","BGBM","B","B 10 0157390","S","Plantae",NA,"Bromeliaceae","Vriesea","pardalina","Vriesea pardalina",NA,"A. F. M. Glaziou","15474","Middle and South America","Brazil","B100157390","type","Staat Rio de Janeiro, Morro de São Vicente.","<a href=http://herbarium.bgbm.org/object/B100157390 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100157390 B100157390_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-02-02 14:37:51-02","BGBM","B","B 10 0157391","S","Plantae",NA,"Bromeliaceae","Vriesea","pardalina","Vriesea pardalina",NA,"A. F. M. Glaziou","15474","Middle and South America","Brazil","B100157391",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100157391 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100157391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:37:51-02","BGBM","B","B 10 0157389","S","Plantae",NA,"Bromeliaceae","Vriesea","pardalina","Vriesea pardalina",NA,"A. F. M. Glaziou","15474","Middle and South America","Brazil","B100157389","type","Staat Rio de Janeiro.","<a href=http://herbarium.bgbm.org/object/B100157389 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100157389 B100157389_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-20 09:59:18-03","UNICAMP","UEC","63728","S","Plantae","Liliopsida","Bromeliaceae","Vriesea","pardalina","Vriesea pardalina","Mez","Buzato, S; Sazima, M; Sazima, I","31726",NA,"Brazil","UEC043348",NA,"Monte Verde","flor, Bráctea serosa de coloração rosada, flores amarelo-esverdeadas.","UEC043348","Wanderley, MDGL","1994","01","1994","01","06","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-05 16:46:30-03","UFOP","OUPR","5344","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Vriesea","pardalina","Vriesea pardalina","Mez","Magalhães-Gomes, F.","s.n.",NA,"Brasil",NA,NA,"Serra da Piedade","Planta epífita. Flores amarelo - esverdeado. Folhas manchadas de vermelho",NA,"Magalhães-Gomes, F.","1893","11","1893","11","20","Minas Gerais","Caeté","-43.6697006225586","-19.8799991607666","22051","auto","20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-04-27 16:09:08-03","UFES","VIES","21401","S","Plantae",NA,"Bromeliaceae","Vriesea","pardalina","Vriesea pardalina","Mez","Couto, D.R.; Kollmann, L.J.C.","1834",NA,"Brasil","VIES021401",NA,"Pedra Roxa.",NA,"VIES021401","Kollmann, L.J.C.; Couto, D.R.","2011","01","2011","01","19","Espírito Santo","Ibitirama","-41.6671981811523","-20.5414009094238","22282","auto","19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-09-03 19:48:59-03","MNHN","RECOLNAT_MNHN_P","P00438693","PreservedSpecimen",NA,NA,"Bromeliaceae","Vriesea","pardalina","Vriesea pardalina","Mez","Glaziou, A.",NA,NA,"Brésil","P00438693","type","Morro de S. Vincente à Cachoeira","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00438693' target='other'> <mi>dwc_moreinfo</mi></a>","P00438693_01 P00438693_02",NA,NA,NA,"1884","6","21",NA,NA,NA,NA,NA,NA,NA,"15474","hb",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:43:36-03","UFMG","BHCB","143228","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Vriesea","pardalina","Vriesea pardalina","Mez","Machado, TM; Stehmann, JR; Martins da Costa, I","183","Southern America","Brasil",NA,NA,"Parque Nacional do Caparaó, Pedra Roxa, no leito do rio.","Epífita em interior de mata. Folhas verdes com manchas vinácea. Escapo pêdulo, bráctea do escapo verde com pintas vináceas, bráctea floral rosa soltando um pó branco. Flores em botão. Planta cultivada no Museu de História Natural e Jardim Botânico da",NA,NA,NA,NA,"2010","09","24","Espírito Santo","Ibitirama","-41.735722","-20.393528",NA,NA,NA,NA,NA,"-41.735722","-20.393528","1173","1173",NA,NA,NA
"10","2020-12-11 11:43:36-03","UFMG","BHCB","143250","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Vriesea","pardalina","Vriesea pardalina","Mez","Machado, TM; Stehmann, JR; Martins da Costa, I","205","Southern America","Brasil",NA,NA,"Parque Nacional do Caparaó, Vale Verde, leito do rio.","Epífita. Folhas verdes com pintas roxas. Brácteas do escapo verde claro a rosa com pintas roxas. Brácteas florais rosa com substância farinosa branca.Cálice alvo, pétalas amareladas. Planta cultivada no Museu de História Natural e Jardim Botânico da",NA,NA,NA,NA,"2010","09","25","Minas Gerais","Alto Caparaó","-41.843028","-20.419778",NA,NA,NA,NA,NA,"-41.843028","-20.419778","1416","1416",NA,NA,NA
"11","2020-12-11 11:43:36-03","UFMG","BHCB","147658","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Vriesea","pardalina","Vriesea pardalina","Mez","Giacomin, LL; Massensini Júnior, A; A.; Assis, FC; Paixão, LC; Batista, JAN","1389","Southern America","Brasil",NA,NA,"Fazenda Boa Esperança, Trilha do Marlom. Floresta Ombrófila Mista ciliar, em regeneração.","Epífita em árvore. Inflorescência pendula com brácteas rosadas, alvacentas.",NA,NA,NA,NA,"2011","03","16","Minas Gerais","Delfim Moreira","-45.322111","-22.5735",NA,NA,NA,NA,NA,"-45.322111","-22.5735","1478","1478",NA,NA,NA
"12","2020-12-11 11:43:36-03","UFMG","BHCB","147659","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Vriesea","pardalina","Vriesea pardalina","Mez","Giacomin, LL; Massensini Júnior, A; A.; Assis, FC; Paixão, LC; Batista, JAN","1390","Southern America","Brasil",NA,NA,"Fazenda Boa Esperança, Trilha do Marlom. Floresta Ombrófila Mista ciliar, em regeneração.","Epífita em árvore. Inflorescência velha. Folhas com variegações vináceas.",NA,NA,NA,NA,"2011","03","16","Minas Gerais","Delfim Moreira","-45.322111","-22.5735",NA,NA,NA,NA,NA,"-45.322111","-22.5735","1478","1478",NA,NA,NA
