"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","individualCount","class","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00568125","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","barreirensis","Attalea barreirensis","Glassman","L. R. Noblick","5104","1996","02","04","South America","Brazil","Goiás","Posse","Near turnoff on main north/south road (BR-020/Barreiras/Brasilia).","-46.3194","-14.1128","840","840","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=654797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00884541","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","barreirensis","Attalea barreirensis","Glassman","W. R. Anderson","36868","1972","03","08","South America","Brazil","Bahia",NA,"Espigao Mestre, ca. 100 km WSW of Barreiras.",NA,NA,"750","800","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=961412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884541","L. R. Noblick","NY00884541_01 NY00884541_02 NY00884541_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00568124","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","barreirensis","Attalea barreirensis","Glassman","L. R. Noblick","34522","1986","01","31","South America","Brazil","Bahia","Coribe","7-8 km sul da cidade na Br-172 (Coribe/Cocos).","-44.47","-13.83","650","700","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=654795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568124","L. R. Noblick","NY00568124_01 NY00568124_02 NY00568124_03 NY00568124_04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00568123","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","barreirensis","Attalea barreirensis","Glassman","W. R. Anderson","36868","1972","03","08","South America","Brazil","Bahia",NA,"Espigao Mestre, ca. 100 km WSW of Barreiras.",NA,NA,"750","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=654796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568123","L. R. Noblick","NY00568123_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01137623","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","barreirensis","Attalea barreirensis","Glassman","R. Pardini","70","1991","02","07","South America","Brazil","Pará","Santarém","Rio Tapajós, Vila de Alter do Châo, forest island in savanna.","-54.9647","-2.5175",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1284750' target='other'> <mi>dwc_moreinfo</mi></a>","NY01137623",NA,"NY01137623_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00568126","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","barreirensis","Attalea barreirensis","Glassman","L. R. Noblick","4675","1988","10","29","South America","Brazil","Bahia","Formosa do Rio Preto","Ca. 16 km SE of Sao Marcelo.","-45.18","-11.03","510","510","boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=654794' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568126","L. R. Noblick","NY00568126_01 NY00568126_02 NY00568126_03 NY00568126_04 NY00568126_05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00568120","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","barreirensis","Attalea barreirensis","Glassman",NA,"396","1986","01","19","South America","Brazil","Bahia","Coribe","Ao longo da BA-172 entre as cidades de Coriba e Cocos, cerca de 8-10 km de Coribe.","-44.47","-13.92","600","600","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=57024' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568120",NA,"NY00568120_01 NY00568120_02 NY00568120_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01137624","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","barreirensis","Attalea barreirensis","Glassman","S. Almeida","1201",NA,NA,NA,"South America","Brazil","Pará",NA,NA,NA,NA,NA,NA,"boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1321682' target='other'> <mi>dwc_moreinfo</mi></a>","NY01137624",NA,"NY01137624_01 NY01137624_02 NY01137624_03 NY01137624_04 NY01137624_05 NY01137624_06 NY01137624_07 NY01137624_08 NY01137624_09 NY01137624_10 NY01137624_11 NY01137624_12 NY01137624_13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00878151","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Attalea","barreirensis","Attalea barreirensis","Glassman","L. R. Noblick","4960","1994","08","20","South America","Brazil","Piauí","Uruçuí","Sitio de Francisco Martins, ca. 8 km. S of Uruçuí to turnoff for Ribeiro Goncalves then W. ca. 32 km. (11 km beyond Rio Uruçuí-Preto).","-44.5560989379883","-7.22944021224976","700","800","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949291' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878151",NA,"NY00878151_01 NY00878151_02 NY00878151_03 NY00878151_04 NY00878151_05 NY00878151_06","137737","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:09:28-03","UFBA","ALCB","026369","PreservedSpecimen","Plantae","Dicotyledon",NA,"Arecaceae","Attalea","barreirensis","Attalea barreirensis","Glassman","Noblick, LR; Lôbo, G","4529","1986","02","05","Southern America","Brasil","Bahia","Barreiras","Oeste, 8 Km Sul da cidade na estrada para o aeroporto, subindo o tabuleiro","-45.033333","-12.116667","700","700",NA,"acaule, solitária, às vezes cespitosa. Folhas penadas de 4-6 na copa arrumadas espiraladamente e patentes com ráquis fortemente recurvadas. Pecíolo de 15-20 cm de comprimento, côncavo-convexo e nu nas margens na parte em cima do chão","ALCB009834","Noblick, LR","ALCB009834 ALCB009834_1 ALCB009834_2",NA,NA,"1986","-45.033333","-12.116667",NA,NA,NA,NA,NA,NA
