"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","decimalLongitude","imagecode","infraspecificEpithet","recordNumber","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","phylum","occurrenceRemarks","continentOcean","typeStatus","class","order"
"1","2021-02-07 08:35:28-03","MN","R","219204","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","taritubensis","Vriesea taritubensis","E. Pereira & L.A. Penna","Neves, B.F.S.","2012","03","28","Neves, B.F.S. 30; Uribbe, F.P.; Jacques, S.S.A. & Kessous, I.M.","2012","01","18","Brasil","São Paulo","Paraty","Corisco","-23.269183","44°46'82W","23°16'151S","R010019784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-07 08:35:28-03","MN","R","219207","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","taritubensis","Vriesea taritubensis","E. Pereira & L.A. Penna","Neves, B.F.S.","2012","03","28","Neves, B.F.S. 28; Uribbe, F.P.; Jacques, S.S.A. & Kessous, I.M.","2012","01","18","Brasil","São Paulo","Paraty","Corisco","-23.269183","44°46'82W","23°16'151S","R010019788",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-07 08:35:28-03","MN","R","219206","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","taritubensis","Vriesea taritubensis","E. Pereira & L.A. Penna","Neves, B.F.S.","2014","03","28","Neves, B.F.S. 32; Uribbe, F.P.; Jacques, S.S.A. & Kessous, I.M.","2012","01","18","Brasil","São Paulo","Paraty","Corisco","-23.269183","44°46'82W","23°16'151S","R010019782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-07 08:35:28-03","MN","R","219200","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","taritubensis","Vriesea taritubensis","E. Pereira & L.A. Penna","Neves, B.F.S.","2014","03","28","Neves, B.F.S. 196; Uribbe, F.P. & Néri, J.","2012","12","14","Brasil","Rio de Janeiro","Paraty",NA,"-23.025861","44°36'47.0W","23°01'33.1S","R010019787","-44.613056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-07 08:35:28-03","MN","R","219201","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","taritubensis","Vriesea taritubensis","E. Pereira & L.A. Penna","Neves, B.F.S.","2014","03","28","Neves, B.F.S. 195; Uribbe, F.P. & Néri, J.","2012","12","14","Brasil","Rio de Janeiro","Paraty",NA,"-23.025861","44°36'47.0W","23°01'33.1S","R010019789","-44.613056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-07 08:35:28-03","MN","R","219202","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","taritubensis","Vriesea taritubensis","E. Pereira & L.A. Penna","Neves, B.F.S.","2014","03","28","Neves, B.F.S. 194; Uribbe, F.P. & Néri, J.","2012","12","14","Brasil","Rio de Janeiro","Paraty",NA,"-23.025861","44°36'47.0W","23°01'33.1S","R010019786","-44.613056","R010019786 R010019786_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-07 08:35:28-03","MN","R","219211","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","taritubensis","Vriesea taritubensis","E. Pereira & L.A. Penna","Neves, B.F.S.","2014","03","28","Neves, B.F.S. 167; Uribbe, F.P. & Néri, J.","2012","12","11","Brasil","São Paulo","Ubatuba",NA,"-23.427917","45°07'43.4W","23°25'40.5S","R010019791","-45.128722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-07 08:35:28-03","MN","R","219212","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","taritubensis","Vriesea taritubensis","E. Pereira & L.A. Penna","Neves, B.F.S.","2014","03","28","Neves, B.F.S. 168; Uribbe, F.P. & Néri, J.","2012","12","11","Brasil","São Paulo","Ubatuba",NA,"-23.427917","45°07'43.4W","23°25'40.5S","R010019792","-45.128722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-07 08:35:28-03","MN","R","219213","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","taritubensis","Vriesea taritubensis","E. Pereira & L.A. Penna","Neves, B.F.S.","2014","03","28","Neves, B.F.S. 169; Uribbe, F.P. & Néri, J.","2012","12","11","Brasil","São Paulo","Ubatuba",NA,"-23.427917","45°07'43.4W","23°25'40.5S","R010019790","-45.128722",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-07 08:35:28-03","MN","R","219205","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","taritubensis","Vriesea taritubensis","E. Pereira & L.A. Penna","Neves, B.F.S.","2014","03","28","Neves, B.F.S. 31; Uribbe, F.P.; Jacques, S.S.A. & Kessous, I.M.","2012","01","18","Brasil","São Paulo","Paraty","Corisco","-23.269183","44°46'82W","23°16'151S","R010019783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
