"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","county","coordinatePrecision","geoFlag"
"1","2019-10-07 09:19:49-03","UEFS","HUEFS","76475","PreservedSpecimen","Plantae","Angiospermae","Lilianae","Asparagales","Orchidaceae","Adamantinia","miltonioides","Adamantinia miltonioides","van den Berg & C.N.Gonç.","Holótipo","van den Berg, C.","997","2003","05","21","Brasil","Bahia","Chapada Diamantina (localidade nao listada para fins de conservação)","-38.966667","-12.25","38W58'","12S15'","900","900","HUEFS0076475","HUEFS0076475 HUEFS0076475_02",NA,NA,NA
"2","2019-10-07 09:19:49-03","UEFS","HUEFS","195491","PreservedSpecimen","Plantae","Angiospermae","Lilianae","Asparagales","Orchidaceae","Adamantinia","miltonioides","Adamantinia miltonioides","van den Berg & C.N.Gonç.",NA,"Gonçalves, C.N.",NA,"2010","06","02","Brasil","Bahia","Grotão, sob Bromélia, próximo ao Tremendol.","-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,"HUEFS0195491","HUEFS0195491","Mucugê","52493","auto"
