"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","class","individualCount","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","3908486","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","cordatum","Protium cordatum","Huber","G. Damasco","G. Damasco","1333","2014","09","03","South America","Brazil","Pará","Faro","Igarapés alfuentes do Rio Nhamundá","-56.79924105","-1.986381551","29.445923","29.445923","sheet","As entidades taxonômicas aqui determinadas serão publicadas como parte da tese de doutorado de Gabriel Damasco <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3982133' target='other'> <mi>dwc_moreinfo</mi></a>","NY03908486","NY03908486_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","3908491","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","cordatum","Protium cordatum","Huber","G. Damasco","G. Damasco","1332","2014","09","03","South America","Brazil","Pará","Faro","Igarapés alfuentes do Rio Nhamundá","-56.79926846","-1.986398399","32.089478","32.089478","sheet","As entidades taxonômicas aqui determinadas serão publicadas como parte da tese de doutorado de Gabriel Damasco <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3982132' target='other'> <mi>dwc_moreinfo</mi></a>","NY03908491","NY03908491_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","3908485","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","cordatum","Protium cordatum","Huber","G. Damasco","G. Damasco","1501","2014","09","03","South America","Brazil","Pará","Faro","Igarapés alfuentes do Rio Nhamundá","-56.80150978","-1.983036669","20.794067","20.794067","sheet","As entidades taxonômicas aqui determinadas serão publicadas como parte da tese de doutorado de Gabriel Damasco <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3982138' target='other'> <mi>dwc_moreinfo</mi></a>","NY03908485","NY03908485_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3908492","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","cordatum","Protium cordatum","Huber","G. Damasco","G. Damasco","1329","2014","09","03","South America","Brazil","Pará","Faro","Igarapés alfuentes do Rio Nhamundá","-56.68674929","-2.186334953","21.755371","21.755371","sheet","As entidades taxonômicas aqui determinadas serão publicadas como parte da tese de doutorado de Gabriel Damasco <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3982137' target='other'> <mi>dwc_moreinfo</mi></a>","NY03908492","NY03908492_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","345733","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","cordatum","Protium cordatum","Huber",NA,"W. A. Ducke","s.n.","1907","08","21","South America","Brazil","Pará",NA,"Campos a Leste de Faro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=224009' target='other'> <mi>dwc_moreinfo</mi></a>","NY00345733",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3908487","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","cordatum","Protium cordatum","Huber","G. Damasco","G. Damasco","1499","2014","09","03","South America","Brazil","Pará","Faro","Igarapés alfuentes do Rio Nhamundá","-56.68677142","-2.186503513","29.445923","29.445923","sheet","As entidades taxonômicas aqui determinadas serão publicadas como parte da tese de doutorado de Gabriel Damasco <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3982135' target='other'> <mi>dwc_moreinfo</mi></a>","NY03908487","NY03908487_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","3908501","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","cordatum","Protium cordatum","Huber","G. Damasco","G. Damasco","1500","2014","09","03","South America","Brazil","Pará","Faro","Igarapés alfuentes do Rio Nhamundá","-56.68685239","-2.186500495","23.197388","23.197388","sheet","As entidades taxonômicas aqui determinadas serão publicadas como parte da tese de doutorado de Gabriel Damasco <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3982136' target='other'> <mi>dwc_moreinfo</mi></a>","NY03908501","NY03908501_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","3908489","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","cordatum","Protium cordatum","Huber","G. Damasco","G. Damasco","1331","2014","09","03","South America","Brazil","Pará","Faro","Igarapés alfuentes do Rio Nhamundá","-56.79931808","-1.986462269","32.329834","32.329834","sheet","As entidades taxonômicas aqui determinadas serão publicadas como parte da tese de doutorado de Gabriel Damasco <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3982131' target='other'> <mi>dwc_moreinfo</mi></a>","NY03908489","NY03908489_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","3908494","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","cordatum","Protium cordatum","Huber","G. Damasco","G. Damasco","1328","2014","09","03","South America","Brazil","Pará","Faro","Igarapés alfuentes do Rio Nhamundá","-56.68606675","-2.187584611","42.423584","42.423584","sheet","As entidades taxonômicas aqui determinadas serão publicadas como parte da tese de doutorado de Gabriel Damasco <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3982130' target='other'> <mi>dwc_moreinfo</mi></a>","NY03908494","NY03908494_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3908490","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","cordatum","Protium cordatum","Huber","G. Damasco","G. Damasco","1330","2014","09","03","South America","Brazil","Pará","Faro","Igarapés alfuentes do Rio Nhamundá","-56.68688307","-2.186592612","32.57019","32.57019","sheet","As entidades taxonômicas aqui determinadas serão publicadas como parte da tese de doutorado de Gabriel Damasco <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3982134' target='other'> <mi>dwc_moreinfo</mi></a>","NY03908490","NY03908490_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
