"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","locality","phylum","order","infraspecificEpithet","scientificNameAuthorship","decimalLongitude","decimalLatitude","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:41:54-03","E","E","167678","PreservedSpecimen","Plantae","Myrtaceae","Psidium","aquaticum","Psidium aquaticum","isotype","Schomburgk, Robert Hermann","191","1905","01","10","E. Tropical South America","GY","herbarium specimen of unspecif","BGBASE:176618","<a href=http://data.rbge.org.uk/herb/E00167678 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:54-03","E","E","167526","PreservedSpecimen","Plantae","Myrtaceae","Psidium","aquaticum","Psidium aquaticum",NA,"Ratter, J.A.; Rocha, M.P. & de Castro, R.A.","4444","1980","09","18","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:175926","<a href=http://data.rbge.org.uk/herb/E00167526 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:54-03","E","E","167679","PreservedSpecimen","Plantae","Myrtaceae","Psidium","aquaticum","Psidium aquaticum","isotype","Schomburgk, Robert Hermann","191","1905","01","10","E. Tropical South America","GY","herbarium specimen of unspecif","BGBASE:176617","Distr. by G.Bentham.<a href=http://data.rbge.org.uk/herb/E00167679 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:41:54-03","E","E","167674","PreservedSpecimen","Plantae","Myrtaceae","Psidium","persicifolium","Psidium persicifolium","isotype","Blanchet, Jacques Samuel","2916",NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:176606","<a href=http://data.rbge.org.uk/herb/E00167674 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00167674","Bahia","Cerra Acurua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-10-21 18:50:00-02","NY","NYBG","1288072","PreservedSpecimen","Plantae","Myrtaceae","Psidium","parviflorum","Psidium parviflorum coppenamense","isotype","J. Lanjouw","997","1933","09","26","South America","Suriname","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1653009' target='other'> <mi>dwc_moreinfo</mi></a>","NY01288072",NA,"Coppername River near Raleighfalls","Magnoliophyta","Myrtales","coppenamense","Amshoff","-56.214599","4.707606","NY01288072_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1288075","PreservedSpecimen","Plantae","Myrtaceae","Psidium","parviflorum","Psidium parviflorum saramaccense","holotype","B. Maguire","24930","1944","10","11","South America","Suriname","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1652968' target='other'> <mi>dwc_moreinfo</mi></a>","NY01288075",NA,"Saramacca River: Great Dam","Magnoliophyta","Myrtales","saramaccense","Amshoff",NA,NA,"NY01288075_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-10-21 18:50:00-02","NY","NYBG","1288072","PreservedSpecimen","Plantae","Myrtaceae","Psidium","parviflorum","Psidium parviflorum coppenamense","isotype","J. Lanjouw","997","1933","09","26","South America","Suriname","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1653009' target='other'> <mi>dwc_moreinfo</mi></a>","NY01288072",NA,"Coppername River near Raleighfalls","Magnoliophyta","Myrtales","coppenamense","Amshoff","-56.214599","4.707606","NY01288072_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1288075","PreservedSpecimen","Plantae","Myrtaceae","Psidium","parviflorum","Psidium parviflorum saramaccense","holotype","B. Maguire","24930","1944","10","11","South America","Suriname","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1652968' target='other'> <mi>dwc_moreinfo</mi></a>","NY01288075",NA,"Saramacca River: Great Dam","Magnoliophyta","Myrtales","saramaccense","Amshoff",NA,NA,"NY01288075_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01538645","PreservedSpecimen","Plantae","Myrtaceae","Psidium","striatulum","Psidium striatulum",NA,"J. Jangoux","1576B","1981","08","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1806808' target='other'> <mi>dwc_moreinfo</mi></a>","NY01538645","Pará","Rio Maicuru, proximidades da pista de pouso do Lageiro.","Magnoliophyta","Myrtales",NA,"DC.","-54.5","-1","NY01538645_01","C. E. B. Proença",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01538646","PreservedSpecimen","Plantae","Myrtaceae","Psidium","striatulum","Psidium striatulum",NA,"D. F. Austin","7248","1979","10","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1806824' target='other'> <mi>dwc_moreinfo</mi></a>","NY01538646","Amapá","Beira da cachoeira Ferreira Gomes, encima da vila, Rio Araguarí","Magnoliophyta","Myrtales",NA,"DC.","-51.18","0.858333","NY01538646_01","C. E. B. Proença","Ferreira Gomes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
