"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","locality","minimumElevationInMeters","maximumElevationInMeters","recordNumber","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:34:11-03","UNESC","CRI","5367","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","J. A. Jarenkow","J. A. Jarenkow","1992","12","05","Brasil","Rio Grande do Sul","Torres","-49.793056","-29.356667","49º47'35''W","29º21'24''S","CRI007307","CRI007307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:07-03","UNESC","CRI","14733","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","Marcelo R. Pasetto","Marcelo R. Pasetto","2008","07","28","Brasil","Santa Catarina","Maracajá","-49.454444","-28.848056","49º27'16''W","28º50'53''S","CRI014058","CRI014058","2008","07","28","Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:07-03","UNESC","CRI","12208","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","Verdi, M","Verdi, M; Klettenberg, DH & Klemz, G","2009","11","23","Brasil","Santa Catarina","Morro Grande","-49.77","-28.71","49º46'12''W","28º42'36''S","CRI010386",NA,"2009","11","23","Doação Herbário FURB (18709) Habito: Arbóreo","Três Barras.","311","311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:11-03","UNESC","CRI","11696","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler",NA,"Anderson Zilli Kruger","2002","11","15","Brasil","Santa Catarina","Praia Grande","-49.952778","-29.198611","49º57'10''W","29º11'55''S","CRI008664","CRI008664",NA,NA,NA,NA,"Rio do Boi, PIC III.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:11-03","UNESC","CRI","5316","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","J. A. Jarenkow","J. A. Jarenkow","1993","05","25","Brasil","Rio Grande do Sul","Morrinhos do Sul","-49.933889","-29.365","49º56'2''W","29º21'54''S","CRI007308","CRI007308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:26:07-03","UNESC","CRI","13253","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","Kassner-Filho, A.","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","2017","07","31","Brasil","Santa Catarina","Rio do Campo","-50.222778","-26.817222","50º13'22''W","26º49'2''S","CRI011895",NA,"2017","07","31","fruto amarelo Habitat: Borda da U.A. Habito: árvore",NA,"1195","1195","792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","374982","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","G. G. Hatschbach","G. G. Hatschbach","1969","05","26","Brazil","Paraná","Campina Grande do Sul","-49.0553","-25.3058",NA,NA,"NY00374982","NY00374982_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85457' target='other'> <mi>dwc_moreinfo</mi></a>","Sitio do Belizario","1000","1000","22224","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","374979","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","A. Cronquist","A. F. M. Glaziou","1891",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY00374979","NY00374979_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85458' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"18354","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","374973","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","J. V. Monachino","F. Lopes","1946","08","17","Brazil","São Paulo","Sao Paulo","-46.63","-23.5403",NA,NA,"NY00374973","NY00374973_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85449' target='other'> <mi>dwc_moreinfo</mi></a>","In the wood of Serra da Cantareira",NA,NA,"2649","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","374980","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","M. M. F. Melo","G. G. Hatschbach","1968","11","21","Brazil","Paraná","Guaraqueçaba","-48.3289","-25.3069",NA,NA,"NY00374980","NY00374980_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85456' target='other'> <mi>dwc_moreinfo</mi></a>","Rio do Cedro; Mata pluvial, encosta de morro","100","100","20357","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","374977","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","R. Reitz","R. M. Klein","1955","12","07","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"NY00374977","NY00374977_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85455' target='other'> <mi>dwc_moreinfo</mi></a>","Morro da Fazenda, Itajaí","150","150","1797","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","778846","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","T. D. Pennington","J. G. Jardim","1999","04","22","Brazil","Bahia","Jussari","-39.5288889","-15.1586111",NA,NA,"NY00778846","NY00778846_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799200' target='other'> <mi>dwc_moreinfo</mi></a>","Rod. Jussari/Palmira, entrada ca. 7.5 km da sede do municipio. Fazenda Teimoso, 1.5 k E da entrada. RPPN.",NA,NA,"2096","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","778845","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","T. D. Pennington","J. G. Jardim","1998","02","17","Brazil","Bahia","Jussari","-39.58","-15.17",NA,NA,"NY00778845","NY00778845_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799193' target='other'> <mi>dwc_moreinfo</mi></a>","Rod. Jussari/Palmira. Entrada ca. 7.5 km percorrendo mais 1.7 km até a sede da Fazenda Teimoso. Serra do Teimoso. RPPN Serra do Teimoso.","300","450","1529","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1019347","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler",NA,"J. G. Jardim","1998","02","17","Brazil","Bahia","Jussari","-39.58","-15.17",NA,NA,"NY01019347","NY01019347_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1280676' target='other'> <mi>dwc_moreinfo</mi></a>","Rod. Jussari/Palmira. Entrada ca. 7.5 km percorrendo mais 1.7 km até a sede da Faz. Teimoso. Serra do Teimoso. RPPN Serra do Teimoso.","300","450","1529","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","374978","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","T. D. Pennington","A. Lourteig","1967","12","17","Brazil","Santa Catarina","Rio do Sul","-49.6431007385254","-27.2141990661621",NA,NA,"NY00374978","NY00374978_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85450' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"350","350","2303","Magnoliophyta","Ericales","South America","sheet","15163","auto",NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","374972","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","T. D. Pennington","G. G. Hatschbach","1985","10","18","Brazil","Espírito Santo","Conceiçao do Castelo","-41.256612","-20.378333",NA,NA,"NY00374972","NY00374972_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85451' target='other'> <mi>dwc_moreinfo</mi></a>","Alto Bananal","800","800","49925","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","374975","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","R. Reitz","R. Reitz","1954","07","16","Brazil","Santa Catarina","Ibirama","-49.5178","-27.0569",NA,NA,"NY00374975","NY00374975_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85453' target='other'> <mi>dwc_moreinfo</mi></a>","Estaçao Florestal I. N. P., Ibirama","300","300","1932","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","374974","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","R. Reitz","R. M. Klein","1957","11","28","Brazil","Santa Catarina","Vidal Ramos","-49.3556","-27.3919",NA,NA,"NY00374974","NY00374974_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85452' target='other'> <mi>dwc_moreinfo</mi></a>","Sabiá, Vidal Ramos",NA,NA,"2217","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","374981","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler",NA,"P. K. H. Dusén","1911","07","28","Brazil","Paraná","Lapa","-49.7156","-25.7697",NA,NA,"NY00374981","NY00374981_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85459' target='other'> <mi>dwc_moreinfo</mi></a>","Volta Grande, in silva prim.",NA,NA,"11994","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00685874","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler",NA,"L. V. Costa","1989","09","10","Brazil","Minas Gerais","Caratinga","-42.1392","-19.7897",NA,NA,"NY00685874","NY00685874_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822395' target='other'> <mi>dwc_moreinfo</mi></a>","E.B.C. Caratinga. [probably = Estação Biologica de Caratinga].",NA,NA,"T3-3156","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","374976","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","R. Reitz","R. M. Klein","1955","11","18","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"NY00374976","NY00374976_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85454' target='other'> <mi>dwc_moreinfo</mi></a>","Morro da Ressacada, Itajaí","150","150","1758","Magnoliophyta","Ericales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-06-29 11:32:35-03","UFRJ","RFA","43748","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","M.R. Pasetto","M.R. Pasetto","2008","07","28","Brasil","Santa Catarina","Maracajá","-49.454444","-28.848056","49º27'16''W","28º50'53''S","RFA56181",NA,"2008","07","28","Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-13 09:20:58-03","UFRJ","RFA","9348","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler","G.G. Hatschbach","G.G. Hatschbach","1969","05","26","Brasil","Paraná","Campina Grande do Sul","-49.0553016662598","-25.3055992126465",NA,NA,"RFA48576",NA,NA,NA,NA,"Árvore 15 m","Sitio do Belizário","1000","1000","22224",NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA
"24","2020-02-08 09:04:04-03","NBC","NL-BOTANY","L 0705388","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler ex Miq.",NA,"Unknown",NA,NA,NA,"Brazil","Santa Catarina",NA,"-53.733333","-26.533333","-53.733333","-26.533333","NL-L0705388",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200705388 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Ericales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"25","2020-02-08 09:04:04-03","NBC","NL-BOTANY","L.2648898","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler ex Miq.",NA,"Reitz R; Klein RM","1968","10","30","Brazil",NA,NA,NA,NA,NA,NA,"NL-L2648898","NL-L2648898",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2648898 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Santa Catarina. Sanga da Areia, Jacinto Machado. Mata.",NA,NA,NA,NA,"Ericales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"26","2020-02-08 09:04:04-03","NBC","NL-BOTANY","L.2648889","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","viride","Chrysophyllum viride","Mart. & Eichler ex Miq.",NA,"Reitz R; Klein RM","1954","07","16","Brazil",NA,NA,NA,NA,NA,NA,"NL-L2648889","NL-L2648889",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2648889 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Santa Catarina. Estação Florestal I.N.P., Ibirama. Mata.",NA,NA,NA,NA,"Ericales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
