"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","coordinatePrecision","geoFlag","typeStatus","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","442090","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","hatschbachii","Sinningia hatschbachii","Chautems","A. Chautems","G. G. Hatschbach","23939","1970","02","27","South America","Brazil","Paraná","Morretes","Serra Marubi","-48.8342","-25.4769","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350020' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442090","NY00442090_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-19 08:15:20-03","FPS","FPS","3933","MachineObservation","Plantae",NA,NA,"Gesneriaceae","Sinningia","hatschbachii","Sinningia hatschbachii","Chautems","Chen, T.Y.","Schwirkowski, P.; Westphal, T.; Michels, J.","3360","2019","02","09",NA,"Brasil","Santa Catarina","São Bento do Sul","Rio Natal","-49.24652","-26.31164",NA,NA,NA,"<ll>dwc_commonname:</ll> Rainha-do-abismo","FPS03933,FURB63680","FPS03933_v01 FPS03933_v02 FPS03933_v03 FPS03933_v04 FPS03933_v05 FPS03933_v06 FPS03933_v07 FURB63680","2019","02","09","-49.24652","-26.31164","voucher","FURB 63680",NA,NA,NA,NA,NA
"3","2020-10-14 10:01:54-03","FURB","FURB","63680","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","hatschbachii","Sinningia hatschbachii","Chautems","Chautems, A.","Schwirkowski, P.; Westphal, T.; Michels, J.","3360","2019","02","09",NA,"Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Cabeceiras do Rio Natal.","-49.2463889","-26.3116667","1050","1050",NA,"FOM. Cálice verde, corola vermelha Habitat: Rupícola Habito: Herbácea","FURB63680","FURB63680","2019","02","09","-49.2463889","-26.3116667",NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:29:11-03","MBM","MBM","196897","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","hatschbachii","Sinningia hatschbachii","Chautems","Chautems, A.","Pereira, M.L.","338",NA,NA,NA,"Southern America","Brazil","Paraná","Morretes","Estrada da Ferro, Marumbi","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"MBM196897",NA,NA,NA,NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA
"5","2020-12-21 16:29:10-03","MBM","MBM","12811","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","hatschbachii","Sinningia hatschbachii","Chautems","Chautems, A.","Hatschbach, G.","23939","1970","02","27","Southern America","Brazil","Paraná","Morretes","Serra do Marumbi","-48.834400177002","-25.476900100708","1250","1250",NA,"Flor vermelha.; Paredões das encostas do morro.","MBM012811","MBM012811","1996",NA,NA,NA,NA,NA,NA,"30514","auto","PARATYPE",NA,NA
"6","2020-12-21 16:29:12-03","MBM","MBM","40084","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","hatschbachii","Sinningia hatschbachii","Chautems","Chautems, A.","Hatschbach, G.","1900",NA,NA,NA,"Southern America","Brazil","Paraná","Morretes","Serra do Marumbi","-48.834400177002","-25.476900100708",NA,NA,NA,"Planta das rochas elevadas, flor vermelha; Flor vermelha.; Planta das rochas elevadas.","MBM040084","MBM040084","1996",NA,NA,NA,NA,NA,NA,"30514","auto","PARATYPE",NA,NA
"7","2020-12-21 16:29:11-03","MBM","MBM","40083","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","hatschbachii","Sinningia hatschbachii","Chautems","Chautems, A.","Hatschbach, G.","1866","1950","02","26","Southern America","Brazil","Paraná","Morretes","Serra do Marumbi, Picada Frontal","-48.834400177002","-25.476900100708","1390","1547",NA,"Planta das rochas elevadas, flor vermelha; Flor vermelha.; Rochas elevadas.","MBM040083","MBM040083","1996",NA,NA,NA,NA,NA,NA,"30514","auto","HOLOTYPE",NA,NA
"8","2020-12-21 16:29:11-03","MBM","MBM","276542","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","hatschbachii","Sinningia hatschbachii","Chautems","Hatschbach, G.","Barboza, E.","727","2003","01","10","Southern America","Brazil","Paraná","Morretes","Serra Marumbi","-48.834400177002","-25.476900100708",NA,NA,NA,NA,"MBM276542","MBM276542",NA,NA,NA,NA,NA,NA,NA,"30514","auto",NA,NA,NA
"9","2020-12-21 16:29:11-03","MBM","MBM","233981","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","hatschbachii","Sinningia hatschbachii","Chautems","Chautems, A.","Ribas, O.S.; Hatschbach, G.; Dittrich, VA de O; Hatschbach, G.; Dittrich, VA de O","2230","1998","01","12","Southern America","Brazil","Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.7118988037109","-25.4286003112793",NA,NA,NA,NA,"MBM233981","MBM233981",NA,NA,NA,NA,NA,NA,NA,"38300","auto",NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","3555619","PreservedSpecimen","Plantae",NA,"Scrophulariales","Gesneriaceae","Sinningia","hatschbachii","Sinningia hatschbachii","Chautems","Skog, L. E.","H. J. Wiehler, M. F. Peixoto & GRF Study Group","9910","1999","4","18","South America - Neotropics","Brazil","São Paulo",NA,"São Paulo: unpaved road between Iporanga and Apiai",NA,NA,NA,NA,NA,NA,"US00992762","US00992762_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
