"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","decimalLongitude","decimalLatitude","yearIdentified","county","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00896616","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","stenophylla","Pouteria stenophylla","Baehni","A. Alves-Araújo","L. Riedel","546","South America","Brazil","Brasilia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966878' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896616","NY00896616_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","375712","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","stenophylla","Pouteria stenophylla","Baehni","A. Alves-Araújo","A. F. M. Glaziou","8900","South America","Brazil","Serra de Orgaos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209043' target='other'> <mi>dwc_moreinfo</mi></a>","NY00375712","NY00375712_01","1877","05","12","Rio de Janeiro","-43.073169","-22.496706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:33:34-03","MN","R","215005","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","stenophylla","Pouteria stenophylla","Baehni","Palazzo, F.M.A.","Palazzo, F.M.A.; Dias-Neto, A.O.","40",NA,"Brasil","Costazul",NA,NA,NA,NA,"2010","02","06","Rio de Janeiro","-41.9449996948242","-22.5268993377686","2011","Rio das Ostras","17620","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-23 12:17:42-03","UFOP","OUPR","35195","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","stenophylla","Pouteria stenophylla","Baehni","Pedrosa, L.G.","Pedrosa, L.G.","2588",NA,"Brasil",NA,NA,"Arvoreta, flores pálidas. Sobre afloramento, floresta estacional semidecidual",NA,NA,"2020","02","08","Minas Gerais","-43.4160995483398","-20.377799987793","2020","Mariana","33524","auto","02",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-03-12 10:29:34-03","UFOP","OUPR","34977","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","stenophylla","Pouteria stenophylla","Baehni","Pedrosa, L.G.","Pedrosa, L.G.","2437",NA,"Brasil",NA,NA,"Arvoreta. Mata com afloramento rochoso",NA,NA,"2019","12","24","Minas Gerais","-43.4160995483398","-20.377799987793","2019","Mariana","33524","auto","12",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-03-12 10:29:34-03","UFOP","OUPR","34935","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","stenophylla","Pouteria stenophylla","Baehni","Pedrosa, L.G.","Pedrosa, L.G.","2391",NA,"Brasil","Parque Estadual do Itacolomi",NA,"Sem observações",NA,NA,"2019","12","22","Minas Gerais","-43.5080986022949","-20.2875003814697","2019","Ouro Preto","44599","auto","12",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:41:29-03","UFMG","BHCB","113175","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapotaceae","Pouteria","stenophylla","Pouteria stenophylla","Baehni",NA,"Rezende, SG; Brina, AE","1833","Southern America","Brasil","Fazenda Riacho das Ostras",NA,"Arbóreo.; Restinga.","BHCB012559",NA,"2007","04","30","Bahia","-39.254167","-17.215139","2012","Prado",NA,NA,"03","19","-39.254167","-17.215139","35","35",NA,NA,NA
"8","2011-03-22 12:00:00-03","MO","MOBOT","3363311","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","stenophylla","Pouteria stenophylla","Baehni","A. Alves-Araújo","Ludwig Riedel","Riedel s.n.","South America","Brazil",NA,NA,NA,NA,NA,"1821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"9","2020-07-10 09:49:21-03","MBML","MBML-HERBARIO","7710",NA,"Plantae",NA,NA,"Sapotaceae","Pouteria","stenophylla","Pouteria stenophylla","Baehni","Cláudia E. Carneiro/Abril-2000","L. Kollmann; E. Bausen & W. Pizziolo","371",NA,"Brasil","Rio do Norte. Ribeirão Timbuí.",NA,"Fundo de vale. Beira de cachoeira. Arvoreto 5m. Botões verdes.","MBML007710",NA,"1998","08","18","Espírito Santo","-40.596389","-20.054167",NA,"Santa Leopoldina",NA,NA,NA,NA,"40W35'47","20S3'15",NA,NA,NA,NA,NA
"10","2020-07-10 09:49:21-03","MBML","MBML-HERBARIO","7712",NA,"Plantae",NA,NA,"Sapotaceae","Pouteria","stenophylla","Pouteria stenophylla","Baehni","Cláudia E. Carneiro/Abril-2000","L. Kollmann; E. Bausen & W. Pizziolo","572",NA,"Brasil","Goiapaba-Açu. Terreno de Paulo Schifler.",NA,"Chapada. Trepadeira 5m. Flores amarelos.","MBML007712",NA,"1998","09","15","Espírito Santo","-40.474167","-19.892222",NA,"Fundão",NA,NA,NA,NA,"40W28'27","19S53'32",NA,NA,NA,NA,NA
