"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","typeStatus","recordNumber","locality","imagecode","scientificNameAuthorship","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:36:01-03","E","E","40307","PreservedSpecimen","Plantae","Anacardiaceae","Tapirira","marchandii","Tapirira marchandii","Bridgewater, S. & García, A. Ibáñez","1996","10","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:48535","<a href=http://data.rbge.org.uk/herb/E00040307 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00040307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 00:04:00-03","NY","NYBG","7256","PreservedSpecimen","Plantae","Anacardiaceae","Mauria","obtusa","Mauria obtusa","R. H. Schomburgk","1842",NA,NA,"South America","Guyana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125455' target='other'> <mi>dwc_moreinfo</mi></a>","NY00007256","Magnoliophyta","Sapindales","isolectotype","892","Roraima","NY00007256_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","867437","PreservedSpecimen","Plantae","Anacardiaceae","Tapirira","marchandii","Tapirira marchandii","G. T. Prance","1971","04","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867437","Magnoliophyta","Sapindales",NA,"12027","Rio Moa between Igarapés Pentecost & Ipiranga.","NY00867437_01","Engl.","J. D. Mitchell","Acre","Mâncio Lima","-72.8956","-7.6144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03919009","PreservedSpecimen","Plantae","Anacardiaceae","Tapirira","marchandii","Tapirira marchandii","G. Klug","1929","10",NA,"South America","Peru","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4200456' target='other'> <mi>dwc_moreinfo</mi></a>","NY03919009","Magnoliophyta","Sapindales",NA,"614","Mishuyacu, near Iquitos","NY03919009_01","Engl.",NA,"Loreto",NA,"-73.412281","-3.792532","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","447637","PreservedSpecimen","Plantae","Anacardiaceae","Tapirira","obtusa","Tapirira obtusa","R. M. Harley","1988","10","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=135521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447637","Magnoliophyta","Sapindales",NA,"25370","Povoado de Mato Grosso, arrededores.","NY00447637_01","(Benth.) J.D.Mitch.","J. D. Mitchell","Bahia","Rio de Contas","-41.83","-13.47","1260","1260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1031011","PreservedSpecimen","Plantae","Anacardiaceae","Tapirira","obtusa","Tapirira obtusa","E. T. Neto","1991","12","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1137852' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031011","Magnoliophyta","Sapindales",NA,"802","Bonsucesso, Faz. Porto Velho - Macaia","NY01031011_01","(Benth.) J.D.Mitch.","J. D. Mitchell","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","447645","PreservedSpecimen","Plantae","Anacardiaceae","Tapirira","obtusa","Tapirira obtusa","H. de F. Leitão Filho","1979","09","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=135518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447645","Magnoliophyta","Sapindales",NA,"10399","15 km da cidade junto à Cachoeira dos Pretos.","NY00447645_01","(Benth.) J.D.Mitch.","J. D. Mitchell","São Paulo","Joanópolis","-46.27","-22.9303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","447638","PreservedSpecimen","Plantae","Anacardiaceae","Tapirira","obtusa","Tapirira obtusa","R. M. Harley","1988","10","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=135522' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447638","Magnoliophyta","Sapindales",NA,"25651","9 km ao N da cidade na estrada para o povoado de Mato Grosso. Beira da estrada.","NY00447638_01","(Benth.) J.D.Mitch.","J. D. Mitchell","Bahia","Rio de Contas","-41.83","-13.5","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1031003","PreservedSpecimen","Plantae","Anacardiaceae","Tapirira","obtusa","Tapirira obtusa","G. G. Hatschbach","1985","09","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1137829' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031003","Magnoliophyta","Sapindales",NA,"49630","Tombadouro","NY01031003_01","(Benth.) J.D.Mitch.","J. D. Mitchell","Minas Gerais","Datas","-43.6556","-18.4458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","821564","PreservedSpecimen","Plantae","Anacardiaceae","Tapirira","obtusa","Tapirira obtusa","D. J. N. Hind","1996","11","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=898686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821564","Magnoliophyta","Sapindales",NA,"PCD No.4060","Cerrado Arbóreo Aberto.","NY00821564_01","(Benth.) J.D.Mitch.","L. P. de Queiroz","Bahia","Piata","-41.8863889","-13.0608333","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
