"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","typeStatus","identifiedBy","yearIdentified","recordNumber","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag"
"1","2020-02-08 10:05:50-03","NBC","NL-BOTANY","L.2511169","PreservedSpecimen","Plantae","Magnoliopsidae","Myrtales","Myrtaceae","Calyptranthes","martiusiana","Calyptranthes martiusiana","DC.","Unknown","Southern America","Brazil","Brasilia.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2511169 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2511169","NL-L2511169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2014-10-14 15:56:57-03","BS","M","M-0137170","S","Plantae","Magnoliopsida","Myrtales","Myrtaceae","Calyptranthes","martiusiana","Calyptranthes martiusiana","DC.","Martius, C.F.P. von",NA,"Brasil","Brasilia Provinc. Rio Janeiro, ad viam Felisberti",NA,"M0137170",NA,"Magnoliophyta","HOLOTYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 18:28:56-03","USP","SPF","185568","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Calyptranthes","dichotoma","Calyptranthes dichotoma","Casar.","Farias, DS",NA,"Brasil","Reserva Biológica Poço das Antas. Margens do Rio São João, entre a BR 101 e a ponte da linha férrea. Área FP010.","Indivíduo F0577. Árvore c/ 8 m de alt., 25 cm DAP. Frutos maturos nigrescentes, com epicarpo pulverulento e endocarpo vermelho. Folhas discolores. Alimento/fauna.","SPF00185568",NA,NA,NA,"Sobral, M","2007","368","1995","04","15","Rio de Janeiro","Silva Jardim","-42.25","-22.5","-42.25","-22.5",NA,NA
"4","2019-10-07 09:34:52-03","UEFS","HUEFS","87772","PreservedSpecimen","Plantae","Rosanae","Myrtales","Myrtaceae","Calyptranthes","martiusiana","Calyptranthes martiusiana","DC.","Martius, K.F.P.von",NA,"Brasil",NA,NA,"HUEFS0087772",NA,"Angiospermae","Tipo",NA,NA,"91","1817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-07 09:34:52-03","UEFS","HUEFS","87773","PreservedSpecimen","Plantae","Rosanae","Myrtales","Myrtaceae","Calyptranthes","martiusiana","Calyptranthes martiusiana","DC.","Pohl, E.",NA,"Brasil","Mandioca.",NA,"HUEFS0087773",NA,"Angiospermae","Tipo",NA,NA,"275","1839",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA
"6","2017-09-11 17:11:11-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Myrtaceae","Calyptranthes","dichotoma","Calyptranthes dichotoma","Casar.","Casaretto, G","Southern America","Brazil",NA,"Original herbarium: Casaretto; Oreas; HABITAT: Oreas",NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,"São Paulo",NA,NA,NA,NA,NA,NA,NA
"7","2017-09-11 17:11:11-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Myrtaceae","Calyptranthes","martiusiana","Calyptranthes martiusiana","DC.","Wied-Neuwied, MAP Prince","Southern America","Brazil","Ilheus","Original herbaria: Mart., Nees",NA,"P14P1N0002 P14P1N0016",NA,NA,NA,NA,"s.n.",NA,NA,NA,"Bahia","Ilhéus","-39.0494","-14.7889",NA,NA,"61245","auto"
"8","2017-09-11 17:11:11-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Myrtaceae","Calyptranthes","martiusiana","Calyptranthes martiusiana","DC.","Martius, C","Southern America","Brazil",NA,"Original herbaria: Mart., Nees",NA,"P14P1N0002 P14P1N0016",NA,NA,NA,NA,"s.n.",NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA
"9","2017-09-11 17:11:11-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Myrtaceae","Calyptranthes","martiusiana","Calyptranthes martiusiana","DC.","Schott, HW","Southern America","Brazil","Tocaia","Original herbaria: Mart., Nees",NA,"P14P1N0002 P14P1N0016",NA,NA,NA,NA,"5837",NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA
"10","2017-09-11 17:11:11-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Myrtaceae","Calyptranthes","martiusiana","Calyptranthes martiusiana","DC.","Martius, C","Southern America","Brazil","in silvis primaevis ad viam Felisberti","Original herbaria: Mart., Nees; Dryas; HABITAT: Dryas",NA,"P14P1N0002 P14P1N0016",NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2017-09-11 17:11:11-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Myrtaceae","Calyptranthes","martiusiana","Calyptranthes martiusiana","DC.","Schott, HW","Southern America","Brazil","Tocaia","Original herbaria: Mart., Nees",NA,"P14P1N0002 P14P1N0016",NA,NA,NA,NA,"1039",NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA
"12","2017-09-11 17:11:11-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Myrtaceae","Calyptranthes","martiusiana","Calyptranthes martiusiana","DC.","Wied-Neuwied, MAP Prince","Southern America","Brazil","Cabo Frio","Original herbaria: Mart., Nees",NA,"P14P1N0002 P14P1N0016",NA,NA,NA,NA,"s.n.",NA,NA,NA,"Rio de Janeiro","Cabo Frio","-42.0186","-22.8794",NA,NA,"40069","auto"
