"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","infraspecificEpithet","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:33:25-03","UNESC","CRI","4001","PreservedSpecimen","Plantae","Cistaceae","Halimium","brasiliense","Halimium brasiliense","Gross.","J. A. Jarenkow","J. A. Jarenkow","1345","1989","10","01","Brasil","Rio Grande do Sul","Capão do Leão","Campus da UFPEL.","-52.484167","-31.763889","52º29'3''W","31º45'50''S","21","21","Habitat: campo seco Habito: erva","CRI006558","CRI006558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:25-03","UNESC","CRI","6441","PreservedSpecimen","Plantae","Cistaceae","Helianthemum","brasiliense","Helianthemum brasiliense","(Lam.) Pers.","J. A. Jarenkow","J. A. Jarenkow; E. N. Garcia",NA,"1997","11","16","Brasil","Rio Grande do Sul","Vacaria","Entrada de Bom Jesus.","-50.934167","-28.512778","50º56'3''W","28º30'46''S","953","953",NA,"CRI006557","CRI006557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1016401","PreservedSpecimen","Plantae","Cistaceae","Halimium","brasiliense","Halimium brasiliense","(Lam.) Grosser","S. F. Smith","R. A. Wasum","4759","1988","10","30","Brazil","Rio Grande do Sul","Caxias do Sul","Criuva - Ilhéus.","-51.1792","-29.1683",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162518' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016401","NY01016401_01","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1016402","PreservedSpecimen","Plantae","Cistaceae","Halimium","brasiliense","Halimium brasiliense","(Lam.) Grosser",NA,"B. Rambo","34692","1947","01","13","Brazil","Rio Grande do Sul","Bom Jesus","Fazenda B. Velho.","-50.388347","-28.558459",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1162520' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016402","NY01016402_01","Magnoliophyta","Malvales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:29:49-03","UFRJ","RFA","11235","PreservedSpecimen","Plantae","Cistaceae","Helianthemum","brasiliense","Helianthemum brasiliense","(Lam.) Pers.","M. Mercedes","P. Occhioni","4587","1971","11","09","Brasil","Paraná","Ponta Grossa","Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"Planta de 15 a 20 cm de altura. flor amarela com xilopódio","RFA37407",NA,NA,NA,NA,NA,"1975","08","18","46557","auto",NA,NA,NA,NA,NA
"6","2020-02-08 09:59:09-03","NBC","NL-BOTANY","U.1223094","PreservedSpecimen","Plantae","Cistaceae","Crocanthemum","brasiliensis","Crocanthemum brasiliensis","Spach",NA,"Pedersen TM",NA,NA,NA,NA,"Argentina",NA,NA,"Estancia,, Las Tres Marias''. Dep. Empedrado, Prov. Corrientes.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1223094 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1223094","NL-U1223094",NA,"Malvales","Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"7","2020-02-08 09:59:09-03","NBC","NL-BOTANY","L.2439722","PreservedSpecimen","Plantae","Cistaceae","Halimium","brasiliense","Halimium brasiliense","(Lam.) Grosser",NA,"Sellow F",NA,NA,NA,NA,"Brazil",NA,NA,"Brasilia.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2439722 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2439722","NL-L2439722",NA,"Malvales","Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"8","2020-02-08 09:59:09-03","NBC","NL-BOTANY","L.2439723","PreservedSpecimen","Plantae","Cistaceae","Halimium","brasiliense","Halimium brasiliense","(Lam.) Grosser",NA,"Lorentz PG",NA,"1878","01","01","Uruguay",NA,NA,"Concepcion del Uruguay.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2439723 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2439723","NL-L2439723",NA,"Malvales","Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"9","2020-02-08 09:59:09-03","NBC","NL-BOTANY","U.1223092","PreservedSpecimen","Plantae","Cistaceae","Halimium","brasiliense","Halimium brasiliense","(Lam.) Grosser",NA,"Lindeman JC; Haas JH de",NA,"1966","09","15","Brazil",NA,NA,"Brasiliae Australis. Est. Paraná. Roadside in campo near Rio dos Papagaios, 25 km E of Palmeira.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1223092 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1223092","NL-U1223092",NA,"Malvales","Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"10","2020-02-08 09:59:09-03","NBC","NL-BOTANY","U.1223093","PreservedSpecimen","Plantae","Cistaceae","Halimium","brasiliense","Halimium brasiliense","(Lam.) Grosser",NA,"Lindeman JC; Irgang BE; Valls JFM",NA,"1971","10","15","Brazil",NA,NA,"Cêrro Palomas, 18 km E de Livramento, morro de arenito, com chapada de basalto.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1223093 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1223093","NL-U1223093",NA,"Malvales","Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"11","2020-02-08 09:59:09-03","NBC","NL-BOTANY","U.1223095","PreservedSpecimen","Plantae","Cistaceae","Halimium","brasiliense","Halimium brasiliense latifolium",NA,NA,"Herter WGF",NA,NA,NA,NA,"Uruguay",NA,NA,"Dict. Oerro, Departamento de Montevideo. República oriental del Uruguay.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1223095 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1223095","NL-U1223095",NA,"Malvales","Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","latifolium",NA,NA,NA
"12","2020-02-08 09:59:09-03","NBC","NL-BOTANY","AMD.60642","PreservedSpecimen","Plantae","Cistaceae","Helianthemum","brasiliense","Helianthemum brasiliense","(Lam.) Pers.",NA,"Herter",NA,"1925","11","01","Uruguay",NA,NA,"Cerro, Departemento de Montevideo.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.60642 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD60642","NL-AMD60642",NA,"Malvales","Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"13","2020-11-04 11:04:57-03","ESALQ","ESA","31740","PreservedSpecimen","Plantae","Cistaceae","Helianthemum","brasiliense","Helianthemum brasiliense","(Lam.) Pers.","Souza, V.C.","Jarenkow, J.A.","1345.0","1989","10","01","Brasil","Rio Grande do Sul","Capão do Leão",NA,"-52.4838981628418","-31.7632999420166",NA,NA,NA,NA,NA,"ESA031740",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,"28605","auto",NA,NA,NA,NA,NA
"14","2020-11-04 11:04:57-03","ESALQ","ESA","60456","PreservedSpecimen","Plantae","Cistaceae","Helianthemum","brasiliense","Helianthemum brasiliense","(Lam.) Pers.","Souza, V.C.","Jarenkow, J.A. ; Garcia, E.N.","3627.0","1997","11","16","Brasil","Rio Grande do Sul","Vacaria",NA,"-50.9338989257812","-28.5121994018555",NA,NA,NA,NA,NA,"ESA060456",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,"63451","auto",NA,NA,NA,NA,NA
"15","2020-11-04 11:04:57-03","ESALQ","ESA","91293","PreservedSpecimen","Plantae","Cistaceae","Helianthemum","brasiliense","Helianthemum brasiliense","(Lam.) Pers.","Souza, V.C.","Souza, V.C. ; Kinupp, V.F.","30504.0","2005","01","20","Brasil","Rio Grande do Sul","Jaquirana","Fazenda da Cachoeira (Cascata do Venâncio) . Campos de Cima da Serra.","-50.3577995300293","-28.8847007751465",NA,NA,NA,NA,"Erva, ca. 30 cm alt.; frutos castanhos.","ESA091293",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,"31282","auto",NA,NA,NA,NA,NA
"16","2021-01-14 15:26:56-03","MN","R","237220","PreservedSpecimen","Plantae","Cistaceae","Halimium","brasiliense","Halimium brasiliense","(Lam.) Grosser",NA,"Pabst, G.F.J.; et al.","6155","1961","10","22","Brasil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010065333","R010065333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-01-14 15:26:56-03","MN","R","107994","PreservedSpecimen","Plantae","Cistaceae","Halimium","brasiliense","Halimium brasiliense","(Lam.) Grosser",NA,"Vidal, J.","1246","1947","10","13","Brasil","Rio Grande do Sul","São Gabriel","Vacacaí","-54.3199996948242","-30.3363990783691",NA,NA,NA,NA,NA,"R010065237","R010065237",NA,NA,NA,NA,NA,NA,NA,"56206","auto",NA,NA,NA,NA,NA
"18","2021-01-14 15:26:56-03","MN","R","237216","PreservedSpecimen","Plantae","Cistaceae","Helianthemum","brasiliense","Helianthemum brasiliense","(Lam.) Pers.","Mello Filho, L.E.","Vidal, J.","1169","1954",NA,NA,"Brasil","Minas Gerais",NA,"Serra do cipó",NA,NA,NA,NA,NA,NA,NA,"R010064698","R010064698",NA,NA,NA,NA,"1966","11","11",NA,NA,NA,NA,NA,NA,NA
