"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2016-09-29 12:01:00-03","NY","NYBG","337818","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","subalbens","Cupania subalbens","type","Martii Herbar. Florae Brasil.","264","South America","Brazil","Serra a Cima, prope Cujabá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=378340' target='other'> <mi>dwc_moreinfo</mi></a>","NY00337818","NY00337818_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00996107","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Talisia","subalbens","Talisia subalbens",NA,"J. R. Pirani","1339","South America","Brazil","Chapada dos Guimarães, cerrado perto do alto da cachoeira Véu de Noiva, do Rio Coxipozinho.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996107","NY00996107_01","(Mart.) Radlk.","P. Acevedo-Rodríguez","1985","10","21","Mato Grosso","Cuiabá","-55.75","-15.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 23:01:00-03","NY","NYBG","00996108","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Talisia","subalbens","Talisia subalbens",NA,"J. R. Pirani","1354","South America","Brazil","Chapada dos Guimarães, cerrado perto do alto da cachoeira Véu de Noiva, do Rio Coxipozinho.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100320' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996108","NY00996108_01",NA,"P. Acevedo-Rodríguez","1985","10","21","Mato Grosso","Cuiabá","-55.75","-15.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00996106","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Talisia","subalbens","Talisia subalbens",NA,"S. A. Mori","16723","South America","Brazil","Cuiabá-Chapada dos Guimarães H'wy (MT251). 3 km W of Buriti.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100318' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996106","NY00996106_01","(Mart.) Radlk.","P. Acevedo-Rodríguez","1984","07","12","Mato Grosso","Chapada dos Guimarães","-55.7494","-15.4608","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00996104","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Talisia","subalbens","Talisia subalbens",NA,"G. G. Hatschbach","63516","South America","Brazil","Rodovia Jaciara a Chapada dos Guimarães, 10 km O de Campo Verde.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100316' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996104","NY00996104_01","(Mart.) Radlk.","M. S. Ferrucci","1995","10","19","Mato Grosso","Campo Verde","-55.1689","-15.5469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00996119","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Talisia","subalbens","Talisia subalbens",NA,"G. T. Prance","18815","South America","Brazil","Chapada dos Guimarães. Partially disturbed cerradão behind Colegio Buriti Football Field.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100595' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996119","NY00996119_01","(Mart.) Radlk.","J. A. Kallunki","1973","10","11","Mato Grosso","Chapada dos Guimarães","-55.793376","-15.4185","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00996103","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Talisia","subalbens","Talisia subalbens",NA,"C. A. Cid Ferreira","6556","South America","Brazil","Próx, a Cachoeira Véu de Noiva. Área da Chapada dos Guimarães.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100315' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996103","NY00996103_01","(Mart.) Radlk.",NA,"1985","10","21","Mato Grosso","Cuiabá","-55.5","-15.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00996118","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Talisia","subalbens","Talisia subalbens",NA,"G. T. Prance","18815","South America","Brazil","Chapada dos Guimarães. Partially disturbed cerradão behind Colegio Buriti Football Field.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100580' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996118","NY00996118_01","(Mart.) Radlk.","J. A. Kallunki","1973","10","11","Mato Grosso","Chapada dos Guimarães","-55.793376","-15.4185","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00996105","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Talisia","subalbens","Talisia subalbens",NA,"M. Macedo","1412","South America","Brazil","Chapada Rd. Chapada dos Guimarães, Cuiabá.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100317' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996105","NY00996105_01","(Mart.) Radlk.","P. Acevedo-Rodríguez","1979","10","04","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00996111","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Talisia","subalbens","Talisia subalbens",NA,"W. W. Thomas","4553","South America","Brazil","Ca. 70 km E of Cuiabá, 5 km SW of São Vicente near Gruta do São Vicente (Casa de Pedra)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100323' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996111","NY00996111_01","(Mart.) Radlk.","P. Acevedo-Rodríguez","1985","10","23","Mato Grosso","Santo Antônio do Leverger","-55.38","-15.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
