"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01132033","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Trigoniaceae","Trigoniodendron","spiritusanctense","Trigoniodendron spiritusanctense","E.F.Guim. & Miguel","H. C. de Lima","5343","1997","04","24","South America","Brazil","Rio de Janeiro","Barra de São João, Guaxindiba, Fazenda São Pedro, Mata do Corvão.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1287136' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132033","NY01132033_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-24 17:10:06-03","UFES","SAMES","6614","PreservedSpecimen","Plantae",NA,NA,"Trigoniaceae","Trigoniodendron","spiritusanctense","Trigoniodendron spiritusanctense","E.F.Guim. & Miguel","Menezes,L.F.T.","2023","2012","06","05",NA,"Brasil","Espírito Santo","Reserva Biológica Córrego do Veado. NULL.",NA,"Flores branca. Habito: Árvore","SAMES06614",NA,"Siqueira,G.S.","2018","08","18","Pinheiros","-40.2132987976074","-18.3703002929688","28525","auto",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-24 17:10:06-03","UFES","SAMES","7850","PreservedSpecimen","Plantae",NA,NA,"Trigoniaceae","Trigoniodendron","spiritusanctense","Trigoniodendron spiritusanctense","E.F.Guim. & Miguel","Ribeiro,M.; Scott A. Mori;Nathan P. Smith","871","2013","10","21",NA,"Brasil","Espírito Santo","Reserva Biológica de Córrego do Veado.Começo da Trilha da Anta.",NA,"Inflorescência: corola branca com tons azuis, cálice verde esbranquiçado. Habito: Árvore","SAMES07850",NA,NA,NA,NA,NA,"Pinheiros","-40.2132987976074","-18.3703002929688","28525","auto","-401466666.0","-183444444.0",NA,NA,NA,NA,NA
"4","2021-03-01 16:42:25-03","UNICAMP","UEC","145334","S","Plantae","Magnoliopsida",NA,"Trigoniaceae","Trigoniodendron","spiritusanctense","Trigoniodendron spiritusanctense","E.F.Guim. & Miguel","Lima, HC; Faria, SM","5343","1997","04","24",NA,"Brazil","Rio de Janeiro","Guaxindiba. Fazenda São Pedro, Mata do Carvão",NA,"Árvore com 18m alt. Tronco com casca levemente fissurada, DAP 40cm. Frutos castanho-ferrugíneo. Ocasional.; Mata do Carvão.",NA,NA,NA,NA,NA,NA,"São João da Barra","-41.0511016845703","-21.6403007507324","31235","auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-04-27 16:11:49-03","UFES","VIES","17178","S","Plantae",NA,NA,"Trigoniaceae","Trigoniodendron","spiritusanctense","Trigoniodendron spiritusanctense","E.F.Guim. & Miguel","Gomes, J.M.L.","3223","2009","02","15",NA,"Brasil","Espírito Santo","RPPN Cafundó.",NA,NA,"VIES017178","VIES017178","Gomes, J.M.L.","2009","02","15","Cachoeiro de Itapemirim","-41.1128005981445","-20.8488998413086","35694","auto",NA,NA,NA,NA,NA,NA,NA
"6","2019-12-19 16:37:07-03","UNESP-IBB","BOTUW","1249","PreservedSpecimen","Plantae",NA,NA,"Trigoniaceae","Trigoniodendron","spiritusanctense","Trigoniodendron spiritusanctense","Guimarães et J. Miguel",NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo","Comp. Vale do Rio Doce",NA,NA,"BOTUW001249",NA,NA,NA,NA,NA,NA,"-40.533333","-19.866667",NA,NA,"40°32'W","19°52'S",NA,NA,NA,NA,NA
"7","2020-12-11 11:42:36-03","UFMG","BHCB","195797","PreservedSpecimen","Plantae","Dicotyledon",NA,"Trigoniaceae","Trigoniodendron","spiritusanctense","Trigoniodendron spiritusanctense","E.F. Guimarães & J.R.Miguel","Lima, HC de; Fontes, EA; Faintainin, MA; Viana, HBN; Neves-Neto, NB","8694","2018","07","19","Southern America","Brasil","Rio de Janeiro","Estação Ecológica Estadual de Guaxindiba, Módulo PPBio, Parcela P4, próx. ao piquete 240.",NA,"Proj.: PPBio Mata Atlêntica - Módulo Guaxindiba.; Árvore ca. 18 m alt. Tronco com casca levemente fissurada e pardo-clara, DAP 33 cm. Frutos castanhos-ferrugíneos. Frequente.","BHCB195797",NA,NA,"2018","07",NA,"São Francisco do Itabapoana","-41.841667","-40.356422",NA,NA,"-41.841667","-40.356422","2","2",NA,NA,NA
"8","2020-12-11 11:42:36-03","UFMG","BHCB","106251","PreservedSpecimen","Plantae","Dicotyledon",NA,"Trigoniaceae","Trigoniodendron","spiritusanctense","Trigoniodendron spiritusanctense","E.F. Guimarães & J.R.Miguel","Lima, HC de; Faria, SM","5343","1997","04","24","Southern America","Brasil","Rio de Janeiro","Fazenda São Pedro, Mata do Carvão",NA,"Árvore com 18 metro de altura. Tronco com casa levemente fissurada, DAP 40 cm. Frutos castanho-ferrugineos. Ocasional; Mata","BHCB030338",NA,NA,NA,NA,NA,"Barra de São João",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-09 10:14:17-03","UENF","HUENF","452","PreservedSpecimen","Plantae",NA,NA,"Trigoniaceae","Trigoniodendron","spiritusanctense","Trigoniodendron spiritusanctense","E.F.Guim. & Miguel","Nascimento, M.T.; Da Silva, G.C.","321","1996","04","22",NA,"Brasil","Rio de Janeiro","Mata do Carvão Estação Ecológica Estadual de Guaxindiba",NA,"MP; Árvore","HUENF00000454",NA,NA,NA,NA,NA,"São Francisco de Itabapoana","-41.094444","-21.391389",NA,NA,"41º5'40''W","21º23'29''S","39","39",NA,NA,NA
"10","2021-02-09 10:14:17-03","UENF","HUENF","465","PreservedSpecimen","Plantae",NA,NA,"Trigoniaceae","Trigoniodendron","spiritusanctense","Trigoniodendron spiritusanctense","E.F.Guim. & Miguel","Nascimento, M.T.; Da Silva, G.C.","645","1996","02","06",NA,"Brasil","Rio de Janeiro","Mata do Carvão Estação Ecológica Estadual de Guaxindiba",NA,"MD5; Árvore","HUENF00000467",NA,NA,NA,NA,NA,"São Francisco de Itabapoana","-41.094444","-21.391389",NA,NA,"41º5'40''W","21º23'29''S","39","39",NA,NA,NA
