"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","dayIdentified","recordNumber","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","typeStatus","sex"
"1","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","681","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Canistrum","alagoanum","Canistrum alagoanum","Leme & J.A.Siqueira","Elton. C. M. Leme","2011","08","Elton M. C. Leme; J. A. Siqueira; Marcelo","2005","03","18","Brasil","Alagoas","Murici","Serra do Ouro, Reserva da Universidade Federal de Alagoas","-35.9432983398438","-9.30667018890381","22851","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-04-22 16:25:58-03","UFPB","JPB","35660","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Bromeliaceae","Canistrum","alagoanum","Canistrum alagoanum","Leme & J.A.Siqueira","Pontes, RA","2016","03","Martinelli, G; Bárbara, T; Daniel","1999","05","03","Brasil","Alagoas","Murici","Serra do Ouro, Mata Atlântica pouco degradada","-35.844444","-9.248889",NA,NA,"; DESC: Erva epífita, ciófila ou semi-ciófila, folhas verdes com máculas vinosas e indumento argênteo; bainha castanho-clara com parte superior vermelho-arroxeado, es#?#pinhos nigrescentes; ápice vinoso; infl. Com verde na base e avermelhado para o ápice;",NA,"16","15337","Southern America","-35.844444","-9.248889","400","450",NA,NA,NA,NA
"3","2021-03-04 11:04:40-03","UFRB","HURB","21678","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","alagoanum","Canistrum alagoanum","Leme & J.A.Siqueira","R.A.Pontes","2016","03","Pontes, R.A.","2016","03","07","Brasil","Alagoas","São Luí do Quintude","Serra da Cachoeira; Fazenda Lagoa Vermelha","-35.671111","-9.328611",NA,NA,"UFRN 22446. <ll>dwc_commonname:</ll> Bromélia",NA,"10","1140",NA,"35º40'16W","9º19'43S","150","150","HURB000021678",NA,NA,NA
"4","2021-03-04 11:04:40-03","UFRB","HURB","23650","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","alagoanum","Canistrum alagoanum","Leme & J.A.Siqueira","J.A.Siqueira Filho","2012","01","Siqueira Filho, J.A.; Oliveira, C.R.S.; Fabricante, J.R. & Ferreira, J.V.A.","2012","01","31","Brasil","Alagoas","Maceió","Riacho Doce; Área prioritária para conservação: MC-771- Estuários e manguezais do litoral norte de Alagoas-1-Extremamente alta","-35.655783","-9.559617",NA,NA,"material cultivado no Bromeliário Biouniverso nº350. Material coletado em 04/01/2001",NA,"31","2743",NA,"35º39'20,82W","09º33'34,62S","529","529","HURB000023650","HURB000023650",NA,NA
"5","2021-03-04 11:04:09-03","UFRB","HURB","25943","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","alagoanum","Canistrum alagoanum","Leme & J.A.Siqueira","E.H.Souza",NA,NA,"Souza, E.H.","2020","11","01","Brasil","Alagoas","Murici","Estação Ecológica de Murici; Serra do Ouro, entrada a esquerda na BR 101","-35.831667","-9.249889",NA,NA,"especie do Banco de Germoplasma de Bromélia (BGB-1199). planta terrestre ou epífita, folhas verdes ou violáceas, inflorescência vermelha com flores amarelas.",NA,NA,"250",NA,"35º49'54W","9º14'59,6S",NA,NA,"HURB000025943","HURB000025943",NA,NA
"6","2021-01-26 13:52:56-03","IMA","MAC","8015","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","alagoanum","Canistrum alagoanum","Leme & J.A.Siqueira",NA,"2008",NA,"R.P.Lyra-Lemos; C.S.S.Barros; I.A.Bayma","1992","01","02","Brasil","Alagoas","Maceió","Tabuleiro do Martins.","-35.739264","-9.647683",NA,NA,"Epífita.; Mata atlântica em vale de tabuleiro.",NA,NA,"2595",NA,"-35.739264","-9.647683",NA,NA,"MAC0008015",NA,NA,NA
"7","2021-01-26 13:52:56-03","IMA","MAC","43684","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","alagoanum","Canistrum alagoanum","Leme & J.A.Siqueira","E.C.O.Chagas","2009","08","Chagas-Mota; V.G.Ramalho","2009","08","29","Brasil","Alagoas","Paripueira","RPPN Sabiá.","-35.916667","-9.785278",NA,NA,"Erva ca. 1 m de altura. Inflorescência alaranjada.; Mata Pluvial Atlântica.",NA,"29","5188",NA,"-35.916667","-9.785278",NA,NA,"MAC0043684",NA,NA,NA
"8","2021-01-26 13:52:56-03","IMA","MAC","21782","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","alagoanum","Canistrum alagoanum","Leme & J.A.Siqueira",NA,NA,NA,"A.Costa","2006","01","28","Brasil","Alagoas","Maceió","Serra da Saudinha.","-35.664278","-9.558428",NA,NA,"Arbusto.; Mata Atlântica.",NA,NA,"79",NA,"-35.664278","-9.558428",NA,NA,"MAC0021782",NA,NA,NA
"9","2021-01-26 13:52:56-03","IMA","MAC","63624","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Canistrum","alagoanum","Canistrum alagoanum","Leme & J.A.Siqueira",NA,NA,NA,"J.W.Alves-Silva; B.Schindler; M.Figueira;","2016","09","01","Brasil","Alagoas","Paripueira","RPPN Placas.","-37.248353","-9.370411",NA,NA,"Rizomática; terrestre. Inflorescência laranja.; Mata Atlântica.",NA,NA,"1573",NA,"-37.248353","-9.370411",NA,NA,"MAC0063624",NA,NA,NA
"10","2021-03-01 11:55:10-03","UFPE","UFP","40678","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Canistrum","alagoanum","Canistrum alagoanum","Leme & J.A. Siqueira-Filho","Siqueira-Filho, JA","2003","07","Viana, A; Felix, LP; Oliveira, JBS","2003","03","16","Brasil","Alagoas","Ibateguara",NA,"-35.840861","-8.489778",NA,NA,"Rupícola. Folhas verde-claro, base amarelada na porção inferior e vinácea na porção superior. Escapo floral revestido por brácteas alaranjadas. Flores alaranjadas.; Rupícola. Folhas verde-claro, base amarelada na porção inferior e viná",NA,"10","267",NA,"-35.840861","-8.489778","397","397","UFP040678",NA,NA,NA
"11","2021-03-01 11:55:10-03","UFPE","UFP","33805","PreservedSpecimen","Plantae",NA,"Pales","Bromeliaceae","Canistrum","alagoanum","Canistrum alagoanum","Leme & J.A. Siqueira-Filho","Siqueira-Filho, JA","2002","10","Siqueira-Filho, JA","2002","10","30","Brasil","Alagoas",NA,NA,"-35.727778","-9.393944",NA,NA,"Saxícola. Inflorescência subcorimbosa, alaranjada em início de floração. Flores amarelas, tubulosas. Material depositado no Bromeliário Biouniverso sob o nº 511.; Saxícola. Inflorescência subcorimbosa, alaranjada em início de floração.",NA,"30","1298",NA,"-35.727778","-9.393944","191","191","UFP033805",NA,NA,NA
