"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","545552","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Amaryllis","breviflora","Amaryllis breviflora","(Herb.) Seub.","P. F. Ravenna","G. G. Hatschbach","61286","1994","11","23","South America","Brazil","Rio Grande do Sul","Cambará do Sul","Rod. BR-450, próximo ao posto da divisa Santa Catarina-Rio Grande do Sul","-50.1444","-29.0481","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150745' target='other'> <mi>dwc_moreinfo</mi></a>","NY00545552","NY00545552_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02450245","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Amaryllidaceae","Hippeastrum","breviflorum","Hippeastrum breviflorum","Herb.",NA,"G. G. Hatschbach","61226","1994","11","22","South America","Brazil","Santa Catarina","Palhoça","Rod. BR-101, próximo ao trevo para o Balneário Pinheiros.","-48.6678009033203","-27.645299911499",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2644849' target='other'> <mi>dwc_moreinfo</mi></a>","NY02450245","NY02450245_01","31105","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:00:12-03","JBP","HPL","330","S","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","breviflorum","Hippeastrum breviflorum","Herb.","H. Lorenzi","H. Lorenzi","2445","2000","11","14",NA,"Brasil","RS","Eldorado do Sul","BR-290 nas turfeiras brejosas do rio Guaíba, em solo encharcado.","-51.6161","-30.0839",NA,NA,NA,NA,NA,NA,"33687","auto","2000","11","14",NA,NA,NA,NA,NA
"4","2015-07-02 14:00:12-03","JBP","HPL","329","S","Plantae",NA,NA,"Amaryllidaceae","Hippeastrum","breviflorum","Hippeastrum breviflorum","Herb.","H. Lorenzi","H. Lorenzi","2461","2000","11","16",NA,"Brasil","RS","São Francisco de Paula","Rodovia para Cambará do Sul a 10km da cidade em várzea úmida.","-50.5836","-29.4481",NA,NA,NA,NA,NA,NA,"76715","auto","2000","11","16",NA,NA,NA,NA,NA
"5","2019-08-27 13:26:19-03","IAP","PACA-AGP","103612","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Amaryllidaceae","Hippeastrum","breviflorum","Hippeastrum breviflorum","Herb.",NA,NA,NA,"2005","01",NA,NA,"Brasil","RS","Cambará do Sul","Parque Nacional Aparados da Serra","-50.133333","-29.033333",NA,NA,NA,"Habitat: em baixadas úmidas com solos pobres e ácidos","PACA103612",NA,NA,NA,NA,NA,NA,"Liliatae","50°08'W","29°02'S",NA,NA
"6","2019-08-27 13:26:19-03","IAP","PACA-AGP","36624","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Amaryllidaceae","Hippeastrum","breviflorum","Hippeastrum breviflorum","Herb.","Bastian, R.E.","Rambo, B.",NA,"1948","02",NA,NA,"Brasil","RS","São Francisco de Paula","Cambara","-50.5835990905762","-29.4480991363525",NA,NA,NA,"sin. Hippeastrum vittatum Herb. Habitat: in paludosis turfosis Fenofase: flor e fruto","PACA036624",NA,"76715","auto","2017","05","30","Liliatae",NA,NA,NA,NA
"7","2019-08-27 13:26:19-03","IAP","PACA-AGP","50984","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Amaryllidaceae","Hippeastrum","breviflorum","Hippeastrum breviflorum","Herb.","Bastian, R. E.","Sehnem, A.",NA,"1950","12","19",NA,"Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,NA,NA,"sin. Hippeastrum vittatum Herb. Habitat: in paludosis turfosis Fenofase: flor","PACA050984",NA,"76715","auto","2017","05","30","Liliatae",NA,NA,NA,NA
"8","2019-08-27 13:26:19-03","IAP","PACA-AGP","45434","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Amaryllidaceae","Hippeastrum","breviflorum","Hippeastrum breviflorum","Herb.","Bastian, R.E.","Rambo, B.",NA,"1950","01","18",NA,"Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,"sin. Hippeastrum vittatum Herb. Habitat: in paludosis turfosis Fenofase: flor","PACA045434",NA,"55856","auto","2017","05","30","Liliatae",NA,NA,NA,NA
"9","2019-08-27 13:26:19-03","IAP","PACA-AGP","56405","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Amaryllidaceae","Hippeastrum","breviflorum","Hippeastrum breviflorum","Herb.","Bastian, R.E.","Rambo, B.",NA,"1955","01","02",NA,"Brasil","RS","São Francisco de Paula","Faz. Englert","-50.5835990905762","-29.4480991363525",NA,NA,NA,"sin. Hippeastrum vittatum Herb. Habitat: in paludosis alte dumetosis Fenofase: flor e fruto","PACA056405",NA,"76715","auto","2017","05","30","Liliatae",NA,NA,NA,NA
"10","2019-08-27 13:26:19-03","IAP","PACA-AGP","86568","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Amaryllidaceae","Hippeastrum","breviflorum","Hippeastrum breviflorum","Herb.","Bastian, R.E.","Sehnem, A.","5111","1950","12","18",NA,"Brasil","RS","São Francisco de Paula","Taimbé","-50.5835990905762","-29.4480991363525","1000","1000",NA,"Habitat: in palude","PACA086568",NA,"76715","auto","2017","05","30","Liliatae",NA,NA,NA,NA
