"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","decimalLongitude","decimalLatitude","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01022382","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Phoradendron","dipterum","Phoradendron dipterum","Eichler","J. Kuijt","A. P. Duarte","2242","1949","12","09","South America","Brazil","Minas Gerais","Serra do Cipó, km. 129.","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141585' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","644795","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Phoradendron","dipterum","Phoradendron dipterum","Eichler","J. Kuijt","C. C. Berg","623","1977","10","18","South America","Brazil","Pará","Serra dos Carajás, Serra do Norte, ca. 20 km N of AMZA Exploration Camp",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644795","-50.25","-6","NY00644795_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","687183","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Phoradendron","dipterum","Phoradendron dipterum","Eichler","B. L. Stannard","R. M. Harley","51835","1992","03","09","South America","Brazil","Bahia","Perto do Garimpo do Salão, estrada Piata-Abaíra, 10 km de Piatã","1240","1240","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=859409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687183","-41.75","-13.22","NY00687183_01","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","687184","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Phoradendron","dipterum","Phoradendron dipterum","Eichler","J. Kuijt","R. M. Harley","51652","1992","02","27","South America","Brazil","Bahia","Barra","1040","1040","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=859410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687184","-41.77","-13.3","NY00687184_01","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 18:44:00-03","NY","NYBG","644798","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Phoradendron","dipterum","Phoradendron dipterum",NA,"J. Kuijt","E. M. Zardini","7229","1988","09","15","South America","Paraguay","Paraguarí","Parque Nacional Ybicu'í. Road to César Barrientos","150","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644798","-56.83","-26.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","644792","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Phoradendron","dipterum","Phoradendron dipterum","Eichler","J. Kuijt","H. S. Irwin","32397","1971","02","17","South America","Brazil","Bahia","Serra do Tombador. Morro do Chapéu, ca. 7 km S of town of Morro do Chapéu","1125","1125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743117' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644792",NA,NA,"NY00644792_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","644791","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Phoradendron","dipterum","Phoradendron dipterum","Eichler","J. Kuijt","J. N. Rose","20027","1915","06","24","South America","Brazil","Bahia","Vicinity of Monte Cruzeiro",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743116' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644791",NA,NA,"NY00644791_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","644796","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Phoradendron","dipterum","Phoradendron dipterum","Eichler","J. Kuijt","F. J. Roldán","1059","1988","08","02","South America","Colombia","Antioquia","Vereda Santa Rita. Finca Montepinar-Finca Las Palmas, Quebrada Larga","1800","1800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644796","-75.13","6.28",NA,"Guatapé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01022380","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Phoradendron","dipterum","Phoradendron dipterum","Eichler","C. T. Rizzini","E. P. Heringer","5159","1980","07","01","South America","Brazil","Distrito Federal","Bacia do Rio São Bartolomeu.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141578' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022380","-47.9294","-15.7797","NY01022380_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","644793","PreservedSpecimen","Plantae","Magnoliophyta","Santalales","Santalaceae","Phoradendron","dipterum","Phoradendron dipterum","Eichler","B. L. Stannard","R. M. Harley","26702","1988","12","05","South America","Brazil","Bahia","Pico das Almas. Vertente leste. Vale ao sudeste do Campo de Queiroz","1450","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743112' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644793","-41.95","-13.53","NY00644793_01","Rio de Contas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
