"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:24:48-03","UNESC","CRI","5200","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","parvifolium","Aspidosperma parvifolium","A.DC.","Vanilde Citadini- Zanette","V. Citadini-Zanette; A. Gozçe & V. P. Boff","1996","09","20","Brasil","Santa Catarina","Urussanga","Santana.","-49.321111","-28.518333","49º19'16''W","28º31'6''S","300","300","CRI000448","CRI000448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:48-03","UNESC","CRI","4196","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","parvifolium","Aspidosperma parvifolium","A.DC.","Vanilde Citadini- Zanette","Valdemar Boff","1995","10","24","Brasil","Santa Catarina","Urussanga","Belvedere.","-49.321111","-28.518333","49º19'16''W","28º31'6''S","211","211","CRI000445","CRI000445","78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:11-03","E","E","105324","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","parvifolium","Aspidosperma parvifolium",NA,NA,"Ratter, J.A., Ribeiro, J.F. & Borges, J.","1997","07","26","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00105324",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:114913","<a href=http://data.rbge.org.uk/herb/E00105324 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","440300","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","ingratum","Aspidosperma ingratum","K.Schum.","W. Marcondes-Ferreira","G. Martinelli","1986","11","26","Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, nascente do Rio das Flores","-42.5308","-22.2819",NA,NA,"1100","1100","NY00440300","NY00440300_01","11913","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667425' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","440299","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","ingratum","Aspidosperma ingratum","K.Schum.","W. Marcondes-Ferreira","M. P. M. de Lima","1990","08","16","Brazil","Rio de Janeiro","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima. Sitio Fazenda Velha","-42.5311","-22.2819",NA,NA,NA,NA,"NY00440299","NY00440299_01","170","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=667426' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","440403","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","parvifolium","Aspidosperma parvifolium","A.DC.","A. J. M. Leeuwenberg","G. G. Hatschbach","1995","01","15","Brazil","Espírito Santo","Venda Nova do Imigrante","Torre da Telest","-41.1344","-20.3397",NA,NA,"1200","1200","NY00440403","NY00440403_01","61537","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554964' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","448780","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","parvifolium","Aspidosperma parvifolium","A.DC.","A. J. M. Leeuwenberg","R. Saraiva","1992","04","14","Brazil","Acre","Brasiléia","Reserva Extrativista Chico Mendes, Seringal Porongaba, transecto 2, M428.","-72.7","-9.12",NA,NA,NA,NA,"NY00448780","NY00448780_01 NY00448780_02","1500","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554975' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1921483","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","parvifolium","Aspidosperma parvifolium","A.DC.","W. Marcondes-Ferreira","S. A. Mori","1981","04","29","Brazil","Bahia","Una","Maruim, border of the fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 43-A","-39.1202492","-15.1148921",NA,NA,"100","100","NY01921483","NY01921483_01","13836","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281540' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","440406","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","parvifolium","Aspidosperma parvifolium","A.DC.","W. Marcondes-Ferreira","L. Riedel",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY00440406","NY00440406_01",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554969' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02890542","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","parvifolium","Aspidosperma parvifolium","A.DC.","R. F. Souza-Silva","P. Fiaschi","2004","03","31","Brazil","Bahia","Itacaré","Estrada de Serra Grande/Uruçuca, Km 8. Área do Inventário do Plano de manejo. Fazenda da serraria.","-39.0653","-14.3514",NA,NA,"140","140","NY02890542","NY02890542_01","2184","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2475285' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","02808770","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","parvifolium","Aspidosperma parvifolium","A.DC.","E. C. Oliveira","D. da Silva Costa","2012","07","20","Brazil","Acre","Xapuri","Projeto de Assentamento Cachoeira, BR 317, km 16, Colocação do Sr. Nilsomar, alto duro,","-68.389556","-10.822328",NA,NA,NA,NA,"NY02808770","NY02808770_01","14","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704965' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
