"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","geoFlag","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","484145","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","D. C. Wasshausen","J. P. P. Carauta","1341","1976","03","28","South America","Brazil","Rio de Janeiro","Serra dos Orgaos, entre a Barragem e o Abrigo 2.","sheet","FEEMA Departamento de Conservaçao Ambiental; Collector is P. Carauta on label. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=692221' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484145","NY00484145_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","484148","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","D. C. Wasshausen","L. Riedel",NA,"1821",NA,NA,"South America","Brazil",NA,"Brasilia","sheet","N° 0,60 L. Riedel: Iter Brasiliensis 1821-36 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=692223' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484148","NY00484148_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","880178","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees",NA,"L. Freitas","942","2011","02","17","South America","Brazil","Rio de Janeiro","Trilha Barbosa Rodrigues. Parque Nacional de Itatiaia, com ca. de 300 m da estrada Principal","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536860' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880178","NY00880178_01","Itatiaia","-44.5633010864258","-22.4960994720459","19648","700","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","484143","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","D. C. Wasshausen","W. R. Anderson","11703","1976","02","24","South America","Brazil","Rio de Janeiro","Serra dos Orgaos, Parque Nacional.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=692222' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484143","NY00484143_01",NA,"-43.066425","-22.508615",NA,"1150",NA,"1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","484149","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","D. C. Wasshausen","P. von Luetzelburg","6497","1915","07",NA,"South America","Brazil","Rio de Janeiro","Rio, Orgelgebirge","sheet","Communicavit herb. reg. monacense <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=692225' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484149","NY00484149_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","484144","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","D. C. Wasshausen","J. P. Lanna Sobrinho","1262","1966","02","23","South America","Brazil","Rio de Janeiro","Rezende, pr. Penedo, Sítio Palmital.","sheet","FEEMA Departamento de Conservaçao Ambiental <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=692220' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484144","NY00484144_01","Resende","-44.4467","-22.4692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","484146","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","D. C. Wasshausen","J. R. Pirani","2850","1993","05","14","South America","Brazil","Rio de Janeiro","Serra do Imbé, morros perto do Pico São Mateus, ao lado da Cachoeira do Tombo d'Agua acima do Córrego Mocotó.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=692224' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484146","NY00484146_01","Campos",NA,NA,NA,"400",NA,"400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","484147","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","D. C. Wasshausen","M. Kuhlmann","4076","1957","05","15","South America","Brazil","São Paulo","Cubatao","sheet","Instituto de Botanica Sao Paulo - Brasil <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=692219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484147","NY00484147_01","Cubatao","-46.4197","-23.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1281594","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","M. K. Caddah","M. K. Caddah","732","2010","01","19","South America","Brazil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos, trilha para Pedra do Sino","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1724340' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281594","NY01281594_01","Teresópolis","-43.0061","-22.73589",NA,"1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:18:42-03","UFRJ","RFA","22733","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Aphelandra","oostachya","Aphelandra oostachya","Wawra","E.C. Leonard","F. Segadas-Vianna","702","1945","03","02",NA,"Brasil","Rio de Janeiro","Caminho para Rio Bonito",NA,NA,"RFA18688",NA,"Itatiaia","-44.5633010864258","-22.4960994720459","19648","1000","auto","1000","1960","10","18",NA,NA,NA,NA,NA,NA,NA
"11","2020-11-13 09:18:42-03","UFRJ","RFA","24456","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","C.M. Vieira","F.M. de B. Pereira","71/011","2016","05","11",NA,"Brasil","Rio de Janeiro","Municipio de Sapucaia, 3º distrito Fazenda Selo verde.",NA,"Erva com 60cm de Altura, flores amarelas, folhas verdes e caule marrom, mata de encosta sobre solo argiloso","RFA32265",NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","716","auto","716","2016","06","06","42º50'91''W","22º3'78''S",NA,NA,NA,NA,NA
"12","2020-06-29 11:28:40-03","UFRJ","RFA","4074","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","Rizzini","P. Occhioni","992","1947","03","24",NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia, Lote 70",NA,"Arbusto de flor amarela","RFA24638",NA,"Itatiaia","-44.5633010864258","-22.4960994720459","19648",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-13 09:18:42-03","UFRJ","RFA","27131","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","A. Quinet","A. Quinet","54/79",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Municipio de Nova Friburgo, Lumiar, flor das andorinhas.",NA,"Erva, folha discolor verde, inflorescencia amarela, corola amarela, comum no local, mata de encosta sob solo argiloso/arenoso, luminosidade média.","RFA32258",NA,"Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","600","auto","600","2001","09","14","42º21'63''W","22º21'80''S",NA,NA,NA,NA,NA
"14","2021-03-30 12:33:03-03","EAO","IAN","15155","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees",NA,"Oliveira, JE de","512","1941","06","05","Southern America","Brasil","Minas Gerais","Mata, Pedra Dourada, pouco frequente.",NA,"Arbusto de 1m de altura.","IAN015155","IAN015155 IAN015155_e","Tombos","-42.0228004455566","-20.9046993255615","16749",NA,"auto",NA,"1968",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-12-04 15:24:39-03","PUCPR","HUCP","7920","S","Plantae","Eudicotiledonea",NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees.","Jaszczerski, JC","Araujo, A","001","1994","10",NA,NA,"Brasil","Paraná","Jardim Social",NA,NA,"HUCP00006108","HUCP00006108","Curitiba","-49.2731018066406","-25.4277992248535","25180",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-08 21:31:30-03","UFBA","ALCB","11975","PreservedSpecimen","Plantae","Dicotyledon",NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees",NA,"s.col.","s/n",NA,NA,NA,"Southern America","Brasil",NA,"Acanthacea do sul do Brasil, dos lugares úmidos e sombrios",NA,NA,"ALCB015012","ALCB015012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
