"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","day","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01176377","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Eleocharis","elata","Eleocharis elata","Boeckeler","T. M. Koyama","G. Davidse","17839","1980","04","South America","Brazil","Pará","Marapanim","Just east of the fishing village of Camara which is ca. 11 km NW of Marudá","-47.68","-0.62","2","20","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409628' target='other'> <mi>dwc_moreinfo</mi></a>","NY01176377","NY01176377_01 NY01176377_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","622753","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Eleocharis","plicarhachis","Eleocharis plicarhachis","(Griseb.) Svenson","W. W. Thomas","O. T. Moura","310","1987","09","South America","Brazil","Paraíba",NA,"Mamgabeira-1-Joao Pessoa-Brasil.","-34.841973","-7.167062",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=331496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622753","NY00622753_01","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01177001","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Eleocharis","plicarhachis","Eleocharis plicarhachis","(Griseb.) Svenson","F. J. Hermann","W. A. Archer","8413","1943","04","South America","Brazil","Pará",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1411447' target='other'> <mi>dwc_moreinfo</mi></a>","NY01177001","NY01177001_01","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","622752","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Eleocharis","plicarhachis","Eleocharis plicarhachis","(Griseb.) Svenson","D. A. Simpson","R. M. Harley","19638","1977","03","South America","Brazil","Bahia",NA,"Middle N.E. slopes of the Pico das Almas ca. 25 km. W.N.W. of the Vila do Rio de Contas. Serra das Almas.","-41.95","-13.55","1500","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=331501' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622752",NA,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 11:13:00-03","NY","NYBG","636908","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Eleocharis","plicarhachis","Eleocharis plicarhachis",NA,NA,"T. M. Pedersen","1712","1952","05","South America","Argentina","Corrientes","Mburucuyá","Estancia Santa Teresa.",NA,NA,NA,NA,"sheet","New for Corrientes. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=331500' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636908",NA,"06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 21:52:00-03","NY","NYBG","00925695","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Eleocharis","plicarhachis","Eleocharis plicarhachis",NA,NA,"C. da Silva","612","1983","07","South America","Brazil","Mato Grosso","Barão de Melgaço","Baia Recreio.","-55.9672","-16.1944",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925695","NY00925695_01","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-10-28 15:23:00-02","NY","NYBG","00925696","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Eleocharis","plicarhachis","Eleocharis plicarhachis",NA,NA,"C. da Silva","614","1983","08","South America","Brazil","Mato Grosso","Barão de Melgaço","Baía Recreio.","-55.9672","-16.1944",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925696","NY00925696_01","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-30 02:27:00-03","NY","NYBG","01176400","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Eleocharis","plicarhachis","Eleocharis plicarhachis",NA,"E. González","W. A. Egler","45497","1961","07","South America","Brazil","Amapá",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1411445' target='other'> <mi>dwc_moreinfo</mi></a>","NY01176400","NY01176400_01","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 11:13:00-03","NY","NYBG","636906","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Eleocharis","plicarhachis","Eleocharis plicarhachis",NA,"G. Davidse","F. Delascio","11503","1981","12","South America","Venezuela","Guárico","Infante","Parque Nacional Aguaro-Guariquito: Morichal Indio Viejo.","-67.9","9.833","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=331494' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","636907","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Eleocharis","plicarhachis","Eleocharis plicarhachis","(Griseb.) Svenson","E. R. Guaglianone","R. Haase","374","1984","03","South America","Bolivia","La Paz","Abel Iturralde","Luisita. Sabana húmeda, W del Rio Beni. Palmar, con agua estancada de 20 cm.","-67.25","-13.08","180","180","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=331499' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636907",NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
