"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","infraspecificEpithet"
"1","2020-09-23 10:39:03-03","E","E","100757","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","daphnites","Erythroxylum daphnites","Bridgewater, S., Ratter, J.A., Filho, J.F. & Dias, T.","1999","08","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109916","<a href=http://data.rbge.org.uk/herb/E00100757 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:03-03","E","E","102423","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","daphnites","Erythroxylum daphnites","Bridgewater, S., Ratter, J.A. & Filho, J.F.","1998","11","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:110825","<a href=http://data.rbge.org.uk/herb/E00102423 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:39:03-03","E","E","99991","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","daphnites","Erythroxylum daphnites","Bridgewater, S., Ratter, J.A., Filho, J.F. & Dias, T.","1999","08","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109319","<a href=http://data.rbge.org.uk/herb/E00099991 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00099991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:39:03-03","E","E","102424","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","daphnites","Erythroxylum daphnites","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","07","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:110824","<a href=http://data.rbge.org.uk/herb/E00102424 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:39:03-03","E","E","100469","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","daphnites","Erythroxylum daphnites","Bridgewater, S., Ratter, J.A. & Filho, J.F.","1999","08","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109838","<a href=http://data.rbge.org.uk/herb/E00100469 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00997148","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","daphnites","Erythroxylum daphnites","E. P. Heringer","1977","10","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1148556' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997148","Magnoliophyta","Malpighiales","Mart.","T. C. Plowman","184","Distrito Federal","Brasília","Reserva Ecológica do IBGE. Picada R-1.","-47.9294","-15.7797","NY00997148_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 17:23:00-03","NY","NYBG","387124","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","daphnites","Erythroxylum daphnites","T. J. Killeen","1987","10","19","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691464' target='other'> <mi>dwc_moreinfo</mi></a>","NY00387124","Magnoliophyta","Malpighiales",NA,"T. C. Plowman","2812",NA,NA,"Santa Cruz, Chiquitos, Serrania De Santiago, 5km N of Santiago de Chiquitos","-59.67","-18.33",NA,"700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1182098","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","daphnites","Erythroxylum daphnites","P. G. Delprete","2004","10","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1397196' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182098","Magnoliophyta","Malpighiales","Mart.","J. L. da Costa Lima","9008","Goiás","Iporá","Parque Ecológico da Cachoeirinha, Junção do Córrego Tamanduá.","-51.1342","-16.4428","NY01182098_01","460","460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00997158","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","daphnites","Erythroxylum daphnites","J. E. B. Warming","1963","08","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1148766' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997158","Magnoliophyta","Malpighiales","Mart.","J. J. Peyritsch","s.n.","Minas Gerais","Lagoa Santa","Donna Theodoras pasto.","-43.8894","-19.6272","NY00997158_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00997159","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","daphnites","Erythroxylum daphnites","S. G. da Fonsêca","1968","10","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1148767' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997159","Magnoliophyta","Malpighiales","Mart.","T. C. Plowman","1055","Goiás",NA,"A 9 km na estrada Caiapônia - Aragarças.",NA,NA,"NY00997159_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00997279","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","daphnites","Erythroxylum daphnites","L. M. M. Carreira","1983","03","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1153123' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997279","Magnoliophyta","Malpighiales","Mart.","J. L. da Costa Lima","593","Mato Grosso",NA,"Chapada dos Guimarães, São Vicente, Cachoeirinha.",NA,NA,"NY00997279_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00997153","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","daphnites","Erythroxylum daphnites","J. A. Ratter","1976","10","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1148564' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997153","Magnoliophyta","Malpighiales","Mart.",NA,"R.3744","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km SSW of Brasília TV tower. (Cabeceira just below the Olho de Agua da Onça).","-47.9294","-15.7797","NY00997153_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00997155","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","daphnites","Erythroxylum daphnites","G. M. Christenson","1979","09","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1148567' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997155","Magnoliophyta","Malpighiales","Mart.","T. C. Plowman","1167","Mato Grosso",NA,"Vicinity of Buriti. Chapada dos Guimarães","-55.77825","-15.432","NY00997155_01","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","387127","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","daphnites","Erythroxylum daphnites","H. de F. Leitão Filho","1981","04","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00387127","Magnoliophyta","Malpighiales","Mart.","M. I. Bezerra Loiola","12458","São Paulo","Araraquara","Rodovia p/ Matao, cerrado à margem da estrada","-48.1697","-21.7903","NY00387127_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00997149","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","daphnites","Erythroxylum daphnites","E. P. Heringer","1979","10","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1148558' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997149","Magnoliophyta","Malpighiales","Mart.","T. C. Plowman","2259","Goiás","Alto Paraíso de Goiás",NA,"-47.5097","-14.1325","NY00997149_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","680005","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","daphnites","Erythroxylum daphnites","H. S. Irwin","1965","10","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=855333' target='other'> <mi>dwc_moreinfo</mi></a>","NY00680005","Magnoliophyta","Malpighiales","Mart.","T. C. Plowman","8949","Distrito Federal","Brasília","Ca. 15 km. E. of Brasília, near Planaltina","-47.83071","-15.68385","NY00680005_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
