"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","typeStatus","stateProvince","locality","phylum","order","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:44:29-03","E","E","80105","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","rufa","Vochysia rufa","Gottsberger, G. & Döring, J.","1986","03","07","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:88889","<a href=http://data.rbge.org.uk/herb/E00080105 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00080105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:44:29-03","E","E","114611","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","rufa","Vochysia rufa","Fillio, Aug. de Oliviera","1983","03","17","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:121918","<a href=http://data.rbge.org.uk/herb/E00114611 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00114611","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:44:29-03","E","E","103846","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","rufa","Vochysia rufa","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","08","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:112803","<a href=http://data.rbge.org.uk/herb/E00103846 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00103846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:44:29-03","E","E","315965","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","rufa","Vochysia rufa","Brooks, R.R.; Reeves, R.D.; Baker, A.J.M.; Rizzo, J.A.","1988","04","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:321069","<a href=http://data.rbge.org.uk/herb/E00315965 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00315965","90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:44:29-03","E","E","103824","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","rufa","Vochysia rufa","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","08","06","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:112778","<a href=http://data.rbge.org.uk/herb/E00103824 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00103824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:44:29-03","E","E","103826","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","rufa","Vochysia rufa","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","07","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:112776","<a href=http://data.rbge.org.uk/herb/E00103826 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00103826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:44:29-03","E","E","114612","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","rufa","Vochysia rufa","Fillio, Ary T. de Oliviera","1983","03","17","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:121922","<a href=http://data.rbge.org.uk/herb/E00114612 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00114612","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:44:29-03","E","E","105323","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","rufa","Vochysia rufa","Bridgewater, S., Ratter, J.A., Filho, J.F. & Dias, T.","1999","08","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:114914","<a href=http://data.rbge.org.uk/herb/E00105323 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00105323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:44:29-03","E","E","100465","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","rufa","Vochysia rufa","Bridgewater, S., Ratter, J.A. & Filho, J.F.","1999","04","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109859","<a href=http://data.rbge.org.uk/herb/E00100465 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:44:29-03","E","E","205524","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","rufa","Vochysia rufa","Ratter, J.A.; Bridgewater, S.; Filho, J. Fonsêca; Ribeiro, J.F. & Proença, C.","1997","11","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:218490","<a href=http://data.rbge.org.uk/herb/E00205524 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00205524","1857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
