"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","barcode","imagecode","continentOcean","typeStatus","relatedCatalogItem"
"1","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","1859","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Asterostigma","lombardii","Asterostigma lombardii","E.G.Gonç.","Carlos A. Ferreira Jr.","2011","01","09","Carlos Alberto F. Jr.;","CAF140","2011","01","09","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG436","-43.6697006225586","-19.8799991607666","43º39'39","19º49'08","22051","1259","1259","254","auto",NA,NA,NA,NA,NA
"2","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","2406","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Asterostigma","lombardii","Asterostigma lombardii","E.G.Gonç.","Carlos A. Ferreira Jr.","2012","05",NA,"Juliana Ordones Rego;",NA,"2012","05",NA,"Brasil","Minas Gerais","Belo Horizonte","Fundação Zoobotânica - Mata do Setor Extra próximo ao murro do Bairro confisco","-43.937801361084","-19.9207992553711",NA,NA,"17082",NA,NA,"254","auto",NA,NA,NA,NA,NA
"3","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","1022","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Asterostigma","lombardii","Asterostigma lombardii","E.G.Gonç.",NA,NA,NA,NA,"Eduardo G. Gonçalves; E.R. Salviani, L.S. Leonii & M. Peixoto","EGG696","2001","01","30","Brasil","Minas Gerais","Carangola",NA,"-42.0293998718262","-20.7331008911133",NA,NA,"21913",NA,NA,"254","auto",NA,NA,NA,NA,NA
"4","2020-01-28 13:10:59-03","MCN-PUC-MINAS","HPUC-MG","ANG4586","S","Plantae",NA,NA,NA,"Araceae","Asterostigma","lombardii","Asterostigma lombardii",NA,NA,NA,NA,NA,"MFVStarling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:26:23-03","PUCPR","HUCP","23597","S","Plantae","Monocotiledonea",NA,NA,"Araceae","Asterostigma","lombardii","Asterostigma lombardii","E.G.Gonç.","Dunaiski, A",NA,NA,NA,"Dunaiski, A","3127","2006","07","25","Brasil","Paraná","São José dos Pinhais","Colônia Castelhanos","-49.2064018249512","-25.5347003936768",NA,NA,"45291",NA,NA,NA,"auto","HUCP00004931","HUCP00004931",NA,NA,NA
"6","2020-11-04 11:00:14-03","ESALQ","ESA","87923","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Araceae","Asterostigma","lombardii","Asterostigma lombardii","E.G. Gonç.","Temponi, L.G.",NA,NA,NA,"Forster, W.","146.0","1999","11","09","Brasil","Minas Gerais","Alto Caparaó",NA,"-41.8683013916016","-20.4333000183105",NA,NA,"21645",NA,NA,NA,"auto","ESA087923","ESA087923",NA,NA,NA
"7","2015-07-02 14:00:27-03","JBP","HPL","641","S","Plantae",NA,NA,NA,"Araceae","Asterostigma","aff. lombardii","Asterostigma aff. lombardii",NA,"E.R. Salviani & H. Lorenzi","2000","11","24","E.R. Salviani & H. Lorenzi","1820","2000","11","24","Brasil","ES","Santa Tereza",NA,"-40.6003","-19.9356",NA,NA,"23813",NA,NA,NA,"auto",NA,NA,NA,NA,NA
"8","2015-07-02 14:00:28-03","JBP","HPL","642","S","Plantae",NA,NA,NA,"Araceae","Asterostigma","aff. lombardii","Asterostigma aff. lombardii",NA,"E.R. Salviani & H. Lorenzi","2000","11","22","E.R. Salviani & H. Lorenzi","1804","2000","11","22","Brasil","ES","Domingos Martins","Sítio R. Kautski","-40.6592","-20.3633",NA,NA,"48150",NA,NA,NA,"auto",NA,NA,NA,NA,NA
"9","2020-07-02 18:51:22-03","UFJF","CESJ","39076","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Araceae","Asterostigma","lombardii","Asterostigma lombardii","E.G.Gonç.","V.R. Almeida","2003","02",NA,"L.C.S. Assis; M.O.D. Pivari; A.V. Lopes","615","2002","11","03","Brasil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama","-42.9674987792969","-21.4596996307373",NA,NA,"11991",NA,NA,"Erva terrestre, pecíolo e escapo rajados, folhas verdes discolores, espata creme-esverdeadas com leve estrias vináceas externamente, espádice com zona estiminada vinácea e zona pistilada creme-esverdeada, flores masculinas vináceas e femininas verde-clar","auto","CESJ039076","CESJ039076","América do Sul",NA,NA
"10","2019-11-21 14:30:50-03","UFJF","CESJ","32585","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Araceae","Asterostigma","lombardii","Asterostigma lombardii","E.G.Gonç.","S.Mayo",NA,NA,NA,"R.C. Forzza; M.Heluey; F.S. Araújo; A.S.M. Valente","1812","2001","02","09","Brasil","Minas Gerais","Lima Duarte","arredores do Parque Estadual de Ibitipoca, trilha que sai da portaria do Parque para o lado esquerdo.","-43.793098449707","-21.8425006866455",NA,NA,"30417",NA,NA,"Erva, terrestre, em mata ciliar. Inflorescência com espata verde na face externa, marrom na face interna. Frutos brancos.","auto","CESJ032585","CESJ032585","América do Sul",NA,NA
