"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:33:25-03","UNESC","CRI","10098","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","P.P.A. Ferreira","2010","03","04","P.P.A. Ferreira; G.A. Dettke, C.A.D. Welker & E.K.O. Hattori","376","2010","03","04","Brasil","Santa Catarina","Lages","BR-116 entre o km 253 e o 254.","-50.326389","-27.816389","50º19'35''W","27º48'59''S","918","918","Habitat: beira de estrada","CRI006648","CRI006648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","684666","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","P. P. A. Ferreira",NA,NA,NA,"P. K. H. Dusén","7385","1908","12","08","Brazil","Paraná",NA,"Serrinha",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=897409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684666","NY00684666_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","684663","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","P. P. A. Ferreira",NA,NA,NA,"L. B. Smith","8632","1956","12","17","Brazil","Santa Catarina","Porto Uniao","East of Valões (Ireneópolis) on the road to Canoinhas","-51.0781","-26.2383",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=897374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684663","NY00684663_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","684664","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","P. P. A. Ferreira",NA,NA,NA,"L. B. Smith","13961","1964","12","15","Brazil","Santa Catarina","Irani","Campo de Irani","-51.83","-26.95",NA,NA,"700","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=897375' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684664","NY00684664_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01068245","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","P. P. A. Ferreira",NA,NA,NA,"L. R. Landrum","4045","1982","01","02","Brazil","Paraná","Curitiba","Parque Iguaçu","-49.25","-25.5",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103724' target='other'> <mi>dwc_moreinfo</mi></a>","NY01068245","NY01068245_01","Magnoliophyta","Solanales","South America","sheet",NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:29:54-03","UFRJ","RFA","19093","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","R. Simão Bianchini","2011","10","05","P. Occhioni","8434","1978","05","24","Brasil","Paraná","Ponta Grossa","Vila Velha. Rodovia do café","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"Volúvel; flor lilás forte","RFA10292",NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA
"7","2019-10-09 11:13:21-03","UFBA","ALCB","101088","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","Ferriera, PPA",NA,NA,NA,"Silva, JM; Ribas, OS; Batista, JAN","6315","2008","02","06","Brasil","Paraná","Ponta Grossa","Cachoeira da Mariquinha.","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"Flor rosada.",NA,NA,"Dicotyledon",NA,"Southern America",NA,"46557","auto",NA,NA,NA,NA
"8","2020-02-08 10:34:20-03","NBC","NL-BOTANY","U.1228563","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell",NA,NA,NA,NA,"Krapovickas A; Cristóbal CL",NA,"1990","11","05","Brazil",NA,NA,"Santa Catarina, 23 km E de Campos Novos BR470.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1228563 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1228563","NL-U1228563",NA,"Solanales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"9","2020-02-08 10:34:20-03","NBC","NL-BOTANY","U.1228562","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell",NA,NA,NA,NA,"Lindeman JC; Haas JH de",NA,"1966","01","13","Brazil",NA,NA,"Est. Parana, Outskirts of Curitiba.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1228562 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1228562","NL-U1228562",NA,"Solanales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"10","2020-11-04 11:05:15-03","ESALQ","ESA","125879","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala",NA,NA,NA,NA,NA,"Ferreira, P.P.A.","649.0","1905","07","03","Brasil","Paraná","Castro",NA,"-50.0119018554688","-24.7910995483398",NA,NA,NA,NA,NA,"ESA125879","ESA125879","Magnoliophyta",NA,NA,NA,"50779","auto",NA,NA,NA,NA
"11","2019-08-27 13:33:16-03","IAP","PACA-AGP","32007","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","Emrich-Rambo","1954","07","21","Reitz, R.",NA,"1944","12","07","Brasil","SC","Araranguá p. Curralinhos",NA,NA,NA,NA,NA,NA,NA,"fl. nondum aperto, sicher, 21/7/1954 Habitat: in campestribus prostrata","PACA032007",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,"Magnoliatae",NA,NA,NA
"12","2019-08-27 13:33:16-03","IAP","PACA-AGP","37670","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","Emrich-Rambo","1954","07","21","Hatschbach, G.",NA,"1948","03","14","Brasil","PR","Palmeira das Missões","Rio das Pombas",NA,NA,NA,NA,NA,NA,"fl. sicher, 21.7.1954 Habitat: in campestribus prostrata","PACA037670",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,"Magnoliatae",NA,NA,NA
"13","2019-08-27 13:33:16-03","IAP","PACA-AGP","73032","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell",NA,NA,NA,NA,"Sehnem, A.",NA,"1951","01","28","Brasil","RS",NA,"ad fl. Uruguai superius",NA,NA,NA,NA,NA,NA,"Habitat: in campo","PACA073032",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,"Magnoliatae",NA,NA,NA
"14","2019-08-27 13:33:16-03","IAP","PACA-AGP","51633","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","Emrich-Rambo","1954","07","21","Rambo, B.",NA,"1951","12","27","Brasil","RS","Vacaria","Passo do Socorro","-50.9338989257812","-28.5121994018555",NA,NA,NA,NA,"fl. sicher, 21.7.1954 Habitat: in campestreibus dumetosis","PACA051633",NA,"Magnoliophyta","Solanales",NA,NA,"63451","auto","Magnoliatae",NA,NA,NA
"15","2019-08-27 13:33:16-03","IAP","PACA-AGP","34977","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","Emrich-Rambo","1954","07","21","Rambo, B.",NA,"1947","01","08","Brasil","RS","Vacaria","Faz. da Ronda","-50.9338989257812","-28.5121994018555",NA,NA,NA,NA,"fl. sicher, 21.7.1954 Habitat: in campestribus prostrata","PACA034977",NA,"Magnoliophyta","Solanales",NA,NA,"63451","auto","Magnoliatae",NA,NA,NA
