"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","individualCount","coordinatePrecision","geoFlag","typeStatus","relatedCatalogItem","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","01874685","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","alba","Marcetia alba","Ule","R. Goldenberg","R. Goldenberg","2085","2014","10","14","South America","Brazil","Bahia","Lençóis","Chapadinha","-41.45189","-12.45742","1010","1010","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2495802' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874685","NY01874685_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","558042","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","alba","Marcetia alba","Ule","F. Almeda","W. Ganev","2311","1993","10","25","South America","Brazil","Bahia","Abaíra","Cabaceira. Riacho Fundo, atrás da Serra do Bicota","-41.85","-13.38","1480","1480","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=763032' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558042","NY00558042_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-19 15:44:25-03","UNEB","HUNEB","3350","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Melastomataceae","Marcetia","alba","Marcetia alba","Ule",NA,"Carvalho, A.M.de","37000","1994","10","27",NA,"Brasil","Bahia","Lençóis","Chapadinha.","-41.440278","-12.459722","910","910",NA,"Formações rochosas da Chapadinha. Afloramentos rochosos de arenito.","HUNEB0003350",NA,"Dicotyledoneae","41W26'25''","12S27'35''",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:20:11-03","UFBA","ALCB","036997","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Marcetia","alba","Marcetia alba","Ule","Guedes, ML; Baumgratz, JFA","Melo, E; França, F; Oliveira, S; Nunes, TS; Souza, E; Ganev, W","PCD1211","1994","11","22","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha","-41.452778","-12.456667","1000","1000",NA,"0,80 m, decumbente sob rochas, caule vináceo. Folhas simples, face inferior das folhas vináceas e a superior de cor verde. Flores com pedicelo e cálice vináceo-avermelhado, pétalas liláses; filetes alvos, anteras amarelas; estilete li","ALCB061957",NA,NA,"-41.452778","-12.456667","1997","05",NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:20:11-03","UFBA","ALCB","036999","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Marcetia","alba","Marcetia alba","Ule","Guedes, ML; Baumgratz, JFA","Carvalho, AM de; Amorim, AMA; Sant'Ana, SC de; Jardim, JG; Souza, GR; Cruz, NB","PCD1057","1994","10","26","Southern America","Brasil","Bahia","Palmeiras","Chapada Diamantina, Morro do Pai Inácio, campos aberto e rupestre","-41.470833","-12.455556","1080","1080",NA,"Folhas simples, discolores, face inferior vinosa. Flores com pétalas róseas; estames amarelos. Planta rupícula, crescendo em fendas úmidas do alto do Pai Inácio. Ocasional.; Vegetação de campo aberto sobre pedras. Afloramento rochoso","ALCB061958",NA,NA,"-41.470833","-12.455556","1997","05",NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:20:11-03","UFBA","ALCB","037000","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Marcetia","alba","Marcetia alba","Ule","Guedes, ML; ML; Baumgratz, JFA; Amaral Júnior, A","Carvalho, AM de; Amorim, AMA; Sant'Ana, SC de; Jardim, JG; Souza, GR; Cruz, NB","PCD1060","1994","10","27","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha","-41.440278","-12.459722","910","910",NA,"folhas simples, discolores, face inferior vinosa. Crescendo nas fendas da encostas rochosas. Raro.; Formações rochosas da Chapadinha. Afloramento rochoso de arenito.","ALCB061960",NA,NA,"-41.440278","-12.459722","1997",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:20:11-03","UFBA","ALCB","36998","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Marcetia","alba","Marcetia alba","Ule","Guedes, ML; ML; Baumgratz, JFA; Amaral Júnior, A","Melo, E; França, F; Oliveira, S; Nunes, TS; Souza, E; Ganev, W","PCD1312","1994","11","23","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha","-41.45","-12.45","900","900",NA,"prostrada, crescendo no interior da rocha. Folhas simples, discolores, com a face abaxial vinácea. Inflorescência com flores de 4 pétalas, base alva e ápice róseo; anteras amarelas. Fruto imaturo com cálice vináceo. Ocasional.; Campo","ALCB061959",NA,NA,"-41.45","-12.45","1997","05",NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:34:25-03","UNICAMP","UEC","166273","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Marcetia","alba","Marcetia alba","Ule","Santos, AKA","Santos, AKA; Raimundo","975","2007","01","12",NA,"Brazil","Bahia","Abaíra","Catolés, Pico do Barbado","-41.9","-13.3","1900","2000",NA,"Subarbusto, ramos prostrados. Folhas verdes na face adaxial verde e abaxial verde ou vinácea. Cálice e hipanto avermelhados, pétalas róseas, filetes e estiletes avermelhados e anteras amarelas. DNA.; Campo Rupestre.","UEC036263","UEC036263",NA,"-41.9","-13.3","2007","01",NA,NA,NA,NA,NA,NA
"9","2021-03-21 19:37:20-03","UFC","EAC","46500","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Marcetia","alba","Marcetia alba","Ule","Guedes, M.L.; Baumgratz, A.","Melo, E.; França, F.; et al.","1211","1994","11","22","Southern America","Brasil","Bahia","Lençóis","Morro da Chapadinha, Afloramento rochoso","-41.452778","-12.456667","1000","1000",NA,"Subarbusto, ocasional, decumbente sob rochas até 80cm, caule vináceo.Folha simples, face abaxial vinácea e adaxial verde. Flor com pedicelo e cálice vináceo-avermelhado, pétala lilás, filete alvo, antera amarela, estilete lilás. Fruto","EAC0046500","EAC0046500",NA,"-41.452778","-12.456667","1997","05",NA,NA,NA,NA,NA,NA
"10","2021-02-11 17:19:50-03","UFPR","UPCB","80331","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Marcetia","alba","Marcetia alba","Ule","Goldenberg, R.","Goldenberg, R.","2085","2014","10","14",NA,"Brasil","Bahia","Lençois","Chapadinha, 1010m","-41.452","-12.457",NA,NA,NA,"Herbácea rasteira, à sombra de uma lage de pedra; folhas com face abaxial roxo-avermelhada, flores com hipanto vermelho-escuro, pétalas rosadas, com a base mais clara, filete e estilete rosados, tecas amarelas..","UPCB0014931","UPCB0014931",NA,"-41.452","-12.457","2014",NA,NA,NA,NA,NA,NA,NA
