"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","year","month","day","coordinatePrecision","imagecode","geoFlag","phylum","yearIdentified","monthIdentified","dayIdentified","continentOcean","class","order","typeStatus","relatedCatalogItem"
"1","2020-06-29 11:31:38-03","UFRJ","RFA","39512","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.","Marcelo Souza","Finotti R.; Caruzo J.","46","Brasil","Rio de Janeiro","Guapimirim","Interior de fragmento florestal cujo entorno é ocupado por várias pequenas propriedades, antigo assentamento do INCRA","-42.909444","-22.536944","42º54'34''W","22º32'13''S","50","50","Arvore de 10 metros de altura e PAP de 38,3 cm.","RFA24472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-20 21:18:38-03","UFV","VIC","9541","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk",NA,"Vidal, W.N.; et al.","s.n.","Brasil","Rio de Janeiro","Arraial do Cabo","Restinga da Praia Grande","-42.0278015136719","-22.966100692749",NA,NA,NA,NA,"Arbusto mais ou menos 1,5m de altura, flores branco- creme.","VIC009541","1986","03","14","25964","VIC009541","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:36:24-03","UNICAMP","UEC","204748","S","Plantae","Myrtaceae","Eugenia","villae-novae","Eugenia villae-novae","Kiaersk.","Muniz, HJT","Costa, IG","694","Brazil","Rio de Janeiro","São Fidélis","Fazenda da Vala, em vegetação à margem da estrada RJ-194.","-41.571","-21.588878","-41.571","-21.588878","36","36","Arbórea, ca. 7m; Lâmina cartácea esverdeada discolor; fruto imaturo esverdeado, e maduro nigrescente.; Floresta Estacional Semidecidual Baixo-Montana.","UEC169332","2015","07","18",NA,"UEC169332",NA,"Magnoliopsida","2015","07","23",NA,NA,NA,NA,NA
"4","2020-06-29 09:31:32-03","UFRRJ","RBR","42929","S","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.","L.H. Soares","L.H. Soares",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Inventário Carbono - Rio de Janeiro. Inventário complementar F50/19.","-43.428056","-22.845833","43º25'41''W","22º50'45''S",NA,NA,NA,"RBR00042929","2015","06","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 09:31:32-03","UFRRJ","RBR","11296","S","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.","M.C. Souza","S.M. Souto","493","Brasil","Rio de Janeiro","Araruama",NA,"-42.3431015014648","-22.8728008270264",NA,NA,NA,NA,NA,"RBR00011296","2002","06","12","38914","RBR00011296","auto",NA,"2005",NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 09:31:32-03","UFRRJ","RBR","38762","S","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.","J.C.M. Resende","J.C.M. Resende; S.F. Neves","s.n.","Brasil","Rio de Janeiro","Macaé","Aterro Sanitário de Macaé, Pastagem com pequena moita de vegetação.","-41.7868995666504","-22.3708000183105",NA,NA,NA,NA,NA,"RBR00038762","2016","06","08","47209","RBR00038762","auto",NA,"2016","06","08",NA,NA,NA,NA,NA
"7","2020-06-29 09:31:32-03","UFRRJ","RBR","4631","S","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.","M.C. Souza",NA,"s.n.","Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,NA,NA,NA,"RBR00004631","1993","05","26","25743","RBR00004631","auto",NA,"2006","10","09",NA,NA,NA,NA,NA
"8","2020-06-29 09:31:32-03","UFRRJ","RBR","11295","S","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.","M.C. Souza","S.M. Souto","79","Brasil","Rio de Janeiro","Campos dos Goytacazes","S21º55#?#14,5'/W41º28#?#12,3'","-41.3244018554688","-21.7541999816895",NA,NA,NA,NA,NA,"RBR00011295","2001","06","27","62761","RBR00011295","auto",NA,"2005",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-11 11:39:17-03","UFMG","BHCB","171784","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.",NA,"Faria, JEQ; Bausen, E","1215","Brasil","Espírito Santo","Sanata Leopoldina","Bragança","-40.55","-20.138056","-40.55","-20.138056","596","596","Arvore ca. 5m de altura, botões florais esbranquiçados; Borda de floresta ombrófila","BHCB016466","2011","05","18",NA,NA,NA,"Dicotyledon","2019","04",NA,"Southern America",NA,NA,NA,NA
"10","2020-07-10 09:47:50-03","MBML","MBML-HERBARIO","47354",NA,"Plantae","Myrtaceae","Eugenia","cf. villae-novae","Eugenia cf. villae-novae","Kiaersk.","M. Sobral/Março-2016","L. Kollmann; A.P. Fontana","12824","Brasil","Rio de Janeiro","Macaé","Cabiúnas, TECAB","-41.730556","-22.286389","41W43'50","22S17'11",NA,NA,"Arvoreto 4m ao sol, frutos vermelhos.","MBML047354","2013","09","25",NA,"MBML047354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-07-10 09:47:53-03","MBML","MBML-HERBARIO","46193",NA,"Plantae","Myrtaceae","Eugenia","villae-novae","Eugenia villae-novae","Kiaersk.","M. Sobral/Março-2016","A. P. Fontana; L. Kollmann","7543","Brasil","Rio de Janeiro","Macaé","Cabiúnas, TECAB","-41.731944","-22.285556","41W43'55","22S17'8","37","37","Árvore ca 6m. Frutos imaturos","MBML046193","2013","04","17",NA,"MBML046193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-09 10:13:37-03","UENF","HUENF","8272","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.","M.C. Souza","Rabelo, G.R.","5","Brasil","Rio de Janeiro","Rio das Ostras","Reserva Biológica União","-42.035556","-22.428333","42º2'8''W","22º25'42''S","56","56",NA,"HUENF00008276","2003","04","24",NA,NA,NA,NA,"2019","03","26",NA,NA,NA,NA,NA
"13","2021-02-09 10:13:37-03","UENF","HUENF","3576","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.","M.C. Souza","Rabelo, G. R.","4","Brasil","Rio de Janeiro","Rio das Ostras","Reserva Biológica União","-42.035556","-22.428333","42º2'8''W","22º25'42''S","56","56",NA,"HUENF00003579","2001","05","11",NA,NA,NA,NA,"2019","03","26",NA,NA,NA,NA,NA
"14","2021-02-09 10:13:37-03","UENF","HUENF","6272","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.","M.C. Souza","Evaristo, V.T.","517","Brasil","Rio de Janeiro","Rio das Ostras","Reserva Biológica União","-42.035556","-22.428333","42º2'8''W","22º25'42''S","56","56",NA,"HUENF00006275","2003","04","24",NA,NA,NA,NA,"2019","03","26",NA,NA,NA,NA,NA
"15","2021-02-09 10:13:37-03","UENF","HUENF","6273","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.","M.C. Souza","Evaristo, V.T.","1799","Brasil","Rio de Janeiro","Rio das Ostras","Reserva Biológica União","-42.035556","-22.428333","42º2'8''W","22º25'42''S","56","56",NA,"HUENF00006276","2005","12","01",NA,NA,NA,NA,"2019","03","26",NA,NA,NA,NA,NA
"16","2021-02-09 10:13:37-03","UENF","HUENF","2102","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.","Souza, M.C.","Ribeiro, A.C.C.","287","Brasil","Rio de Janeiro","Campos dos Goytacazes","Lagoa de Cima","-41.507222","-21.765833","41º30'26''W","21º45'57''S","5","5","Fragmento 04 / Indivíduo 01","HUENF00002104","2004","08","05",NA,NA,NA,NA,"2017","11","29",NA,NA,NA,NA,NA
"17","2021-02-09 10:13:37-03","UENF","HUENF","11528","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk."," Helton Josué T. Muniz","I.G. Costa","694","Brasil","Rio de Janeiro","São Fidélis","Fazenda da Vala. Em vegetação à margem da estrada RJ 194.","-41.552222","-21.588889","41º33'8''W","21º35'20''S","36","36","Lâmina cartáceae esverdeada, discolor; fruto imaturo esverdeado, e maduro nigrescente.","HUENF00012455","2015","07","18",NA,NA,NA,NA,"2015","07","23",NA,NA,NA,NA,NA
"18","2021-02-09 10:13:37-03","UENF","HUENF","7988","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.","M.C. Souza","Ribeiro, A.C.C.","113","Brasil","Rio de Janeiro","Campos dos Goytacazes","Lagoa de Cima","-41.507222","-21.765833","41º30'26''W","21º45'57''S","5","5","Ind. 10; Fragmento 06","HUENF00007992","2004","07","13",NA,NA,NA,NA,"2019","03","26",NA,NA,NA,NA,NA
"19","2021-02-09 10:13:37-03","UENF","HUENF","2091","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.","Souza, M.C.","Ribeiro, A.C.C.","292","Brasil","Rio de Janeiro","Campos dos Goytacazes","Lagoa de Cima","-41.507222","-21.765833","41º30'26''W","21º45'57''S","5","5","Fragmento 04 / Indivíduo 06","HUENF00002093","2004","08","05",NA,NA,NA,NA,"2017","11","29",NA,NA,NA,NA,NA
"20","2019-12-09 17:30:23-03","UFPR","EFC","18635","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.","Souza, I.","Souza, I.","586","Brasil","Rio de Janeiro","Silva Jardim","REBIO Poço das Antas","-42.292158","-22.564683","-42.292158","-22.564683","39","39","Árvore 6 m, frutos imaturos verdes, semente robusta, folhas com margem ondulada, nervuras secundárias conspícuas, em floresta degradada em processo de recuperação.","EFC018635","2019","09","03",NA,NA,NA,NA,"2019","09","03",NA,NA,NA,NA,NA
"21","2021-03-04 11:17:34-03","UEFS","HUEFS","135301","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.","M.Sobral","Luchiari, C.","446","Brasil","Rio de Janeiro","Silva Jardim","Reserva Biológica Poço das Antas.Trilha do Cambuí Preto. Área FP086.","-42.25","-22.5","42W15'0''","22S30'0''",NA,NA,NA,"HUEFS0135301","1994","06","20",NA,"HUEFS0135301",NA,"Angiospermae","2012","04",NA,NA,"Rosanae","Myrtales",NA,NA
"22","2021-03-04 11:17:34-03","UEFS","HUEFS","184142","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.","M.Sobral","Faria, J.E.Q.","1215","Brasil","Espírito Santo","Santa Leopoldina","Bragança.","-40.55","-20.138056","40W33'0''","20S8'17''","596","596","Borda de Floresta Ombrófila.","HUEFS0184142","2011","05","18",NA,"HUEFS0184142",NA,"Angiospermae","2019","06",NA,NA,"Rosanae","Myrtales",NA,NA
"23","2021-03-04 11:17:34-03","UEFS","HUEFS","87256","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.",NA,"Sem coletor",NA,"Brasil","São Paulo",NA,"Villa Nova a Porto dos Caixa.",NA,NA,NA,NA,NA,NA,NA,"HUEFS0087256",NA,NA,NA,NA,NA,NA,"Angiospermae",NA,NA,NA,NA,"Rosanae","Myrtales","Tipo",NA
"24","2019-09-04 19:41:14-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Myrtaceae","Eugenia","villae-novae","Eugenia villae-novae",NA,NA,"A. Glaziou","7636","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"1874","5","7",NA,NA,NA,"Spermatophyta",NA,NA,NA,"South America","Dicotyledoneae",NA,"Holotype",NA
"25","2020-07-23 12:15:55-03","CEPLAC","CEPEC","70244","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae",NA,"M. C. Souza","G. Martinelli","8830","Brasil","Rio de Janeiro","silva jardim","Reserva Biologica de Poço das Antas, prox. a reoresa Juturnaíba.","-42.3917007446289","-22.6508007049561",NA,NA,NA,NA,NA,NA,"1967","11","07","29995",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,"30/09/2006"
"26","2019-12-20 18:46:42-03","UFSJ","HUFSJ","8920","S","Plantae","Myrtaceae","Eugenia","villaenovae","Eugenia villaenovae","Kiaersk.","Sobral, M","Neves, JN","232","Brasil","Espírito Santo","Aracruz","Coqueira: Campo perto do Pequi. Vinagreiro.","-40.2733001708984","-19.8202991485596",NA,NA,NA,NA,"9m de altura. Flor verde-claro. Casca branca, pedúnculo verde, filamento branco e antera creme.","HUFSJ008920","1995","06","20","37987",NA,"auto",NA,"2016",NA,NA,NA,NA,NA,NA,NA
