"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","typeStatus","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","yearIdentified","monthIdentified","dayIdentified","class","coordinatePrecision","geoFlag","fieldNumber","individualCount","infraspecificEpithet","previousCatalogNumber"
"1","2021-04-05 14:25:39-03","UNESC","CRI","11445","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D.Legrand & Kausel","F.C.S. Vieira","F.C.S. Vieira","2104","2006","08","17","Brasil","Santa Catarina","Garuva","Serra Quiriri. Fragmento Tabatinga, porção superior, borda de Capão Sujo/Floresta, trilha usada por bovinos, encosta com a vertente coltada para o Sul/Sudeste.","-48.855278","-26.029444","48º51'19''W","26º1'46''S","Habito: arbusto","CRI005360","CRI005360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","405354","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","jonssonii","Myrceugenia jonssonii","Kausel",NA,"G. Jönsson","998a","1914","09","27","Brazil","Paraná",NA,"Itaperussú",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=324071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405354","NY00405354_01","Magnoliophyta","Myrtales","isotype","South America","800","800","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","615922","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","DC.","L. R. Landrum","P. I. Oliveira","277","1980","10","09","Brazil","Paraná","Balsa Nova","Sao Luis do Puruna","-49.6356","-25.5842",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=715109' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615922","NY00615922_01","Magnoliophyta","Myrtales",NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","615923","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","DC.","L. R. Landrum","G. G. Hatschbach","32319","1973","08","15","Brazil","Paraná","Castro","Volta Grande","-50.0117","-24.7911",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=715108' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615923","NY00615923_01","Magnoliophyta","Myrtales",NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","615924","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","DC.","J. Mattos","F. C. Hoehne","s.n.","1931","09","28","Brazil","São Paulo","Sao Paulo","Sao Paulo (Capital) nativa no Jardim Botanico","-46.618358","-23.646109",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=715110' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615924","NY00615924_01","Magnoliophyta","Myrtales",NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","615921","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","DC.",NA,"W. Hoehne","s.n.","1944","09","12","Brazil","São Paulo","Sao Paulo","Parque do Estado de S. P.","-46.621883","-23.654505",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=715111' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615921","NY00615921_01","Magnoliophyta","Myrtales",NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:30:15-03","UNESP-IBB","BOTU","30388","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D. Legrand & Kausel","Vieira, F.C.S.","Vieira, F.C.S.","2104","2008","08","17","Brasil","Santa Catarina","Garuva",NA,NA,NA,"9999","9999","Arbusto de 2 m de altura, flores brancas e em botão, tricomas ferrugíneos, casca lisa,marrom/alaranjada nos ramos jovens, áspera no resto","BOTU030388",NA,NA,NA,NA,NA,NA,NA,NA,"2010",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 09:30:15-03","UNESP-IBB","BOTU","30387","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D. Legrand & Kausel","Vieira, F.C.S.","Vieira, F.C.S.","2099","2008","08","16","Brasil","Santa Catarina","Garuva",NA,NA,NA,"9999","9999","Arbusto de 2 m de altura, flores brancas e em botão, tricomas ferrugíneos","BOTU030387",NA,NA,NA,NA,NA,NA,NA,NA,"2011",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:30:15-03","UNESP-IBB","BOTU","30391","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D. Legrand & Kausel","Vieira, F.","Vieira, F.C.S.","2098","2008","08","16","Brasil","Santa Catarina","Garuva",NA,NA,NA,"9999","9999","Arbusto 2-3 m de altura, flores em botão, tricomas ferrugíneos","BOTU030391",NA,NA,NA,NA,NA,NA,NA,NA,"2010",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:20:23-03","UFRJ","RFA","25983","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","rufescens","Eugenia rufescens","DC.","G. M. Barroso","F. M. de B. Pereira","abr-51","2000","11","11","Brasil","Minas Gerais","Itamonte","1° Distrito.","-44.692778","-22.267222","44º41'34''W","22º16'2''S","Arbusto, 3 m de altura, 11 cm de DAP, folha verde, fruto verde, comum no local.","RFA42059",NA,NA,NA,NA,NA,"1565","1565",NA,"2001","01","26",NA,NA,NA,NA,NA,NA,NA
