"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","continentOcean","locality","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-04-05 14:25:19-03","UNESC","CRI","2670","PreservedSpecimen","Plantae","Fabaceae","Poiretia","latifolia","Poiretia latifolia","Vogel","A. Burkart","R. M. Klein","1962","12","12","Brasil","Santa Catarina","Mafra","-49.805556","-26.111944","49º48'20''W","26º6'43''S","750","750","CRI002353","CRI002353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:48-03","E","E","228125","PreservedSpecimen","Plantae","Leguminosae","Poiretia","latifolia","Poiretia latifolia",NA,NA,"Anderson, W.R.","1973","03","08","BR","Goias",NA,NA,NA,NA,NA,"1600","1600","E00228125",NA,"6627","E. Tropical South America","16-17 km by road N of Alto Paraiso.","herbarium specimen of unspecif","BGBASE:238012","<a href=http://data.rbge.org.uk/herb/E00228125 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:48-03","E","E","228124","PreservedSpecimen","Plantae","Leguminosae","Poiretia","latifolia","Poiretia latifolia",NA,NA,"Harley, R.M.","1980","05","27","BR","Bahia",NA,"-41.433333","-12.466667","-41.433333","-12.466667","800","800","E00228124",NA,"22683","E. Tropical South America","Serras dos lencois. About 7--10 km along the main Seabra-Itaberaba road, W. of the Lencois turning, by the Rio Mucugezinho.","herbarium specimen of unspecif","BGBASE:238011","<a href=http://data.rbge.org.uk/herb/E00228124 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1522931","PreservedSpecimen","Plantae","Fabaceae","Poiretia","latifolia","Poiretia latifolia coriifolia","(Vogel) Benth.","V. E. Rudd","H. S. Irwin","1966","06","21","Brazil","Goiás","Piranhas","-51.9","-16.43",NA,NA,"700","700","NY01522931","NY01522931_01","17557","South America","Ca. 87 km. S. E. of Aragarças. Drainage of the Upper Rio Araguaia.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1788160' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales","coriifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","605452","PreservedSpecimen","Plantae","Fabaceae","Poiretia","latifolia","Poiretia latifolia","Vogel","R. C. Barneby","R. A. Wasum","1988","12","07","Brazil","Rio Grande do Sul","Caxias do Sul","-51.094927","-29.108528",NA,NA,"700","700","NY00605452","NY00605452_01","s.n.","South America","Ana Rech = Faxinal.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500986' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","605449","PreservedSpecimen","Plantae","Fabaceae","Poiretia","latifolia","Poiretia latifolia","Vogel","S. F. Smith; L. B. Smith","G. G. Hatschbach","1966","12","13","Brazil","Paraná","Palmas","-51.9906","-26.4844",NA,NA,NA,NA,"NY00605449","NY00605449_01","15429","South America","S. Agostinho","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500981' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00748695","PreservedSpecimen","Plantae","Fabaceae","Poiretia","latifolia","Poiretia latifolia","Vogel",NA,"T. B. Cavalcanti","1992","03","10","Brazil","Goiás","Minaçu","-48.38","-13.47",NA,NA,"920","920","NY00748695","NY00748695_01","1099","South America","A 7 km da entrada norte do Canteiro de obras","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=880204' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01048035","PreservedSpecimen","Plantae","Fabaceae","Poiretia","latifolia","Poiretia latifolia","Vogel","J. R. Pirani","J. R. Pirani","2004","01","19","Brazil","Minas Gerais","Congonhas do Norte","-43.7092","-18.7981",NA,NA,"1024","1024","NY01048035","NY01048035_01","5175","South America","Serra Talhada (braço norte da Serra do Cipó), 4 km NW de Congonhas do Norte, na estrada para Gouveia; às margens da mata ciliar do Ribeirão Congonhas.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193955' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","605455","PreservedSpecimen","Plantae","Fabaceae","Poiretia","latifolia","Poiretia latifolia","Vogel","R. C. Barneby","M. L. Fonseca","1996","04","13","Brazil","Goiás","Niquelândia","-48.5572222","-14.4886111",NA,NA,NA,NA,"NY00605455","NY00605455_01","874","South America","Estrada de chao com entrada no Km 8 da rodovia Niquelândia/Uruaçú. Fazenda Traíras.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500987' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","605438","PreservedSpecimen","Plantae","Fabaceae","Poiretia","latifolia","Poiretia latifolia","Vogel","A. P. Fortuna Perez","G. G. Hatschbach","1962","11","28","Brazil","Paraná","Balsa Nova","-49.6356","-25.5842",NA,NA,NA,NA,"NY00605438","NY00605438_01","9526","South America","Bugre.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=662617' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
