"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","821649","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","glaziovii","Coccoloba glaziovii","Lindau","E. de Melo","W. W. Thomas","8382","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Parcel 35; Tree # 1680.","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=901250' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821649","NY00821649_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","484916","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","glaziovii","Coccoloba glaziovii","Lindau","E. de Melo","G. G. Hatschbach","47125","1983","11","24","South America","Brazil","Paraná","Morretes","América de Cima","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323735' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484916","NY00484916_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","484917","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","glaziovii","Coccoloba glaziovii","Lindau","C. M. Rizzini","G. G. Hatschbach","25774","1970","12","08","South America","Brazil","Paraná","Guaraqueçaba","Serra Negra","-48.426212","-25.176184","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323736' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484917","NY00484917_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00878300","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","glaziovii","Coccoloba glaziovii","Lindau","E. de Melo","P. W. Richards","6494","1968","07","22","South America","Brazil","Mato Grosso","São Félix do Araguaia","Fazenda Patizal, nr. São Felix","-50.6692","-11.6172","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=952995' target='other'> <mi>dwc_moreinfo</mi></a>","NY00878300","NY00878300_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","484915","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","glaziovii","Coccoloba glaziovii","Lindau","R. A. Howard","G. G. Hatschbach","13397","1966","01","04","South America","Brazil","Paraná","Morretes","Porto de Cima","-48.8342","-25.4769","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323739' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484915","NY00484915_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","821650","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","glaziovii","Coccoloba glaziovii","Lindau","E. de Melo","R. Reitz","10850","1961","03","03","South America","Brazil","Santa Catarina","Sao José","Rancho de Táboa","-48.6272","-27.6156","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=901553' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821650","NY00821650_01","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00484913","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","glaziovii","Coccoloba glaziovii","Lindau",NA,"R. M. Harley","10885","1968","10","29","South America","Brazil","Mato Grosso",NA,"Costela de Anta. 21.5 km along road from base camp","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323740' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484913","NY00484913_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","821651","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","glaziovii","Coccoloba glaziovii","Lindau","E. de Melo","S. A. Mori","9843","1978","04","06","South America","Brazil","Bahia","Una","Estrada que liga a Rod. BR 101 (São José) com BA 165, a 13 km da entrada.","-39.0753","-15.2933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=902034' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821651","NY00821651_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","821648","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","glaziovii","Coccoloba glaziovii","Lindau","E. de Melo","S. A. Mori","9785","1978","03","21","South America","Brazil","Bahia","Santa Cruz Cabrália","Estação Ecológica do Pau-Brasil e arredores, cerca de 16 km a W de Porto Seguro. Folha SE - 24 (16-39c)","-39.1815805","-16.3721094","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=900936' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821648","NY00821648_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","484919","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Coccoloba","glaziovii","Coccoloba glaziovii","Lindau","R. A. Howard","P. K. H. Dusén","11966","1911","07","20","South America","Brazil","Paraná","Lapa","Volta Grande","-49.7156","-25.7697","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=323738' target='other'> <mi>dwc_moreinfo</mi></a>","NY00484919","NY00484919_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
