"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1462154","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Dichapetalaceae","Stephanopodium","magnifolium","Stephanopodium magnifolium","Prance","G. T. Prance","P. Fiaschi","2114","2004","03","20","South America","Brazil","Bahia","Uruçuca","Estrada de Serra Grande para Urucuca. Area do inventario do plano de manejo. Mata da torre do calular","-39.115","-14.4997","380","380","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1530914' target='other'> <mi>dwc_moreinfo</mi></a>","NY01462154","NY01462154_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","395704","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Dichapetalaceae","Stephanopodium","magnifolium","Stephanopodium magnifolium","Prance","G. T. Prance","A. M. V. de Carvalho","3473","1991","07","01","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7,3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto fazenda Santa Cruz","-39.0617","-14.4231",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=346504' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395704","NY00395704_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02206152","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Dichapetalaceae","Stephanopodium","magnifolium","Stephanopodium magnifolium","Prance","G. T. Prance","A. M. Amorim","592",NA,NA,NA,"South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande, 7.3 km na estrada Serra Grande/Itacaré","-39.0617","-14.4231",NA,NA,"sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=346505' target='other'> <mi>dwc_moreinfo</mi></a>","NY02206152","NY02206152_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","5947","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Dichapetalaceae","Stephanopodium","magnifolium","Stephanopodium magnifolium","Prance",NA,"A. M. V. de Carvalho","3578","1991","09","11","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande, 7.3 km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz.","-39.0617","-14.4231",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=346519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00005947","NY00005947_01","isotype",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02641692","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Dichapetalaceae","Stephanopodium","magnifolium","Stephanopodium magnifolium","Prance",NA,"W. W. Thomas","16426","2014","10","27","South America","Brazil","Bahia","Uruçuca","Trail from headquarters of the Conduru State Park, ca. 10 km W of Serra Grande on road to Uruçuca.","-39.1344","-14.4953","158",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2541513' target='other'> <mi>dwc_moreinfo</mi></a>","NY02641692",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","395701","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Dichapetalaceae","Stephanopodium","magnifolium","Stephanopodium magnifolium","Prance","W. W. Thomas","W. W. Thomas","7463","1991","07","01","South America","Brazil","Bahia","Uruçuca","7,3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto fazenda Santa Cruz. Southern Bahian moist forest","-39.0617","-14.4231",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=346507' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395701","NY00395701_01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","395703","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Dichapetalaceae","Stephanopodium","magnifolium","Stephanopodium magnifolium","Prance","W. W. Thomas","W. W. Thomas","8368","1991","07","01","South America","Brazil","Bahia","Uruçuca","7,3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto fazenda Santa Cruz. Southern Bahian moist forest. Parcel 35","-39.0617","-14.4231",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=346509' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395703","NY00395703_01",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","395700","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Dichapetalaceae","Stephanopodium","magnifolium","Stephanopodium magnifolium","Prance","G. T. Prance","W. W. Thomas","10164","1993","10","26","South America","Brazil","Bahia","Uruçuca","7.3 km north of Serra Grande on road to Itacaré. Transect study site","-39.0617","-14.4231",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=346506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395700","NY00395700_01",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","395702","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Dichapetalaceae","Stephanopodium","magnifolium","Stephanopodium magnifolium","Prance","W. W. Thomas","W. W. Thomas","8033","1991","07","01","South America","Brazil","Bahia","Uruçuca","7,3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto fazenda Santa Cruz. Southern Bahian moist forest. Parcel 26","-39.0617","-14.4231",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=346508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395702","NY00395702_01",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:13:32-03","UFBA","ALCB","026509","PreservedSpecimen","Plantae","Dicotyledon",NA,"Dichapetalaceae","Stephanopodium","magnifolium","Stephanopodium magnifolium","Prance","Prance, GT","Thomas, W; Jardim, JG; Sant'Ana, S","s/n","1993","10","26","Southern America","Brasil","Bahia","Uruçuca","7.3 km north of Serra Grande on road to Itacaré. Transect study site.","-39.016667","-14.416667",NA,NA,NA,"Tree, 4 m tall; leaves thick coriaceus, deep green above, paler beneath; fruit pale green.; Southern Bahian moist forest.","ALCB042250",NA,NA,"1994","-39.016667","-14.416667",NA,NA,NA,NA
