"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","414250","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","usteri","Paspalum usteri","Hack.","type","A. Usteri","9763","1907","03","25","South America","Brazil","São Paulo","Perús","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=18345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414250","NY00414250_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00896034","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"W. R. Anderson","35582","1972","02","06","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 11 km N of Gouevia, km 286 on MG-259","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969199' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896034","NY00896034_01","O. Morrone","Datas","-43.6788","-18.3897","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00896033","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"M. A. Chase","8695","1925","03","01","South America","Brazil","Minas Gerais","Between Sitio and Dr. Sá Fortes, Serra da Mantiqueira","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969197' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896033","NY00896033_01",NA,NA,NA,NA,"1200","1225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:54:11-03","EAO","IAN","62899","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"Kuhlmann, JG","1665","1917","02",NA,"Southern America","Brasil","Mato Grosso","Serra da Paca Nova.",NA,NA,"IAN062899",NA,"Chase, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:54:11-03","EAO","IAN","63082","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"sc","2513","1937","01","24","Southern America","Brasil","Minas Gerais","E. E. Agrostologia (Deodoro).",NA,NA,"IAN063082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:54:11-03","EAO","IAN","62343","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"Kuhlmann, JG","s.n.","1926","02","16","Southern America","Brasil","Minas Gerais",NA,NA,NA,"IAN062343",NA,NA,"Belo Horizonte","-43.937801361084","-19.9207992553711",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:54:11-03","EAO","IAN","66163","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.","isotipo","Hoehne, FC","6662","1916","01",NA,"Southern America","Brasil","Minas Gerais",NA,NA,"ZULOAGA & MORRONE (2003:520) citaram: T-Protol.: Brasil: Minas Geraes: colhida em Sabará, Minas, ás margens da E. de Ferro, Jan. 1916, F.C. Hoehne 6662. T-Specim.: 1 of 1. Brazil: Minas Gerais: Sabará, Jan 1916, Hoehne s.n. [Exc. a Mi","IAN066163",NA,"Chase, A","Sabará","-43.8067016601562","-19.8864002227783",NA,NA,"18805","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-12 15:31:49-03","UFABC","HUFABC","001889","PreservedSpecimen","Plantae","Angiospermas",NA,"Poaceae","Paspalum","usterii","Paspalum usterii","Hack.",NA,"Keller V.C.","4","2016","09","05",NA,"Brasil","São Paulo","Parque Estadual do Juquery, Subida para a cabeceira da pista de aviação",NA,"Erva","HUFABC001889",NA,"R. Rodrigues","Franco da Rocha","-46.694617","-23.338119",NA,NA,NA,NA,"2018","06","28","-46.694617","-23.338119",NA,NA,NA
"9","2020-12-20 21:19:02-03","UFV","VIC","051131","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usterii","Paspalum usterii","Hack",NA,"Sendulsky, T.","1364","1999",NA,NA,NA,"Brasil","São Paulo","Parque Estadual das Fontes do Ipiranga",NA,NA,"VIC051131","VIC051131",NA,"São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:42:54-03","UFJF","CESJ","21861","PreservedSpecimen","Plantae","Angiosperma",NA,"Poaceae","Paspalum","usterii","Paspalum usterii","Hack.",NA,"UFJF; EMBRAPA","CESJs.n.","1988","03","10","América do Sul","Brasil","Minas Gerais","Bengo",NA,"Em lugares úmidos, à beira de córrego. Alto quase 3 m. Espigas roxas. Em touceiras. Capim-vassoura.","CESJ021861",NA,"R.S. Rodrigues","São João Del Rei","-44.2616996765137","-21.1355991363525",NA,NA,"39093","auto","2016","04","29",NA,NA,NA,NA,NA
