"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","individualCount","infraspecificEpithet","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","386694","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Aulomyrcia","subverticillaris","Aulomyrcia subverticillaris","O.Berg","syntype","Martii Herbar. Florae Brasil.","1232","South America","Brazil","Minas Gerais","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=633603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386694","NY00386694_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1522716","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"J. R. Mattos","8440","South America","Brazil","São Paulo","Fazenda Campininha 4.2km NNW de Padua Sales.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1776706' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522716","NY01522716_01","M. L. Kawasaki","1960","11","16","Moji-Guaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2422945","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"D. F. Lima","367","South America","Brazil","Minas Gerais","Serra de Ouro Branco","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2675125' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422945","NY02422945_01",NA,"2013","10","23","Ouro Branco","-44.6464","-20.5039","1318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1522715","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"J. R. Mattos","8277","South America","Brazil","São Paulo","Faz. Campininha. 3,2- 3,4 km NNW de Padua Sales. Em frente da sede","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1776705' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522715","NY01522715_01","M. L. Kawasaki","1960","09","20","Moji-Guaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1522752","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"M. Kuhlmann","3014","South America","Brazil","São Paulo","Emas. Área do Departmento de Botânica da Universidade de São Paulo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1776766' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522752","NY01522752_01",NA,"1954","08","19","Pirassununga","-47.375621","-21.941912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00906514","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","subverticillaris","Myrcia subverticillaris","(O.Berg) Kiaersk.",NA,"B. D. Sucre","6789","South America","Brazil","Minas Gerais","Serra de Ibitipoca, Pico do Piao","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981707' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906514","NY00906514_01","M. Sobral","1970","05","14",NA,NA,NA,"1350","1450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1281645","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","subverticillaris","Myrcia subverticillaris","(O.Berg) Kiaersk.",NA,"L. Riedel","s.n.","South America","Brazil",NA,"S. da Carassa.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1736416' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281645","NY01281645_01","M. F. Santos","1824","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-01-28 13:11:27-03","MCN-PUC-MINAS","HPUC-MG","ANG4101","S","Plantae",NA,NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris",NA,NA,"M.Valentina W.","70",NA,"Brasil","Minas Gerais",NA,NA,"Frutos amarelos. Altura 2 m. UTM: 7753311 x; 592566 y.",NA,NA,"Bunger, M.O.",NA,NA,NA,"Nova Lima","-43.966944","-20.208611","1.4","1.4","43º58'01''W","20°12'31''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:07:18-03","NBC","NL-BOTANY","U.1443677","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrcia","subverticillaris","Myrcia subverticillaris","(O.Berg) Kiaersk.",NA,"Claussen P",NA,"Southern America","Brazil",NA,"Brasilia. Minas Geraes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1443677 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1443677","NL-U1443677",NA,"1840","01","01",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:07:18-03","NBC","NL-BOTANY","U.1444011","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrcia","subverticillaris","Myrcia subverticillaris","(O.Berg) Kiaersk.",NA,"Felippe GM",NA,"Southern America","Brazil",NA,"Sao Paulo. Estado de Sao Paulo. Itirapina,5 km da rodovia Washington Luiz, na estrado Itirapina-Rio Claro.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1444011 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1444011","NL-U1444011","Fernandes Lima D","1962","09","13",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
