"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1032264","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pteroglossa","glazioviana","Pteroglossa glazioviana","(Cogn.) Garay","W. T. Kittredge","G. G. Hatschbach","24182","1970","04","20","South America","Brazil","Paraná","Laranjeiras do Sul","Rio Iguaçu, 1 Km. acima do Salto Oaório","-52.999179","-25.537005","350","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1192684' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032264","NY01032264_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:27-03","UFRJ","RFA","11517","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cogniauxiocharis","glazioviana","Cogniauxiocharis glazioviana","(Cogn.) Hoehne","G.F.J. Pabst","G.G. Hatschbach","24182","1970","04","20",NA,"Brasil","Paraná","Laranjeiras do Sul","Rio Iguaçu, 1 km acima do Salto Osório","-52.4160995483398","-25.4078006744385","150","150",NA,"Flor alvecente","RFA31577",NA,"1971","28404","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:35-03","UFRJ","RFA","38315","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pteroglossa","glazioviana","Pteroglossa glazioviana","(Cogn.) Garay","M. S. Wängler","M. S. Wängler; D. F. Massunaga; G. F. Mazzoni; N. Fortuna.","489","2011","04","16",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Corina","-43.3775","-22.448056",NA,NA,NA,"Erva terrícola, 40 cm, folhas verdes, acinzentadas, brilhantes, inflorescência pilosa com 14 flores, sépalas amarronzadas, pétalas brancas, labelo branco com listras verdes","RFA38812",NA,"2012",NA,NA,"03","30","43º22'39''W","22º26'53''S",NA,NA,NA,NA,NA
"4","2020-11-13 09:20:35-03","UFRJ","RFA","37773","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pteroglossa","glazioviana","Pteroglossa glazioviana","(Cogn.) Garay","M. S. Wängler","M. S. Wängler; F. C. Alzer; G. F. Mazzoni; D. F. Massunaga.","749","2011","07","23",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Divino Vale.","-43.4","-22.445556",NA,NA,NA,"Erva terrícola de 18cm; raízes espessas, brancas; folhas verde escuro, venadas, pecíolo branco, quilhadas, oblanceoladas. Estéril.","RFA38784",NA,"2011",NA,NA,"07","23","43º24'0''W","22º26'44''S",NA,NA,NA,NA,NA
"5","2020-11-13 09:20:35-03","UFRJ","RFA","37775","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pteroglossa","glazioviana","Pteroglossa glazioviana","(Cogn.) Garay","M. S. Wängler","M. S. Wängler; F. C. Alzer; G. F. Mazzoni; D. F. Massunaga.","756","2011","07","23",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Divino Vale.","-43.400833","-22.445833",NA,NA,NA,NA,"RFA38781",NA,"2011",NA,NA,"07","23","43º24'3''W","22º26'45''S",NA,NA,NA,NA,NA
"6","2020-11-13 09:20:35-03","UFRJ","RFA","37812","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pteroglossa","glazioviana","Pteroglossa glazioviana","(Cogn.) Garay","M. S. Wängler","M. S. Wängler; C. Martins; A. M. Paiva; G. F. Mazzoni","231","2010","08","28",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares. Zona de Vida Silvestre, Água Fria.","-43.382778","-22.456111",NA,NA,NA,"Erva terrestre, 30 cm, raízes brancas, espessas, folhas rosuladas, verde acinzentadas, brilhantes, inflorescência racemosa, pilosa, pdúnculo róseo, sépalas e pétalas alvas com ápice verde claro, pilosa na face abaxial, labelo branco com","RFA38785",NA,"2012",NA,NA,"03","23","43º22'58''W","22º27'22''S",NA,NA,NA,NA,NA
"7","2020-11-13 09:20:35-03","UFRJ","RFA","38317","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pteroglossa","glazioviana","Pteroglossa glazioviana","(Cogn.) Garay","M. S. Wängler","M. S. Wängler; F. C. Alzer; G. F. Mazzoni; D. F. Massunaga","749","2011","07","23",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Divino Vale","-43.4","-22.445556",NA,NA,NA,"Erva terrícola, 27 cm, folhas verdes acinzentadas, brilhantes, inflorescência pilosa com 5 flores, sépalas amarronzadas, pétalas brancas, labelo branco com listras verdes. floresceu em cultivo em dezembro/2011.","RFA38810",NA,"2012",NA,NA,"03","23","43º24'0''W","22º26'44''S",NA,NA,NA,NA,NA
"8","2020-11-13 09:20:35-03","UFRJ","RFA","38318","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pteroglossa","glazioviana","Pteroglossa glazioviana","(Cogn.) Garay","M. S. Wängler","M. S. Wängler; A. M. Paiva; V. S. Ferreira","325","2011","01","15",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Alameda Palmares, Propriedade do Sr. Amadeu (Dequinha).","-43.393056","-22.449444",NA,NA,NA,"Erva terrícola, 31 cm, folhas verde acinzentado, brilhantes, inflorescência pilosa com 12 flores, sépalas amarronzadas, pétalas brancas, labelo branco com listras verdes. Vegetando em local sombreado e bem úmido.","RFA38780",NA,"2012",NA,NA,"03","30","43º23'35''W","22º26'58''S",NA,NA,NA,NA,NA
"9","2020-11-13 09:20:35-03","UFRJ","RFA","38319","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pteroglossa","glazioviana","Pteroglossa glazioviana","(Cogn.) Garay","M. S. Wängler","M. S. Wängler; G. F. Mazzoni; R. Albuquerque","897","2011","10","08",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre. Alameda Palmares, Dona Isabel.","-43.367222","-22.443056",NA,NA,NA,"Erva terrícola 64 cm; raízes fasciculadas; folhas verde escura, brilhantes, 10 flores. Floresceu em cultivo em dez/2012.","RFA38779",NA,"2012",NA,NA,"03","30","43º22'2''W","22º26'35''S",NA,NA,NA,NA,NA
"10","2020-11-13 09:20:35-03","UFRJ","RFA","38316","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pteroglossa","glazioviana","Pteroglossa glazioviana","(Cogn.) Garay","M. S. Wängler","M. S. Wängler; D. F. Massunaga; G. F. Mazzoni; N Fortuna","487","2011","04","17",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Água Fria, Estrada do Marão.","-43.4185981750488","-22.4286003112793",NA,NA,NA,"Erva terrícola, 28 cm, folhas acinzentadas, brilhantes, inflorescência pilosa com 11 flores, sépalas amarronzadas, pétalas brancas, labelo branco com listras verdes.","RFA38811",NA,"2012","18359","auto","03","30",NA,NA,NA,NA,NA,NA,NA
