"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","country","stateProvince","county","individualCount","occurrenceRemarks","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","year","month","day","locality","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","fieldNumber","previousCatalogNumber"
"1","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","655","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","lingulata","Aechmea lingulata","(L.) Baker","Elton. C. M. Leme","2009","05","Luiz Felipe Nevares de Carvalho;","Carvalho2656","Brasil","Bahia","Itaimbé","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","1841","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","lingulata","Aechmea lingulata","(L.) Baker","Sergio Gurken",NA,NA,NA,NA,"Brasil","Bahia","Ilhéus","1","254","-39.0494003295898","-14.7889003753662","61245","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","398","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","lingulata","Aechmea lingulata","(L.) Baker","Elton. C. M. Leme","2009","05","Elton M. C. Leme; H. Luther; D. Benzing; Pedro Nahoum",NA,"Brasil","Bahia","Amargosa","2","254","-39.6046981811523","-13.0303001403809","22699","auto","1996","12","06","10 Km após a ciddade, Elísio Machado-BR 101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1501977","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","lingulata","Aechmea lingulata","(L.) Baker",NA,NA,NA,"H. F. A. von Eggers","5741","Trinidad and Tobago",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1763517' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"1889","11",NA,"Tobago: ad Bacoleh River.","South America","sheet","NY01501977","NY01501977_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01874110","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","lingulata","Aechmea lingulata","(L.) Baker","M. A. Spencer",NA,NA,"W. W. Thomas","8968","Brazil","Bahia","Ilhéus",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608737' target='other'> <mi>dwc_moreinfo</mi></a>","-39.0492","-14.7892",NA,NA,NA,NA,NA,"Rd. from Olivença to Maruim, 8.9 km from Olivença & 1.3 km from junction with road to Serra dos Trempes","South America","sheet","NY01874110","NY01874110_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2423393","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","lingulata","Aechmea lingulata","(L.) Baker",NA,NA,NA,"P. Leitman","306","Brazil","Bahia","Arataca",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2696175' target='other'> <mi>dwc_moreinfo</mi></a>","-39.34292","-15.18056",NA,NA,"2011","07","03","Parque Nacional da Serra das Lontras, trilha do Talhão","South America","sheet","NY02423393","NY02423393_01","373","679",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","376412","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","lingulata","Aechmea lingulata","(L.) Baker","L. B. Smith",NA,NA,"J. A. Steyermark","90020","Venezuela","Miranda",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110282' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"1961","11","25","Parque Nacional de Guatopo: trail between carretera to summit of Morro de Aguaramal, passing Río Taquasito and Río San Lorenzo. Lower slopes between Río Taquasito and slopes of Morro de Aguaramal.","South America","sheet","NY00376412","NY00376412_01","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","376387","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","lingulata","Aechmea lingulata","(L.) Baker","L. B. Smith",NA,NA,"J. A. Steyermark","90020","Venezuela","Miranda",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110281' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"1961","11","25","Parque Nacional de Guatopo: trail between carretera to summit of Morro de Aguaramal, passing Río Taquasito and Río San Lorenzo","South America","sheet","NY00376387","NY00376387_01","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","247029","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","lingulata","Aechmea lingulata froesii","L.B.Sm.",NA,NA,NA,"R. de Lemos Fróes","19970","Brazil","Bahia",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613179' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"1942","11",NA,"Entre Colonia Itatinga e Bom Gosto.","South America","sheet","NY00247029","NY00247029_01",NA,NA,"froesii","type",NA,NA,NA,NA,NA,NA,NA
"10","2016-09-30 22:18:00-03","NY","NYBG","2423329","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Wittmackia","lingulata","Wittmackia lingulata",NA,"J. Aguirre-Santoro",NA,NA,"J. M. Pires","50294","Brazil","Amapá",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2692167' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"1961","07","31","Rio Araguari. 4 km N of dining and recreation area of ICOMI, Serra do Navío. On Rio Amapari.","South America","sheet","NY02423329","NY02423329_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
