"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","typeStatus","individualCount","minimumElevationInMeters","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","419469","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","pleiogyna","Inga pleiogyna","T.D.Penn.","S. A. Mori","10807","1978","10","18","South America","Brazil","Bahia","Santa Cruz Cabrália","Arredores dda Est. Ecologica do Pau-brasil (Ca. 17km a W de Porto Seguro), estrada velha de Sta. C. de Cabralia, 4-6km a E da sede da Estaçao. Folha SW-24 (16-39c)","-39.1441852","-16.3681257","sheet","foto <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=446608' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419469","NY00419469_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","419465","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","pleiogyna","Inga pleiogyna","T.D.Penn.","G. P. Lewis","2017","1991","05","05","South America","Brazil","Bahia","Salvador","Dunas de Itapua, arredores da Lagoa de Abaeté","-38.37","-12.97","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=446607' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419465","NY00419465_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","419474","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","pleiogyna","Inga pleiogyna","T.D.Penn.","J. G. Jardim","267","1993","08","26","South America","Brazil","Bahia","Una","Entrada a direita, no km 10.4 Rod. Una/Ilheus","-39.0753","-15.2933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=446596' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419474","NY00419474_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","419472","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","pleiogyna","Inga pleiogyna","T.D.Penn.","R. P. Belém","3166","1967","01","18","South America","Brazil","Bahia","Maraú",NA,"-39.0144","-14.1033","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=446592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419472","NY00419472_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","419462","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","pleiogyna","Inga pleiogyna","T.D.Penn.","J. G. Jardim","604","1995","02","09","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=446598' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419462","NY00419462_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","419467","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","pleiogyna","Inga pleiogyna","T.D.Penn.","R. M. Harley","18492","1977","02","02","South America","Brazil","Bahia",NA,"5km SE of Maraú at the junction with the new road North to Ponta do Mutá.","-39","-14.13","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=446600' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419467","NY00419467_01","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","419471","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","pleiogyna","Inga pleiogyna","T.D.Penn.","R. P. Belém","3105","1967","01","13","South America","Brazil","Bahia","Maraú",NA,"-39.0144","-14.1033","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=446591' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419471","NY00419471_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","634422","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","pleiogyna","Inga pleiogyna","T.D.Penn.","S. C. de Sant'Ana","913","2000","06","02","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA 001 Ilhéus/Una. Coletas feitas na trilha da roda d'agua e ramal de acesso a sede da Reserva","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=446589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634422","NY00634422_01",NA,"T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","419475","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","pleiogyna","Inga pleiogyna","T.D.Penn.","S. C. de Sant'Ana","346","1993","07","28","South America","Brazil","Bahia","Una","Entrada a direita, no km 10.4 da rod. Una/Ilheus","-39.0753","-15.2933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=446594' target='other'> <mi>dwc_moreinfo</mi></a>","NY00419475","NY00419475_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","778636","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","pleiogyna","Inga pleiogyna","T.D.Penn.","J. G. Jardim","2956","2000","04","20","South America","Brazil","Bahia","Uruçuca","Parque Estadual Serra do Condurú, face N. Entrada a 7.6 km de Serra Grande, rod. Ilhéus/Itacaré. Viscina para o talhão 6 do Plano de Manejo Sustentado. Margem do rio Tijuípe ca. 7 km da entrada.","-39.08416667","-14.4291667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796532' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778636","NY00778636_01",NA,"T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
