"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","class","coordinatePrecision","geoFlag","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","971917","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","ekblomii","Oxypetalum ekblomii","Malme","D. L. Spellman","H. S. Irwin","26497","1970","02","22","South America","Brazil","Distrito Federal","Brasília","Gallery at Capão Onça, ca. 35 km S. of Planaltina, DF-13","-47.606","-15.92655","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095169' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971917","NY00971917_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","971916","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Oxypetalum","ekblomii","Oxypetalum ekblomii","Malme","A. Macedo","A. Macedo","2248","1950","04","04","South America","Brazil","Minas Gerais","Ituiutaba","S. Terezinha.","-49.465","-18.9692",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095165' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971916","NY00971916_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-07 11:41:00-03","UFMS","CGMS","76031","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","ekblomii","Oxypetalum ekblomii","Malme","Farinaccio, M.A.","S.N. Moreira; V.J. Pott, A. Pott., E.B. Souza & F.A. Ferreira","522","2012","03","01",NA,"Brasil","Mato Grosso do Sul","Sidrolândia","Fazenda América.","-54.4816667","-21.1222223","447","447",NA,"Flor esverdeada. Habitat: Solo orgânico. Relevo plano deprimido. Campo graminoso úmido sem Mauritia flexuosa em domínio de Cerrado. Habito: Erva anfíbia escandente.","CGMS1108986",NA,"2012","03","01","-54,4816667","-21,1222223",NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:31:56-03","UFMG","BHCB","175790","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Oxypetalum","ekblomii","Oxypetalum ekblomii","Malme",NA,"Moreira, SN; Pott, VJ; Pott, A; Souza, EB; Ferreira, FA;","522","2012","03","01","Southern America","Brasil","Minas Gerais","Mato Grosso do Sul","Anhanduí., Fazenda América. A esquerda da br163, Campo Grande - Dourados","-53","-21.118333","447","447",NA,"Erva anfíbia escandente, FL esverdeada.; Solo orgânico, Relevo plano deprimido. Campo úmida sem M. flexuosa em domínio do Cerrado. Área 2",NA,NA,NA,NA,NA,"-53","-21.118333",NA,NA,NA,NA,NA,NA
"5","2015-08-10 05:49:00-03","MO","MOBOT","100297241","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","ekblomii","Oxypetalum ekblomii","Malme","M.A. Farinaccio","Amaro Macedo","Macedo 2248","1950","4","4","South America","Brazil","Minas Gerais","Ituiutaba","S. Terezinha.","-41.7666667","-20.1333333","650.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"6","2010-08-16 10:22:00-03","MO","MOBOT","100297236","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","ekblomii","Oxypetalum ekblomii","Malme","M.A. Farinaccio","G. Malme","Malme 1328","1894","1","3","South America","Brazil","Mato Grosso","Cuiabá","Cuyabá.","-56.0666667","-15.5666667","200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Holotype",NA,NA,NA,NA
"7","2010-08-16 10:23:00-03","MO","MOBOT","2610986","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","ekblomii","Oxypetalum ekblomii","Malme","M.A. Farinaccio","Howard S. Irwin","Irwin 26497","1970","2","22","South America","Brazil","Distrito Federal",NA,"Capão da Onca, 35 km S of Planaltina, DF-13",NA,NA,"1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2196822","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Oxypetalum","ekblomii","Oxypetalum ekblomii","Malme",NA,"A. Macedo","2248","1950","4","4","South America","Brazil",NA,NA,"S. Terezinha, Municipio Ituiutaba, Estado MG.",NA,NA,NA,NA,NA,NA,"US03266235","US03266235_01",NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","1124373","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Oxypetalum","ekblomii","Oxypetalum ekblomii","Malme",NA,"G. O. A. Malme","1328","1894","1","13","South America - Neotropics","Brazil","Mato Grosso",NA,"Cuyabá.",NA,NA,NA,NA,NA,NA,"US03266237","US03266237_01",NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","1473830","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Oxypetalum","ekblomii","Oxypetalum ekblomii","Malme",NA,"G. O. A. Malme","1328","1894","1","13","South America - Neotropics","Brazil","Mato Grosso",NA,"Cuyabá.",NA,NA,NA,NA,NA,NA,"US03266236","US03266236_01",NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA,NA
"11","2019-10-07 09:13:40-03","UEFS","HUEFS","85637","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Oxypetalum","ekblomii","Oxypetalum ekblomii","Malme",NA,"Malme, G.O.A.","1328","1894","11","13",NA,"Brasil","Mato Grosso","Cuiabá",NA,"-56.0966987609863","-15.5960998535156",NA,NA,NA,NA,"HUEFS0085637",NA,NA,NA,NA,NA,NA,NA,"Tipo","Asteranae","74875","auto",NA
"12","2019-09-04 20:07:47-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Oxypetalum","ekblomii","Oxypetalum ekblomii",NA,NA,"G. O. A. Malme","1328","1894","1","13","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype","Dicotyledoneae",NA,NA,NA
"13","2019-07-09 14:14:26-03","F","FMNH-SEEDPLANTS","V0059276F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Oxypetalum","ekblomii","Oxypetalum ekblomii",NA,NA,"G. O. A. Malme","1328","1894","1","13","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0059276F","V0059276F_01",NA,NA,NA,NA,NA,NA,"Isotype","Dicotyledoneae",NA,NA,NA
"14","2019-07-09 14:16:48-03","F","FMNH-SEEDPLANTS","V0420214F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Asclepiadaceae","Oxypetalum","ekblomii","Oxypetalum ekblomii",NA,"RRC ID Flag","H. S. Irwin","26497","1970","2","22","South America","Brazil","Distrito Federal",NA,NA,"-47.75","-15.75",NA,NA,NA,NA,"V0420214F","V0420214F_01 V0420214F_02",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"26497"
"15","2019-11-01 14:52:50-03","UnB","UB","24074","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Apocynaceae","Oxypetalum","ekblomii","Oxypetalum ekblomii","Malme","Farinaccio, MA","Irwin, HS","26497","1970","02","22","Southern America","Brasil","Distrito Federal","Brasília","35 km de Planaltina","-47.887778","-15.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-47.887778","-15.8",NA,NA,NA,NA,NA,NA
"16","2021-02-23 13:21:49-03","MN","R-TIPOS","5027","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","ekblomii","Oxypetalum ekblomii","Malme","Hoehne, F.C.","Malme, G.O.A.","1328","1894","01","13",NA,"Brasil","Mato Grosso","Cuiabá",NA,"-56.0966987609863","-15.5960998535156",NA,NA,NA,NA,"R000005027","R000005027_001",NA,NA,NA,NA,NA,NA,"Isotypus",NA,"74875","auto",NA
"17","2019-11-21 09:58:54-03","IBt","SP","52228","S","Plantae",NA,NA,"Apocynaceae","Oxypetalum","ekblomii","Oxypetalum ekblomii","Malme","Farinaccio, MA","Macedo, A","620","1944","12","06",NA,"Brasil","Minas Gerais","Ituiutaba","Fazenda Santa Terezinha","-49.4650001525879","-18.968900680542",NA,NA,NA,NA,NA,NA,"2005",NA,NA,NA,NA,NA,NA,NA,"50022","auto",NA
"18","2019-11-21 09:58:54-03","IBt","SP","276920","S","Plantae",NA,NA,"Apocynaceae","Oxypetalum","ekblomii","Oxypetalum ekblomii","Malme","Farinaccio, MA","Bernacci, LC; Belinello, R; Andrade, PRP; Camargo, O","907","1984","12","01",NA,"Brasil","São Paulo","Cardoso","Próximo à Rodovia vicinal para Vila Alves, Fazenda São Paulo","-49.9099998474121","-20.0799999237061",NA,NA,NA,NA,NA,NA,"1998","01",NA,NA,NA,NA,NA,NA,"22486","auto",NA
