"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","440940","PreservedSpecimen","Plantae","Magnoliophyta","Vitales","Vitaceae","Cissus","stipulata","Cissus stipulata","Vell.","J. A. Lombardi","G. G. Hatschbach","16799","1967","07","25","South America","Brazil","Paraná","Paranaguá","Sitio de Maio","-48.5092","-25.5203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=567709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440940","NY00440940_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01240606","PreservedSpecimen","Plantae","Magnoliophyta","Vitales","Vitaceae","Cissus","stipulata","Cissus stipulata","Vell.","J. A. Lombardi","R. A. X. Borges","704","2007","01","23","South America","Brazil","Bahia","Camacan","Fazenda Serra Bonita, RPPN Serra Bonita, 9.7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel.","-39.5653","-15.3917","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1449664' target='other'> <mi>dwc_moreinfo</mi></a>","NY01240606","NY01240606_01","835","835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00750179","PreservedSpecimen","Plantae","Magnoliophyta","Vitales","Vitaceae","Cissus","stipulata","Cissus stipulata","Vell.","J. A. Lombardi","J. G. Jardim","3037","2000","05","01","South America","Brazil","Bahia","Una","Reserva Biológica de Una, lado W da Rod. Una/Sao José, entrada ca. 26 km de Una para Vila Brasil, ca. 10 km da entrada","-39.1511","-15.1794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=496191' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750179","NY00750179_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","440831","PreservedSpecimen","Plantae","Magnoliophyta","Vitales","Vitaceae","Cissus","stipulata","Cissus stipulata","Vell.","J. A. Lombardi","W. W. Thomas","9314","1992","05","14","South America","Brazil","Bahia","Wenceslau Guimaraes","Ca. 3 km W of Nova Esperança, W edge of Reserva Estadual Wenceslau Guimarães.","-39.7222222","-13.5972222","sheet","see fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=567712' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440831","NY00440831_01","500","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1552092","PreservedSpecimen","Plantae","Magnoliophyta","Vitales","Vitaceae","Cissus","stipulata","Cissus stipulata","Vell.","J. A. Lombardi","R. Goldenberg","1105","2008","05","06","South America","Brazil","Espírito Santo","Cariacica","Reserva Biológica Duas Bocas. Pau Amarelo, ex-Condominio Rural Cantinho do Céu.","-40.5406","-20.2783","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1434787' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552092","NY01552092_01","619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","440938","PreservedSpecimen","Plantae","Magnoliophyta","Vitales","Vitaceae","Cissus","stipulata","Cissus stipulata","Vell.","F. Markgraf","R. Reitz","1921","1954","07","02","South America","Brazil","Santa Catarina","Itajaí","Morro da Fazenda, Itajaí","-48.6617","-26.9081","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=567711' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440938","NY00440938_01","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","441018","PreservedSpecimen","Plantae","Magnoliophyta","Vitales","Vitaceae","Cissus","stipulata","Cissus stipulata","Vell.","J. A. Lombardi","W. W. Thomas","9314","1992","05","14","South America","Brazil","Bahia","Wenceslau Guimaraes","Ca. 3 km W of Nova Esperança, W edge of Reserva Estadual Wenceslau Guimarães.","-39.7222222","-13.5972222","separate fruit","see fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=567713' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441018","NY00441018_01","500","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00835271","PreservedSpecimen","Plantae","Magnoliophyta","Vitales","Vitaceae","Cissus","stipulata","Cissus stipulata","Vell.","J. A. Lombardi","P. Fiaschi","2246","2004","04","04","South America","Brazil","Bahia","Uruçuca","Estrada de Itacaré para Serra Grande, pouco após km 43, ramal à direita após acesso para a cachoeira do Tijuípe. Area explotada do plano de manejo","-39.0791667","-14.3866667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=916579' target='other'> <mi>dwc_moreinfo</mi></a>","NY00835271","NY00835271_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00750164","PreservedSpecimen","Plantae","Magnoliophyta","Vitales","Vitaceae","Cissus","stipulata","Cissus stipulata","Vell.","J. A. Lombardi","A. M. V. de Carvalho","4428","1994","03","16","South America","Brazil","Bahia","Una","Ca. 46 km na Rodovia BA 001, Ilhéus/Una","-39.0753","-15.2933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467931' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750164","NY00750164_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","441028","PreservedSpecimen","Plantae","Magnoliophyta","Vitales","Vitaceae","Cissus","stipulata","Cissus stipulata","Vell.","J. A. Lombardi","A. M. V. de Carvalho","3445","1991","07","01","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=567710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441028","NY00441028_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
