"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","maximumElevationInMeters","imagecode","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","3978419","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","aberrans","Croton aberrans","Müll.Arg.","M. H. Nee","37420","1988","12","29","South America","Bolivia","Santa Cruz","Vallegrande","vic. El Rodeo, on road from Vallegrande to Tierras Nuevas, 12 km (by air) SE of Vallegrande","-64.02","-18.55","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4273901' target='other'> <mi>dwc_moreinfo</mi></a>","NY03978419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","503933","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","aberrans","Croton aberrans","Müll.Arg.","S. L. Ginzbarg","572","1987","02","16","South America","Paraguay","Amambay",NA,"Pq. Nac. Cerro Corá. Camino Sereno, 3 km al NO del monumento. En cerrado al E de Cerro Trébol, quemado hace seis meses",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261837' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503933","S. L. Ginzbarg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","503935","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","aberrans","Croton aberrans","Müll.Arg.","S. L. Ginzbarg","395","1987","01","22","South America","Argentina","Corrientes","Santo Tome","Rta. 14, 3 km al S Gdor. Igr. V. Virasoro","-56.020355","-28.081496",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261838' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503935","S. L. Ginzbarg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","503934","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","aberrans","Croton aberrans","Müll.Arg.","L. B. Smith","13809","1964","12","07","South America","Brazil","Santa Catarina","Campo Erê","17 km west of Campo Eré","-53.13","-26.37","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00503934","L. B. Smith","1000","NY00503934_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:38:17-03","EAO","IAN","18373","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Croton","aberrans","Croton aberrans","Müll.Arg.","sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN018373",NA,NA,"IAN018373_ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:28:59-03","IAP","PACA-AGP","56143","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Croton","aberrans","Croton aberrans","Müll. Arg.","J. Pivetta","553","1954","01","03",NA,"Brasil","RS","Cruz Alta",NA,"-53.6063995361328","-28.638599395752",NA,NA,"Habitat: in campestribus graminosis Fenofase: flor","PACA056143","Z. Ahumada",NA,NA,"Magnoliatae","1994","44498","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:28:59-03","IAP","PACA-AGP","9881","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Croton","aberrans","Croton aberrans","Müll. Arg.","Rambo, B.",NA,"1942","01","29",NA,"Brasil","RS","Tupanciretã",NA,"-53.8358001708984","-29.0806007385254",NA,NA,"Habitat: in campestribus siccis Fenofase: flor","PACA009881","Z. Ahumada",NA,NA,"Magnoliatae","1994","59498","auto",NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:28:59-03","IAP","PACA-AGP","9383","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Croton","aberrans","Croton aberrans","Müll. Arg.","Rambo, B.",NA,"1942","01","28",NA,"Brasil","RS","Tupanciretã",NA,"-53.8358001708984","-29.0806007385254",NA,NA,"Habitat: in siccis campestribus Fenofase: flor","PACA009383","Z. Ahumada",NA,NA,"Magnoliatae","1994","59498","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:28:59-03","IAP","PACA-AGP","9669","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Croton","aberrans","Croton aberrans","Müll. Arg.","Rambo, B.",NA,"1942","01","26",NA,"Brasil","RS","Tupanciretã","Jari","-53.8358001708984","-29.0806007385254",NA,NA,"Habitat: in rupestribus siccis graminosis Fenofase: flor","PACA009669","Z. Ahumada",NA,NA,"Magnoliatae","1994","59498","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:28:59-03","IAP","PACA-AGP","53006","PreservedSpecimen","Plantae","Magnoliophyta","Euphorbiales","Euphorbiaceae","Croton","aberrans","Croton aberrans","Müll. Arg.","Rambo, B.",NA,"1953","11","17",NA,"Brasil","RS","Santo Ângelo",NA,"-54.2630996704102","-28.2992000579834",NA,NA,"Habitat: in campestribus graminosis Fenofase: flor e fruto","PACA053006","Z. Ahumada",NA,NA,"Magnoliatae","1994","25915","auto",NA,NA,NA,NA,NA,NA,NA
