"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","class","order","imagecode","typeStatus","fieldNumber","preparationType","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","sex"
"1","2021-03-30 12:34:28-03","EAO","IAN","107627","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Aldama","goyazii","Aldama goyazii","EE Schill & Panero","Campos, MM","2017","06","06","Magalhães, MG","9996","1957","05","10","Southern America","Brasil","Distrito Federal","Brasília","Área da novacap. Campo com tapete herbáceo e subarbusto.","-47.9296989440918","-15.7797002792358","70570","Subarbusto de 0,40-1m de altura; amarela.","IAN107627","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:34:28-03","EAO","IAN","119113","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Aldama","goyazii","Aldama goyazii","EE Schill & Panero","Campos, MM","2017","06","06","Sucre, D","298","1965","05","25","Southern America","Brasil","Distrito Federal","Brasília","Parque Nacional do Gama.","-47.9296989440918","-15.7797002792358","70570","Subarbusto com ± 1,50m de altura, capítulos amarelos, crescendo em lugar úmido perto do rio.","IAN119113","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:52:19-03","NBC","NL-BOTANY","WAG.1555879","PreservedSpecimen","Plantae",NA,"Compositae","Viguiera","hispida","Viguiera hispida","Baker",NA,NA,NA,NA,"Irwin HS; Reis dos Santos R; Souza R; Fonsêca F da",NA,"1969","03","08","Southern America","Brazil",NA,NA,"Estado de Goías, Chapada dos Veadeiros. Ca. 7km south of Cavalcante.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1555879 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1555879",NA,"Magnoliopsidae","Asterales","NL-WAG1555879",NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-10-02 13:13:28-03","MNHN","RECOLNAT_MNHN_P","P00704757","PreservedSpecimen",NA,NA,"Asteraceae","Viguiera","hispida","Viguiera hispida","Baker","Magenta",NA,NA,NA,"Pohl, J.E.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Goyaz",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00704757' target='other'> <mi>dwc_moreinfo</mi></a>","P00704757",NA,NA,NA,"P00704757_01","syntype","578 d","hb",NA,NA,NA,NA,NA
"5","2014-08-23 05:36:00-03","MO","MOBOT","3386226","PreservedSpecimen","Plantae",NA,"Asteraceae","Viguiera","hispida","Viguiera hispida","Baker","G. Barroso",NA,NA,NA,"Howard S. Irwin|S.F. da Fonsêca|R. Souza|R. Reis dos Santos|J. Ramos","Irwin 28414","1970","3","27","South America","Brazil","Minas Gerais",NA,"Cerrado. Serra do Espinhaço. Cerrado on brown sand with occasional outcrops, ca. 10km S. of São João da Chapada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1200.00000000",NA,NA,NA,NA
"6","2019-09-04 19:37:42-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Asteraceae","Viguiera","hispida","Viguiera hispida",NA,NA,NA,NA,NA,"J. B. E. Pohl","578",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,"Type [status unknown]",NA,NA,NA,NA,NA,NA,NA
"7","2019-01-25 15:34:08-02","IAC","IAC","23563","S","Plantae",NA,"Asteraceae","Viguiera","hispida","Viguiera hispida","Baker","G.M. Barroso","1977","06","08","H.S. Irwin et al.","s/nº","1969","03","08",NA,"Brasil","Goiás","Alto Paraíso de Goiás","7 km de Cavalcante, Chapada dos Veadeiros","-47.51","-14.1325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-47.51","-14.1325",NA,NA
"8","2019-11-13 16:04:27-03","UNISANTA","HUSC","11875","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Aldama","goyazii","Aldama goyazii","E.E.Schill. & Panero","M.Magenta","2016","10",NA,"M.Magenta; J.E. Magenta Neto","720","2004","11","14",NA,"Brasil","Minas Gerais","Ituiutaba","Serra da Aroeira Rod. Ituiutaba - Cachoeira Dourada, km 47.","-49.475639","-18.851",NA,"Erva xilopodífera cespitosa, ca. 1m. Capítulos amarelos. Tricomas ligeiramente urticantes.; Campo sujo; beira da rodovia.",NA,NA,NA,NA,NA,NA,NA,NA,"652","-49.475639","-18.851","652",NA
"9","2019-11-13 16:04:27-03","UNISANTA","HUSC","11874","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Aldama","goyazii","Aldama goyazii","E.E.Schill. & Panero","M.Magenta","2016","10",NA,"M.Magenta; J.E. Magenta Neto","722","2004","11","14",NA,"Brasil","Minas Gerais","Ituiutaba","Serra da Aroeira Rod. Ituiutaba - Cachoeira Dourada, km 47.","-49.474861","-18.851",NA,"Erva xilopodífera cespitosa, 0,8-1m. Capítulos amarelos.; Campo sujo; beira da rodovia.",NA,NA,NA,NA,NA,NA,NA,NA,"558","-49.474861","-18.851","558",NA
"10","2019-11-01 14:54:51-03","UnB","UB","25036","PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Viguiera","hispida","Viguiera hispida","Baker","Silva, MA","2001","04","30","Silva, MA","4986","2001","04","15","Southern America","Brasil","Goiás","Cristalina","Cristalina, Ca. 5km antes da cidade em direção à Brasília","-47.6136","-16.7686",NA,"Subarbusto 1m. Capítulos amarelos, brácteas esverdeadas; Campo pedregoso úmido",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-47.6136","-16.7686",NA,NA
