"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","locality","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","individualCount","fieldNumber","relatedCatalogItem","sex"
"1","2020-09-23 10:37:17-03","E","E","102436","PreservedSpecimen","Plantae","Combretaceae","Terminalia","phaeocarpa","Terminalia phaeocarpa","Bridgewater, S., Ratter, J.A. & Filho, J.F.","1998","11","18","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:110812","<a href=http://data.rbge.org.uk/herb/E00102436 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00102436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","565769","PreservedSpecimen","Plantae","Combretaceae","Terminalia","phaeocarpa","Terminalia phaeocarpa","J. E. B. Warming",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=684278' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565769","Magnoliophyta","Myrtales","Eichler","A. A. Alwan; C. A. Stace","s.n.","Minas Gerais","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]","NY00565769_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00997899","PreservedSpecimen","Plantae","Combretaceae","Terminalia","phaeocarpa","Terminalia phaeocarpa","E. P. Heringer","1980","01","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185659' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997899","Magnoliophyta","Myrtales","Eichler","C. A. Stace","3168","Distrito Federal","Bacia do Rio São Bartolomeu.","NY00997899_01","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00908108","PreservedSpecimen","Plantae","Combretaceae","Terminalia","phaeocarpa","Terminalia phaeocarpa","J. A. Ratter","1968","04","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908108","Magnoliophyta","Myrtales","Eichler","C. A. Stace","R1117","Mato Grosso","9 km E. of the Base Camp of the Expedition. (c. 270 km N. of Xavantina).","NY00908108_01",NA,"-51.87","-12.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01240855","PreservedSpecimen","Plantae","Combretaceae","Terminalia","phaeocarpa","Terminalia phaeocarpa","L. V. Costa","1998","01","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1469524' target='other'> <mi>dwc_moreinfo</mi></a>","NY01240855","Magnoliophyta","Myrtales","Eichler","C. A. Stace","s.n.","Minas Gerais","UHE-Queimados-Unaí","NY01240855_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00997891","PreservedSpecimen","Plantae","Combretaceae","Terminalia","phaeocarpa","Terminalia phaeocarpa","H. S. Irwin","1965","09","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185619' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997891","Magnoliophyta","Myrtales","Eichler","A. A. Alwan; C. A. Stace","8705","Distrito Federal","Universidade de Brasília","NY00997891_01","Brasília","-47.875","-15.758","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","565773","PreservedSpecimen","Plantae","Combretaceae","Terminalia","phaeocarpa","Terminalia phaeocarpa","M. Macedo","1978","08","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565773","Magnoliophyta","Myrtales","Eichler","C. A. Stace","1235","Mato Grosso","Poconé, Rod. Transpantaneira Km 17.","NY00565773_01 NY00565773_02","Poconé","-56.6228","-16.2569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00997901","PreservedSpecimen","Plantae","Combretaceae","Terminalia","phaeocarpa","Terminalia phaeocarpa","E. P. Heringer","1976","08","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997901","Magnoliophyta","Myrtales","Eichler","C. A. Stace","14846","Distrito Federal","(Usina de tratamento de esgoto Norte).","NY00997901_01","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00997897","PreservedSpecimen","Plantae","Combretaceae","Terminalia","phaeocarpa","Terminalia phaeocarpa","E. P. Heringer","1979","10","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185645' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997897","Magnoliophyta","Myrtales","Eichler","C. A. Stace","2556","Distrito Federal","Bacia do Rio São Bartolomeu.","NY00997897_01","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00997902","PreservedSpecimen","Plantae","Combretaceae","Terminalia","phaeocarpa","Terminalia phaeocarpa","A. Macedo","1948","08","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185693' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997902","Magnoliophyta","Myrtales","Eichler","A. A. Alwan; C. A. Stace","1150","Minas Gerais",NA,"NY00997902_01","Ituiutaba","-49.465","-18.9692",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
