"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","county","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","eventTime","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2020-09-23 10:36:19-03","E","E","99987","PreservedSpecimen","Plantae","Araliaceae","Didymopanax","macrocarpus","Didymopanax macrocarpus","Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca","1999","04","18","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109327","<a href=http://data.rbge.org.uk/herb/E00099987 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00099987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:19-03","E","E","161654","PreservedSpecimen","Plantae","Araliaceae","Didymopanax","macrocarpus","Didymopanax macrocarpus","J.H.Kirkbride","1981","02","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:169728","<a href=http://data.rbge.org.uk/herb/E00161654 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161654","3929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:19-03","E","E","194814","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","Harley, R.M.","1980","04","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:201937","<a href=http://data.rbge.org.uk/herb/E00194814 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00194814","21354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:19-03","E","E","264219","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","Harley, Raymond M.","1980","04","10","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:274095","<a href=http://data.rbge.org.uk/herb/E00264219 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00264219","21197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","617257","PreservedSpecimen","Plantae","Araliaceae","Didymopanax","macrocarpum","Didymopanax macrocarpum","R. M. Harley","1974","01","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=548723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617257","15109","Magnoliophyta","Apiales","Seem.","C. Grey-Wilson","Bahia","Serra do Rio de Contas. Ca. 6 km north of the town of Rio de Contas on road to Abaira","-41.78","-13.55","1000","1000","NY00617257_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","238641","PreservedSpecimen","Plantae","Araliaceae","Panax","macrocarpus","Panax macrocarpus","P. Clausen",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00238641","s.n.","Magnoliophyta","Apiales","Schltdl.","Unspecified Determiner","Minas Gerais","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,"NY00238641_01","possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00955349","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","W. R. Anderson","1973","03","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026211' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955349","7652","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin",NA,"Goiás","7 km by road S of São João da Aliança. Serra Geral do Paraná.","-47.5","-14.78","1100","1100","NY00955349_01",NA,"Água Fria de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1145222","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","R. de Mello-Silva","1997","05","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1307184' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145222","1395","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin","P. Fiaschi","Minas Gerais","Serra do Ouro Branco","-43.6567","-20.5031","1400","1400","NY01145222_01",NA,"Ouro Branco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00955341","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","H. S. Irwin","1966","03","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026194' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955341","13667","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin","D. G. Frodin","Goiás","Serra dos Cristais, ca. 8 km S. of Cristalina","-47.6","-16.82229","1200","1200","NY00955341_01",NA,"Cristalina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1581490","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","H. S. Irwin","1966","06","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104780' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581490","17767","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin","D. G. Frodin","Goiás","Ca. 40 km. S. of Caiapônia. Serra do Caiapó.","-51.8","-17.25","950","950","NY01581490_01",NA,"Caiapônia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","02212627","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","Y. E. J. Mexia","1931","04","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2353934' target='other'> <mi>dwc_moreinfo</mi></a>","NY02212627","5588","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin",NA,"Minas Gerais","Fazenda do Diamante, pasture north of buildings.","-44.4564","-18.3808","600","600","NY02212627_01",NA,"Corinto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00955373","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","E. Pereira","1963","03","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955373","7465","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin","P. Fiaschi","Goiás","BR-7, km 625.","-47.6133","-16.7686",NA,NA,"NY00955373_01",NA,"Cristalina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","617214","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","G. Eiten","1961","05","19","South America","Brazil","sheet",NA,"from plant 2 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500321' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617214","2778","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin",NA,"São Paulo","7 km south of Sao José dos Campos","-45.88","-23.1703",NA,NA,"NY00617214_01",NA,"Sao José dos Campos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1581766","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","H. S. Irwin","1970","02","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104821' target='other'> <mi>dwc_moreinfo</mi></a>","NY01581766","26107","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin","D. G. Frodin","Minas Gerais","Serra da Anta, ca. 2 km N. of Paracatú","-46.8727","-17.22555","700","700","NY01581766_01",NA,"Paracatú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00955376","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","M. Alves","2001","01","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955376","2179","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin","P. Fiaschi","Minas Gerais","APA da Serra do Cipó, estrada para Conceição do Mato Dentro, caminho dos escravos.","-43.7142","-19.1692","1200","1400","NY00955376_01",NA,"Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","818370","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","H. S. Irwin","1964","08","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=861442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818370","5280","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin",NA,"Distrito Federal","Chapada da Contagem, ca. 15 km. E. of Brasilia.","-47.85","-15.68","700","1000","NY00818370_01",NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1018729","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","P. Fiaschi","2001","06","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262142' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018729","825","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin","P. Fiaschi","São Paulo","Morro Pelado.","-46.63","-22.47",NA,NA,"NY01018729_01",NA,"Aguas de Lindóia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00955332","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","H. S. Irwin","1964","08","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026173' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955332","5088","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin",NA,"Distrito Federal","Chapada da Contagem, ca. 20 km E. of Brasília.","-47.82","-15.65","700","1000","NY00955332_01",NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00955360","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","E. P. Heringer","1973","06","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026333' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955360","12816","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin",NA,"Distrito Federal","Chapada da Contagem","-47.9294","-15.7797","1350","1350","NY00955360_01",NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00955364","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","D. R. Hunt","1966","05","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00955364","5488","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin",NA,"Distrito Federal","Near lake dam","-47.9294","-15.7797","900","1150","NY00955364_01",NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1145606","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","J. D. P. de Oliveira","1983","07","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320598' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145606","CFSC9134","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin","P. Fiaschi","Minas Gerais","Ao longo da rodovia Belo Horizonte - Conceicao do Mato Dentro. Estrada da Usina até 10 km da entrada.","-43.7144","-19.1689",NA,NA,"NY01145606_01",NA,"Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","1018507","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","P. T. Sano","1989","12","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1259905' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018507","CFCR12737","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin","P. Fiaschi","Minas Gerais","Cerrado na estrada para o Rio Ventania.","-42.82","-16.53","750","750","NY01018507_01",NA,"Grão Mogol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","617231","PreservedSpecimen","Plantae","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","I. Mimura","1962","07","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500311' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617231","446","Magnoliophyta","Apiales","(Cham. & Schltdl.) Frodin",NA,"São Paulo","Uma área disjuntiva de cerrado de várias centenas de km [squared], rodeada antigamente por mata. 7.4-7.7 km ao SSE em linha reta de praça principal de Sao José dos Campos 400-800 m ao oeste da estrada para Paraibuna","-45.88","-23.1703","600","640","NY00617231_01",NA,"Sao José dos Campos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
