"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","imagecode","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount"
"1","2020-09-23 10:41:33-03","E","E","104512","PreservedSpecimen","Plantae","Melastomataceae","Miconia","pohliana","Miconia pohliana","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","08","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:113708","<a href=http://data.rbge.org.uk/herb/E00104512 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02064128","PreservedSpecimen","Plantae","Melastomataceae","Miconia","leucocarpa","Miconia leucocarpa","M. K. Caddah","2010","05","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2419003' target='other'> <mi>dwc_moreinfo</mi></a>","NY02064128","Magnoliophyta","Myrtales","DC.","M. K. Caddah","780","São Paulo","Itirapina","Cerrado. Graúna.","-47.8003","-22.25","790","NY02064128_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00924994","PreservedSpecimen","Plantae","Melastomataceae","Miconia","leucocarpa","Miconia leucocarpa","J. H. Kirkbride Jr.","1983","08","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994084' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924994","Magnoliophyta","Myrtales","DC.",NA,"5364","Distrito Federal","Brasília","Fazenda Água Limpa, campo experimental da Universidade de Brasília.","-47.92","-15.97","1120","NY00924994_01","1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","521986","PreservedSpecimen","Plantae","Melastomataceae","Miconia","leucocarpa","Miconia leucocarpa","G. Eiten","1961","07","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521986","Magnoliophyta","Myrtales","DC.",NA,"3271","São Paulo","Brotas","Northwest side of the intersection of Brotas-Itairapina road with the road to Campo Alegre","-47.93","-22.28","750","NY00521986_01","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00924991","PreservedSpecimen","Plantae","Melastomataceae","Miconia","leucocarpa","Miconia leucocarpa","J. A. Ratter","1972","09","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994068' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924991","Magnoliophyta","Myrtales","DC.",NA,"R.2542","Distrito Federal","Brasília","Parque Nacional de Brasília.","-47.9294","-15.7797",NA,"NY00924991_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00924993","PreservedSpecimen","Plantae","Melastomataceae","Miconia","leucocarpa","Miconia leucocarpa","E. P. Heringer","1962","10","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994082' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924993","Magnoliophyta","Myrtales","DC.",NA,"s.n.","Distrito Federal","Brasília","Plano Piloto.","-47.9294","-15.7797",NA,"NY00924993_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00748820","PreservedSpecimen","Plantae","Melastomataceae","Miconia","leucocarpa","Miconia leucocarpa","G. M. Magalhaes","1963","05","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=884692' target='other'> <mi>dwc_moreinfo</mi></a>","NY00748820","Magnoliophyta","Myrtales","DC.",NA,"19032","Minas Gerais","São Gonçalo do Abaeté","30 km. L. da cidade","-45.8331","-18.3383",NA,"NY00748820_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00924995","PreservedSpecimen","Plantae","Melastomataceae","Miconia","leucocarpa","Miconia leucocarpa","A. F. M. Glaziou",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994090' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924995","Magnoliophyta","Myrtales","DC.",NA,"21394","Goiás",NA,NA,NA,NA,NA,"NY00924995_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","03147524","PreservedSpecimen","Plantae","Melastomataceae","Miconia","leucocarpa","Miconia leucocarpa","D. Alvarenga","1997","10","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3388448' target='other'> <mi>dwc_moreinfo</mi></a>","NY03147524","Magnoliophyta","Myrtales","DC.",NA,"1018","Minas Gerais",NA,"Formoso; Parque Nacional Grande Sertáo Veredas: estrada para a Fazenda Mato Grande; relevo plano; solo com textura arenosa;veredas no lado direito do Rio Preto; cerrado","-45.8483","-15.3219","730",NA,"730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00924992","PreservedSpecimen","Plantae","Melastomataceae","Miconia","leucocarpa","Miconia leucocarpa","H. S. Irwin","1964","08","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994078' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924992","Magnoliophyta","Myrtales","DC.",NA,"5547","Minas Gerais",NA,"Between Cabeceiras, MG & MG-Goiás border.","-46.4302778","-15.6171",NA,"NY00924992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
