"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","class","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","2311289","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","hybridum","Elaphoglossum hybridum","(Bory) P.Brack","F. B. Matos","I. Jiménez","2381","2004","06","09","South America","Bolivia","Tarija","Aniceto Arce","Reserva Natural de Flora y Fauna Tariquía, campamento Alisos, rio Escalera, al inicio de la senda al Nogal","-64.5667","-22","1860","1860","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3552367' target='other'> <mi>dwc_moreinfo</mi></a>","NY02311289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2311266","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","hybridum","Elaphoglossum hybridum","(Bory) P.Brack","F. B. Matos","M. Kessler","6457","1996","06","11","South America","Bolivia","Santa Cruz","Vallegrande","13 km de Loma Larga a Valle Grande","-63.9167","-18.65","2300","2300","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3552368' target='other'> <mi>dwc_moreinfo</mi></a>","NY02311266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2311260","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","hybridum","Elaphoglossum hybridum","(Bory) P.Brack","F. B. Matos","H. H. Van der Werff","21224","2006","05","01","South America","Peru","Cusco","Calca","Road Quebrada-Alto Lacco","-72.2444","-12.6228","2800","2800","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3552401' target='other'> <mi>dwc_moreinfo</mi></a>","NY02311260","NY02311260_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2311250","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","hybridum","Elaphoglossum hybridum","(Bory) P.Brack","F. B. Matos","S. G. Beck","11967","1986","10","30","South America","Bolivia","La Paz","Sud Yungas","al borde del pueblo de Unduavi (abandonado)","-67.9","-16.3167","3000","3000","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3552355' target='other'> <mi>dwc_moreinfo</mi></a>","NY02311250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2311248","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","hybridum","Elaphoglossum hybridum","(Bory) P.Brack","F. B. Matos","M. Kessler","10527pro parte","1997","07","02","South America","Bolivia","La Paz","Bautista Saavedra","16 km de Charazani hacia Apolo","-68.7667","-15.1833","2400","2400","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3552373' target='other'> <mi>dwc_moreinfo</mi></a>","NY02311248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2311290","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","hybridum","Elaphoglossum hybridum","(Bory) P.Brack","F. B. Matos","H. Huaylla","1506","2004","11","10","South America","Bolivia","Tarija","Aniceto Arce","Municipio Padcaya, Reserva Nacional de Flora y Fauna Tariquía, bajando de La Cumbre hacia Potreros","-64.5089","-22.1875","2550","2550","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3552362' target='other'> <mi>dwc_moreinfo</mi></a>","NY02311290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2311265","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","hybridum","Elaphoglossum hybridum","(Bory) P.Brack","F. B. Matos","J. Steinbach","8675","1928","11","10","South America","Bolivia","Cochabamba","Carrasco","Incallajta","-65.8667","-17.6667","3000","3000","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3552396' target='other'> <mi>dwc_moreinfo</mi></a>","NY02311265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","891472","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","hybridum","Elaphoglossum hybridum","(Bory) P.Brack","F. B. Matos; J. T. Mickel","L. B. Damazio","s.n.",NA,NA,NA,"South America","Brazil","Minas Gerais","Ouro Preto","Rochedos dos Camparinhas","-43.5081","-20.2878",NA,NA,"sheet","ex. Herb. Damazio sub. E. scolopendrifolium (Radd.) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978029' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891472","NY00891472_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2311275","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","hybridum","Elaphoglossum hybridum","(Bory) P.Brack","F. B. Matos","H. H. Rusby","292","1885",NA,NA,"South America","Bolivia",NA,"Yungas",NA,NA,NA,"1830","1830","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3552392' target='other'> <mi>dwc_moreinfo</mi></a>","NY02311275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2311287","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","hybridum","Elaphoglossum hybridum","(Bory) P.Brack","F. B. Matos","H. Huaylla","1846","2005","04","25","South America","Bolivia","Tarija","Aniceto Arce","Reserva Nacional de Flora y Fauna Tariquía, ca. Guardiania Alisos","-64.5756","-22.1944","1890","1890","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3552363' target='other'> <mi>dwc_moreinfo</mi></a>","NY02311287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1184790","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","hybridum","Elaphoglossum hybridum","(Bory) P.Brack","F. B. Matos; J. T. Mickel","A. C. Brade","16284","1940","06","13","South America","Brazil","Rio de Janeiro","Teresopolis","Terezopolis, Soberbo-Garrafão","-42.9656","-22.4122","900",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1478894' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184790","NY01184790_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
