"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1186066","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Faramea","paratiensis","Faramea paratiensis","M.Gomes","isotype","R. Marquete","1117","1993","06","30","South America","Brazil","Rio de Janeiro","Paratí","A ca. 18 km do trevo de Paratí, até a entrada de Laranjeras mais 9 km em direção a fazenda do Sr. Gibrail, estrada para a praia do Sono, antes do portão da fazenda","-44.7131","-23.2178","80","80","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1447877' target='other'> <mi>dwc_moreinfo</mi></a>","NY01186066","NY01186066_01 NY01186066_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","885787","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Faramea","picinguabae","Faramea picinguabae","M.R.M.Gomes",NA,"A. Q. Lobão","529","2001","01","21","South America","Brazil","São Paulo",NA,"Picinguaba. Parque Estadual da Serra do Mar. Núcleo de Picinguaba.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008374' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885787","NY00885787_01","J. G. Jardim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:18:25-03","ESALQ","ESA","114779","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Faramea","picinguabae","Faramea picinguabae",NA,NA,"Campos, M.C.R.","934.0","2006","07","19",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"ESA114779","ESA114779",NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:39:25-03","UNICAMP","UEC","67820","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Faramea","paratiensis","Faramea paratiensis","M.Gómez","paratypus","Koschnitzke, C; et al.","29805","1993","11","12",NA,"Brazil","São Paulo","Ubatuba","Estação Experimental do I.A.C., Mata de encosta","-45.0699996948242","-23.4300003051758",NA,NA,NA,"Arbusto ca. 1,2 m de altura, flores lilás - azuladas, fauce branca","UEC055371","UEC055371","Gomes, M","34265","auto","1998","12","16",NA,NA,NA,NA,NA
"5","2019-08-20 10:24:26-03","UNICAMP","UEC","148928","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Faramea","picinguabae","Faramea picinguabae","M.Gómez",NA,"Aranha, BA","339","2007","01","09",NA,"Brazil","São Paulo","Ubatuba","Fazenda Capriórnio.","-45.144908","-23.617747",NA,NA,NA,NA,"UEC103399","UEC103399","Jung-Mendaçolli, SL",NA,NA,"2008","10",NA,"-45.144908","-23.617747",NA,NA,NA
"6","2021-03-01 16:39:25-03","UNICAMP","UEC","170081","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Faramea","picinguabae","Faramea picinguabae","M.Gómez",NA,"Rochelle, ALC","J233",NA,NA,NA,NA,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio - Bairro Taquaral, Floresta Ombrófila Densa Submontana.","-45.084167","-23.366667","450","450",NA,"Indivíduo J233 da parcela J do Projeto Temático BIOTA-Gradiente Funcional.","UEC041721","UEC041721","Gomes, M",NA,NA,"2008","03",NA,"-45.084167","-23.366667",NA,NA,NA
"7","2021-03-01 16:39:25-03","UNICAMP","UEC","186150","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Faramea","picinguabae","Faramea picinguabae","M.Gómez",NA,"Assis, MA","s.n.","2007","10","05",NA,"Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar , Núcleo Picinguaba, localizada ao longo da trilha do Corisco, no Sertão da Casa da Farinha.","-44.938889","-23.336944","33","57",NA,"indivíduo n°B37; Floresta ombrófila Densa de Terras Baixas.","UEC110362","UEC110362","Assis, MA",NA,NA,NA,NA,NA,"-44.938889","-23.336944",NA,NA,NA
"8","2019-08-20 10:24:26-03","UNICAMP","UEC","148861","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Faramea","picinguabae","Faramea picinguabae","M.Gómez",NA,"Aranha, BA","341","2007","01","09",NA,"Brazil","São Paulo","Ubatuba","Fazenda Capriórnio.","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"UEC103397","UEC103397","Jung-Mendaçolli, SL","34265","auto","2008","10",NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:39:25-03","UNICAMP","UEC","147716","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Faramea","picinguabae","Faramea picinguabae","M.Gómez",NA,"Campos, MCR; Guilherme, FAG; Assis, MA; Mania, L","170","2006","03","28",NA,"Brazil","São Paulo","Ubatuba","Núcleo Picinguaba/PESM; trilha da casa da Farinha; parcela E, subparcela 20.","-45.0699996948242","-23.4300003051758",NA,NA,NA,"Indivíduo E0249, altura 7m.","UEC103396","UEC103396",NA,"34265","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2018-01-08 16:23:00-02","MO","MOBOT","101021300","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Faramea","paratiensis","Faramea paratiensis","M. Gomes",NA,"R. Marquete","Marquete 1272","1993","10","20","South America","Brazil","Rio de Janeiro","Parati","Apa-cairucu, Algado Olaria, proximo a Flora de Parati","-44.7131004333496","-23.2178001403809",NA,NA,NA,NA,NA,NA,"C.M. Taylor (MO)","34470","auto",NA,NA,NA,NA,NA,"1",NA,NA
