"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount"
"1","2020-09-23 10:41:17-03","E","E","274299","PreservedSpecimen","Plantae","Malpighiaceae","Heteropteris","nervosa","Heteropteris nervosa","Pott, V.J.; Pott, A.","343","1987","09","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:284935","<a href=http://data.rbge.org.uk/herb/E00274299 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00274299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:17-03","E","E","274298","PreservedSpecimen","Plantae","Malpighiaceae","Heteropteris","nervosa","Heteropteris nervosa","Pott, A.; Pott, V.J.; Bueno, N.C.","4748","1989","05","01","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:284936","<a href=http://data.rbge.org.uk/herb/E00274298 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00274298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1856722","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","nervosa","Heteropterys nervosa","D. F. Austin","7229","1979","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076182' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856722","Magnoliophyta","Malpighiales","A.Juss.","Amapá","Campo Verde-S da estrada da Zona Perimetral","-51.9517","0.7772","NY01856722_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00909633","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","nervosa","Heteropterys nervosa","J. B. de Andrade","3291","1976","09","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983146' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909633","Magnoliophyta","Malpighiales","A.Juss.","Mato Grosso","Ao redor Centro Científico de Aripuanã.","-59.4592","-10.1669","NY00909633_01","W. R. Anderson","Aripuanã",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00909640","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","nervosa","Heteropterys nervosa","R. Kral","75427","1988","10","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983177' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909640","Magnoliophyta","Malpighiales","A.Juss.","Minas Gerais","Cerro do Cabral, ca. 12 kms NNE Joaquim Felicio.","-44.1719","-17.7575","NY00909640_01","W. R. Anderson","Joaquim Felício","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00909631","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","nervosa","Heteropterys nervosa","A. F. Regnell","III329","1948","11","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909631","Magnoliophyta","Malpighiales","A.Juss.","Minas Gerais","Cidade de Uberaba.","-47.9317","-19.7483","NY00909631_01",NA,"Uberaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01856719","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","nervosa","Heteropterys nervosa","H. S. Irwin","5047","1964","08","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076175' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856719","Magnoliophyta","Malpighiales","A.Juss.","Pará","White sand savanna of Guajará.",NA,NA,"NY01856719_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1856714","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","nervosa","Heteropterys nervosa","D. C. Daly","942","1981","10","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2072818' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856714","Magnoliophyta","Malpighiales","A.Juss.","Pará","Approx. 18 km east of Tucurui and Rio Tocantins, by BR 263","-49.559238","-3.764177","NY01856714_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00909634","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","nervosa","Heteropterys nervosa","R. S. Santos","s.n.","1963","09","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909634","Magnoliophyta","Malpighiales","A.Juss.","Minas Gerais","Fda. S. José pr. Varjão.","-46.0317","-18.3781","NY00909634_01","W. R. Anderson","Varjao de Minas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1856726","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","nervosa","Heteropterys nervosa","R. S. Cowan","38692","1954","12","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2076186' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856726","Magnoliophyta","Malpighiales","A.Juss.","Amapá","Oyapock Airfield to point where first Igarapé crosses road.",NA,NA,"NY01856726_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
