"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","class","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01045562","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.","E. Hágsater","J. M. Schunke-Vigo","4948","1971","06","01","South America","Peru","San Martín","Mariscal Cáceres","Dtto. Tocache Nuevo. Quebrada de Pólvora 10 km abajo de Puerto Pizana (margen derecha del río Huallaga)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1181665' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045562","NY01045562_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01045719","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.","E. Hágsater","P. Nuñez Vargas","6139","1986","09","14","South America","Peru","Madre de Dios","Manú","Manu Park, Cocha Cashu uplands","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1182285' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045719","NY01045719_01","-71","-11.75","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01047781","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.","E. Hágsater","G. Klug","3815","1934","09",NA,"South America","Peru","San Martín",NA,"Juan Jui, Alto Río Huallaga","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1183109' target='other'> <mi>dwc_moreinfo</mi></a>","NY01047781","NY01047781_01","-76.730683","-7.179499","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01045740","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.","E. Hágsater","J. M. Schunke-Vigo","4309","1970","08","26","South America","Peru","San Martín","Mariscal Cáceres","Dtto. Campanilla. Rio Chite (margen izquierda del río Huallaga)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1182287' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045740","NY01045740_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","192048","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.","E. Hágsater","B. C. Bennett","3789","1989","04","22","South America","Ecuador","Morona-Santiago",NA,"Centro Shuar Yukutais. Chacras south of Centro, within 150m of path","sheet","Shuar Voucher <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00192048","NY00192048_01","-78.17","-3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","04077588","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.",NA,"L. Aristeguieta","1737","1953","05",NA,"South America","Venezuela","Monagas",NA,"Carretera Maturin-Caripe","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4394323' target='other'> <mi>dwc_moreinfo</mi></a>","NY04077588",NA,NA,NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01045587","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.","E. Hágsater","J. M. Schunke-Vigo","4948","1971","06","01","South America","Peru","San Martín","Mariscal Cáceres","Dtto. Tocache Nuevo. Quebrada de Pólvora 10 km abajo de Puerto Pizana (margen derecha del río Huallaga)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1181668' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045587","NY01045587_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01045332","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.","E. Hágsater","G. Tessmann","5043",NA,NA,NA,"South America","Peru",NA,NA,"Iquitos","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1184348' target='other'> <mi>dwc_moreinfo</mi></a>","NY01045332","NY01045332_01","-73.282456","-3.75626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-09-10 21:43:51-03","UNEMAT","TANG","5654","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.","Engels, ME","Engels, ME","2945","2014","10","08",NA,"Brasil","Mato Grosso","Nova Canaã do Norte","Resgate de flora da UHE Colíder., Floresta do Planalto dos Parecis, região de ecótono entre a Floresta Amazônica e Cerrado. Lote A de supressão.",NA,NA,"TANG000005654",NA,"-55.729367","-10.989756","264","264","2015","03","11","-55.729367","-10.989756",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-09-10 21:43:51-03","UNEMAT","TANG","3094","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.",NA,"Silva, CA","575","2016","08","16",NA,"Brasil","Mato Grosso","Tangara da Serra",NA,NA,NA,"TANG000003094",NA,"-57.4858016967773","-14.6194000244141",NA,NA,NA,NA,NA,NA,NA,"175746","auto",NA,NA,NA,NA,NA,NA
"11","2020-11-26 18:09:06-03","CPAN-UFMS","COR","13816","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.",NA,"Ishii, I.H.; Alves, F.M.; Urquiza, M.V.S.; Porfírio, G.E.O.","357","2003","10","03",NA,"Brasil","Mato Grosso do Sul","Corumbá","Àrea de reserva da ETA, Mineração Corumbaense Reunida S/A. Mata semidecídua; ferrícola; morro.",NA,"Início da linha de transecto; Com Flor: creme com sépalas rosadas",NA,NA,"-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA
"12","2020-11-26 18:09:06-03","CPAN-UFMS","COR","3490","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.",NA,"Chaparro, M.; Bortolotto, I.M.",NA,"1994","09","23",NA,"Brasil","Mato Grosso do Sul","Corumbá","Morro da Mineração Corumbaense Reunida S.A.",NA,"Habito: Epífita",NA,NA,"-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA
"13","2020-11-26 18:09:06-03","CPAN-UFMS","COR","6550","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.",NA,"Rodriguez, D.P.","11","1999","07","30",NA,"Brasil","Mato Grosso do Sul","Corumbá","Morro Santa Cruz (Mineração Corumbaense).",NA,"Com Flor: marrom-esverdeado Habito: epifíta",NA,NA,"-57.6533012390137","-19.0091991424561","740","740",NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA
"14","2020-11-26 18:09:06-03","CPAN-UFMS","COR","13026","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.","Fabio de Barros","Damasceno Junior, G.A. & Rodriguez, D.P.","1986","2000","10","24",NA,"Brasil","Mato Grosso do Sul","Ladário","Rancho do Sr. Buguinho e arredores - Faz São Marcelo. Mata semidecídua- Mata ciliar do córrego Bandalta; com afloramento de rochas; Morro.",NA,"Com Flor: creme",NA,NA,"-57.6016998291016","-19.0046997070312",NA,NA,NA,NA,NA,NA,NA,"23141","auto",NA,NA,NA,NA,NA,NA
"15","2020-11-19 10:24:32-03","CPAP","CPAP","13837","PreserverdSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.","F. de Barros","Chaparro, M. A. C.","08","1994","09","23",NA,"Brasil","MS","Corumbá","Morro da Mineração Corumbaense Reunida S/A",NA,"Epífita em árvore. FLOR: amarela. FRUTO: . INTERESSE: . FREQUÊNCIA: . AMBIENTE: Mata. SUBSTRATO: . RELEVO: morro.",NA,NA,"-57.6533012390137","-19.0091991424561",NA,NA,"1994","10","28",NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA
"16","2020-10-20 14:17:55-03","UFOPA","HSTM","2541","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.","Suemitsu, C.","Suemitsu, C.; Ramos, P.","1109","2012","01","18",NA,"Brasil","Pará","Oriximiná","Campinarana do Laudica.",NA,NA,"HSTM002541","HSTM002541","-55.863889","-1.765556","46","46",NA,NA,NA,"55º51'50''W","1º45'56''S",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-07 11:46:53-03","UFMS","CGMS","78413","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.",NA,"I.H. Ishii; F.M. Alves, M.V.S. Urquiza, G.E.O Porfírio","357","2003","03","10",NA,"Brasil","Mato Grosso do Sul","Corumbá","Área de reserva da ETA, Mineração Corumbaense Reunida S/A.",NA,"Flor creme com sépalas rosadas. Início da linha de transecto. Habitat: Mata semidecídua. Solo ferrícola. Relevo morro. Habito: Epífita.","CGMS1111424",NA,"-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA
"18","2021-04-07 11:46:53-03","UFMS","CGMS","78412","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.",NA,"M.A.C. Chaparro; I.M. Bortolotto, Renato",NA,"1994","09","23",NA,"Brasil","Mato Grosso do Sul","Corumbá","Morro da Mineração Corumbaense Reunida S/A.",NA,"Flor amarela. Tipo de relevo: Morro. Substrato geral árvore. Habitat: Mata. Relevo morro. Substrato geral árvore. Habito: Epífita.","CGMS1111423",NA,"-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA
"19","2019-02-25 16:14:58-03","UNEMAT","HERBAM","12908","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.","Engels, ME","Engels, M.E.","982628Copel9","2014","10","20",NA,"Brasil","Mato Grosso","Colíder","Resgate de FLORA da UHE Colíder. Lote B de supress",NA,NA,"HERBAM012908",NA,"-55.4508018493652","-10.8177995681763",NA,NA,NA,NA,NA,NA,NA,"78569","auto",NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:38:23-03","MBM","MBM","417216","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.","Engels, M.E.","Engels, M.E.","2945","2014","10","08","Southern America","Brazil","Mato Grosso","Nova Canaã do Norte","Resgate da Flora da UHE Colíder, Lote A de supressão.",NA,"Epífita. Caule verde, cilíndrico, 0,25-1,2m. Folhas verdes a verdes levemente acastanhadas, levemente carnosas. Inflorescência racemosa terminal pendente, raque verde acastanha. Flores com ovário + pedicelo verde acastanhado. Sépalas","MBM417216","MBM417216","-55.729444","-10.968889","264","264","2015","03","11","-55.729444","-10.968889",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:38:23-03","MBM","MBM","417215","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.","Engels, M.E.","Engels, M.E.","4845","2016","10","12","Southern America","Brazil","Mato Grosso","Itaúba","Resgate da Flora da UHE Colíder",NA,"Epífita. Pseudobulbos e folhas verdes. Folhas formente discolores. Inflores^cneica decendente. Flores ressupinadas. Pétalas e sépalas alavacentas na face adaxial e castanhas na abaxial. Labelo alvo. Coluna verde se tornanado alva par","MBM417215","MBM417215","-55.2764015197754","-11.0616998672485",NA,NA,"2016","10","12",NA,NA,"111180","auto",NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:38:23-03","MBM","MBM","59913","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.","Pabst, G.","Hatschbach, G.","41568","1978","08","31","Southern America","Brazil","Paraná","Cerro Azul","Barra do Lajeado Grande",NA,NA,"MBM059913","MBM059913","-49.261100769043","-24.823600769043",NA,NA,NA,NA,NA,NA,NA,"32006","auto",NA,NA,NA,NA,NA,NA
"23","2020-12-11 11:44:28-03","UFMG","BHCB","147828","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.",NA,"Giacomin, LL; Massensini Júnior, A; A.; Assis, FC; Paixão, LC; Batista, JAN","1393","2011","03","16","Southern America","Brasil","Minas Gerais","Delfim Moreira","Fazenda Boa Esperança, Trilha do Marlom",NA,"Erva terrestre em subosque ou epífita em raízes tubulares. Flores róseas com máculas alvas; Floresta ombrófila mista ciliar, em regeneração","BHCB009135",NA,"-45.322111","-22.5735","1478","1478","2013","07","17","-45.322111","-22.5735",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-11 11:44:28-03","UFMG","BHCB","35147","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Epidendrum","coronatum","Epidendrum coronatum","Ruiz & Pav.",NA,"Alvarenga, D; Oliveira, FCA","361","1989","08","01","Southern America","Brasil","Distrito Federal","Brasília","Reserva Ecológica do IBGE.",NA,"Frutos imaturos de cor verde escuro; caule roxo.; Orquídea sobre uma árvore morta. Mata ciliar do córrego","BHCB009136",NA,"-47.894722","-15.9925",NA,NA,"2013","07","17","-47.894722","-15.9925",NA,NA,NA,NA,NA,NA,NA,NA
