"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","minimumElevationInMeters","maximumElevationInMeters","county","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","class","coordinatePrecision","geoFlag","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00722701","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","hasslerianum","Solanum hasslerianum","Chodat","A. Schinini","A. Schinini","27126","1990","10","11","South America","Paraguay","Alto Paraná","Ea. Santa Elena, Pira Pyta","-54.58","-25.28","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3238' target='other'> <mi>dwc_moreinfo</mi></a>","NY00722701","NY00722701_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00722698","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","hasslerianum","Solanum hasslerianum","Chodat","M. H. Nee","F. J. Fernández Casas","FC6377","1982","02","21","South America","Paraguay","Caaguazú","Cerca y al Norte de Yhú",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=855032' target='other'> <mi>dwc_moreinfo</mi></a>","NY00722698","NY00722698_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 15:23:00-03","NY","NYBG","172016","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","hasslerianum","Solanum hasslerianum subinerme","Hassl.",NA,"E. Hassler","11407",NA,NA,NA,"South America","Paraguay",NA,"Sierra de Amambay",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=748448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00172016","NY00172016_01","subinerme","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00741734","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","hasslerianum","Solanum hasslerianum","Chodat","M. H. Nee","E. M. Zardini","48276","1998","03","12","South America","Paraguay","San Pedro","Yaguarete Forest (Sustainable Forest Systems site): trail to Céspedes Cué","-56.1130556","-23.8102778","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=872384' target='other'> <mi>dwc_moreinfo</mi></a>","NY00741734",NA,NA,NA,"182","182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00712575","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","hasslerianum","Solanum hasslerianum","Chodat","M. H. Nee","G. G. Hatschbach","74290","2002","11","16","South America","Brazil","Mato Grosso do Sul","Rod. BR-267, próximo do trevo para Bela Vista","-56.5208","-22.1092","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=850053' target='other'> <mi>dwc_moreinfo</mi></a>","NY00712575","NY00712575_01",NA,NA,NA,NA,"Bela Vista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00722702","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","hasslerianum","Solanum hasslerianum","Chodat","M. H. Nee","Collector unspecified","19597","1979","01","14","South America","Paraguay","San Pedro","Inter Obraje Natalia et Colonia Rio Verde",NA,NA,"sheet","[Collector was not specified on label, however, the label matches those used by Bernardi] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=857147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00722702",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00722699","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","hasslerianum","Solanum hasslerianum","Chodat","M. H. Nee","F. J. Fernández Casas","3861","1980","09","23","South America","Paraguay","Caaguazú","Entre Yhú y San Blas",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=855592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00722699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 15:23:00-03","NY","NYBG","172017","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","hasslerianum","Solanum hasslerianum subinerme","Hassl.",NA,"E. Hassler","11407",NA,NA,NA,"South America","Paraguay",NA,"Sierra de Amambay",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=748449' target='other'> <mi>dwc_moreinfo</mi></a>","NY00172017","NY00172017_01","subinerme","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00741733","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","hasslerianum","Solanum hasslerianum","Chodat","M. H. Nee","E. M. Zardini","45627","1996","10","30","South America","Paraguay","San Pedro","Yaguarete Forest (Sustainable Forest Systems site): around aserradero","-56.2130556","-23.7930556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=872382' target='other'> <mi>dwc_moreinfo</mi></a>","NY00741733","NY00741733_01",NA,NA,"210","210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00700544","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","hasslerianum","Solanum hasslerianum","Chodat","M. H. Nee","G. G. Hatschbach","49034","1985","03","14","South America","Brazil","Mato Grosso do Sul","Rod. MT-642, ligação a Paranhos","-55.2256","-23.1044","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00700544","NY00700544_01",NA,NA,NA,NA,"Amambai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
