"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","class","order","continentOcean","relatedCatalogItem","barcode","imagecode","phylum","yearIdentified","coordinatePrecision","geoFlag","typeStatus","preparationType","monthIdentified","dayIdentified","minimumElevationInMeters","individualCount","maximumElevationInMeters","fieldNumber","relationshipType","infraspecificEpithet"
"1","2020-11-26 18:07:40-03","CPAN-UFMS","COR","5864","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","V.J.Pott","V.J.Pott.; Robin Foster.","3719","1998","09","03","Brasil","Mato Grosso do Sul","Aquidauana","Fazenda Rio Negro, Rio Negro, canal novo do rio. Borda úmida de rio, alagável; Areno-argiloso; Plano.","-56.415","-19.611111","56º24'54''W","19º36'40''S","Com Flor: branca Habito: Erva parasita sobre vegetação anfíbia, Viagna e Mikania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:34:03-03","NBC","NL-BOTANY","L.2730271","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Humb., Bonpl. & Kunth",NA,"Pedersen TM",NA,"1974","04","10","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2730271 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","Solanales","Southern America","L 0282178","NL-L2730271","NL-L2730271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:33:32-03","UFJF","CESJ","45939","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","M.M. Sosa","M.M. Sosa","80","2001","12","21","Argentina",NA,"Corrientes",NA,NA,NA,NA,NA,"Em zona inundável.",NA,NA,"América do Sul",NA,"CESJ045939",NA,"Angiosperma","2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-07 11:42:23-03","UFMS","CGMS","6772","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","V.J. Pott","V.J. Pott; R. Foster","3719","1998","09","03","Brasil","Mato Grosso do Sul","Aquidauana","Fazenda Rio Negro, Rio Negro, canal novo do rio.","-56.415","-19.6111111","-56,415","-19,6111111","Flor branca. Habitat: Borda úmida de rio, alagável. Solo areno-argiloso. Relevo plano. Ocasional. Habito: Erva parasita sobre vegetação anfíbia, Vigna e Mikania.",NA,NA,NA,NA,"CGMS1016655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:21:20-03","MBM","MBM","301035","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","et al.; Sosa","Pedersen, T.M.","12026","1977","12",NA,"Argentina",NA,NA,"Corrientes",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,"MBM301035","MBM301035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:21:20-03","MBM","MBM","265882","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth",NA,"Tessmann, G.","2930","1948","11","17","Brazil","Paraná","Ponta Grossa","Fazenda Lagoa Dourada","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,NA,"Southern America",NA,"MBM265882","MBM265882",NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-10-16 20:44:38-03","MNHN","RECOLNAT_MNHN_P","P00670788","PreservedSpecimen",NA,"Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Kunth","Bonpland, A.J.A.|von Humboldt, F.W.H.A.",NA,NA,NA,NA,"[Pérou]",NA,NA,"Peruvia [Nov. gen. sp. : Crescit in Peruviae Andibus]",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00670788' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"P00670788","P00670788_01",NA,NA,NA,NA,"holotype","hb",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-11 17:18:35-03","UFPR","UPCB","46826","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Sosa, M.M.","Sosa, M.M.","80","2001","12","21","Argentina","Corrientes","Capital","Corrientes, Dep. Capital, Laguna Brava",NA,NA,NA,NA,"En zona inundable..",NA,NA,NA,NA,NA,NA,NA,"2002",NA,NA,NA,NA,"01","01",NA,NA,NA,NA,NA,NA
"9","2009-10-20 18:59:00-02","MO","MOBOT","2830189","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","T. Beliz","F.W.H.A. von Humboldt","Humboldt s.n.",NA,NA,NA,"Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2010-07-04 20:18:00-03","MO","MOBOT","1741468","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth",NA,"William Andrew Archer","Archer 94","1930","6","7","Colombia","Antioquia","Abejorral","Rio Medellin",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
