"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"1","2021-04-05 14:25:58-03","UNESC","CRI","12426","PreservedSpecimen","Plantae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa","Perkins","Aline Votri Guislon & Peterson T. Padilha","2017","07","17","Alexandre Medeiros","2017","04","19","Brasil","Santa Catarina","Balneário Camboriú","Praia do Pinho.","-48.637778","-27.001111","48º38'16''W","27º0'4''S","Coleta 77. Habito: Arbóreo","CRI010633","CRI010633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:03-03","UNESC","CRI","8837","PreservedSpecimen","Plantae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa","Perkins","Vanilde C. Zanette","1998","12","30","Clair M. Martinello; Zenaide P. Topanotti","1998","12","30","Brasil","Santa Catarina","Criciúma","Sítio do João Dagostim, Bairro Quarta Linha.","-49.37","-28.678056","49º22'12''W","28º40'41''S",NA,"CRI008966","CRI008966","58","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:03-03","UNESC","CRI","15381","PreservedSpecimen","Plantae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa","Perkins","Aline Votri Guislon","2020","10","18","Aline V. Guislon","2020","10","18","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves. Bairro Dagostim. Área L6.","-49.359722","-28.765833","49º21'35''W","28º45'57''S","Espécie com frequência rara. Fruto seco deiscente Habitat: Heliófito Habito: Arbóreo","CRI014798",NA,"40","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:03-03","UNESC","CRI","5313","PreservedSpecimen","Plantae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa","Perkins","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow","1993","04","11","Brasil","Santa Catarina","Florianópolis","Próx. campus UFSC.","-48.48","-27.592222","48º28'48''W","27º35'32''S","Habito: arbórea","CRI008965","CRI008965","17","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:58-03","UNESC","CRI","12465","PreservedSpecimen","Plantae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa","Perkins","Aline Votri Guislon & Peterson T. Padilha","2017","07","17","Alexandre Medeiros","2017","05","26","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.6347007751465","-26.9906005859375",NA,NA,"Coleta 403. Habito: Arbóreo","CRI010672",NA,NA,NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:58-03","UNESC","CRI","12347","PreservedSpecimen","Plantae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa","Perkins","Renato Colares","2017","06","08","Alexandre Medeiros","2017","04","21","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.6347007751465","-26.9906005859375",NA,NA,"Coleta 142","CRI010554",NA,NA,NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:42:56-03","E","E","198792","PreservedSpecimen","Plantae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa",NA,NA,NA,NA,NA,"Pennington, T.D.; Daza, A.; Revilla, J.","2002","05","18","PE",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00198792 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00198792",NA,NA,NA,NA,NA,"17395","W. Tropical South America","herbarium specimen of unspecif","BGBASE:208420",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02332086","PreservedSpecimen","Plantae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa","Perkins",NA,NA,NA,NA,"M. G. da Silva","1980","06","01","Brazil","Pará","Tucuruí","Margem esquerda do Rio Tocantins, arredores do alojamento, piçarreira.","-49.6725","-3.76611",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2511343' target='other'> <mi>dwc_moreinfo</mi></a>","NY02332086","NY02332086_01",NA,NA,NA,NA,"5311","South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA
"9","2016-09-27 05:26:00-03","NY","NYBG","533444","PreservedSpecimen","Plantae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa reitzii","(M.C.Johnst.) M.C.Johnst.","R. L. Liesner",NA,NA,NA,"E. M. Zardini","1995","06","22","Paraguay","San Pedro",NA,"Yaguareté forest (Sustainable Forest Systems Site). Arroyo Mboi-Río Verde.","-56.15","-23.82",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35701' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533444",NA,NA,NA,NA,NA,"43096","South America","sheet",NA,"Magnoliophyta","Rosales","reitzii",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2332088","PreservedSpecimen","Plantae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa","Perkins",NA,NA,NA,NA,"G. T. Prance","1968","07","06","Brazil","Rondônia",NA,"South bank of Rio Madeira 2 km. above Mutumparaná",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2511356' target='other'> <mi>dwc_moreinfo</mi></a>","NY02332088","NY02332088_01",NA,NA,NA,NA,"5666","South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","2332092","PreservedSpecimen","Plantae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa","Perkins",NA,NA,NA,NA,"B. Luschnath",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2511360' target='other'> <mi>dwc_moreinfo</mi></a>","NY02332092","NY02332092_01",NA,NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00996161","PreservedSpecimen","Plantae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa reitzii","(M.C.Johnst.) M.C.Johnst.","M. C. Johnston",NA,NA,NA,"N. A. Rosa","1977","05","28","Brazil","Mato Grosso",NA,"R. Juruena, margem direita da cachoeira, Salto Augusto.","-58.5550234","-8.8856653",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102809' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996161","NY00996161_01",NA,NA,NA,NA,"2024","South America","sheet",NA,"Magnoliophyta","Rosales","reitzii",NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","533445","PreservedSpecimen","Plantae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa glandulosa","Perkins","M. C. Johnston",NA,NA,NA,"G. Klug","1936","05",NA,"Peru","San Martín",NA,"Juan Jui, Alto Río Huallaga.","-76.730683","-7.179499",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=573642' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533445",NA,"400","800",NA,NA,"4349","South America","sheet",NA,"Magnoliophyta","Rosales","glandulosa",NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","868859","PreservedSpecimen","Plantae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa reitzii","(M.C.Johnst.) M.C.Johnst.","G. L. Nesom",NA,NA,NA,"D. C. Daly","1989","07","28","Brazil","Acre","Porto Acre","Reserva Florestal Humaitá (of UFAC), 33 km NNE of Rio Branco on road to Porto Acre (AC-10), then several km W on Ramal de Canindê.","-67.62","-9.75",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35695' target='other'> <mi>dwc_moreinfo</mi></a>","NY00868859","NY00868859_01",NA,NA,NA,NA,"6114","South America","sheet",NA,"Magnoliophyta","Rosales","reitzii",NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","533440","PreservedSpecimen","Plantae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa reitzii","(M.C.Johnst.) M.C.Johnst.","M. C. Johnston",NA,NA,NA,"C. R. Sperling","1982","06","12","Brazil","Pará",NA,"Serra dos Carajás. Ferry Crossing on Rio Itacaiúnas.","-50.5","-5.88",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=35698' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533440","NY00533440_01","200","200",NA,NA,"6097","South America","sheet",NA,"Magnoliophyta","Rosales","reitzii",NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","884972","PreservedSpecimen","Plantae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa reitzii","(M.C.Johnst.) M.C.Johnst.","J. J. Marques",NA,NA,NA,"J. de S. Silva","1978","04","10","Brazil","São Paulo",NA,"Capital, Parque Estadual das Fontes do Ipiranga.","-46.621883","-23.654505",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970129' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884972","NY00884972_01",NA,NA,NA,NA,"452","South America","sheet",NA,"Magnoliophyta","Rosales","reitzii",NA,NA,NA,NA,NA,NA
"17","2016-09-29 15:38:00-03","NY","NYBG","533388","PreservedSpecimen","Plantae","Rhamnaceae","Colubrina","glandulosa","Colubrina glandulosa",NA,"R. Lima",NA,NA,NA,"A. Gehrt","1936","02","14","Brazil","São Paulo","Sao Paulo","Sao Paulo, mata natural do Parque da Avenida Paulista.","-46.63","-23.5403",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589841' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533388","NY00533388_01",NA,NA,NA,NA,"s.n.","South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA
