"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","355046","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","micrantha","Cryptocarya micrantha","Meisn.","isotype","L. Riedel","s.n.","South America","Brazil","Rio de Janeiro","Magé","In sylvis umbrosis circa Mandiocca.","-43.0406","-22.6531","sheet","23/10 Comm. ex Herb. Hort. Imp. Petropolit. 1859 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289586' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355046","NY00355046_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1144977","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","micrantha","Cryptocarya micrantha","Meisn.",NA,"P. L. Rodrigues de Moraes","2449","South America","Brazil","São Paulo","Iguape","Estação Ecológica Juréia-Itatins, Núcleo Rio Verde, Trilha da Figueira.","-47.24119","-24.54794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301736' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144977","NY01144977_01","P. L. Rodrigues de Moraes","2001","06","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1018084","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","micrantha","Cryptocarya micrantha","Meisn.",NA,"S. J. da Silva Neto","305","South America","Brazil","Rio de Janeiro","Nova Iguaçú","Estrada para Boa Esperança.","-43.4508","-22.7594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1248651' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018084","NY01018084_01",NA,"1993","10","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","03097857","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","micrantha","Cryptocarya micrantha","Meisn.",NA,"S. J. da Silva Neto","1587","South America","Brazil","Rio de Janeiro","Nova Iguaçu","Estr. para Itacolomi.","-43.451099395752","-22.7591991424561","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3343447' target='other'> <mi>dwc_moreinfo</mi></a>","NY03097857","NY03097857_01",NA,"2001","12","14","25743","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1039204","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","micrantha","Cryptocarya micrantha","Meisn.",NA,"M. P. M. de Lima","211","South America","Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Parcela 10A.","-42.883","-22.483","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482283' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039204","NY01039204_01","A. Quinet","1991","11","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1144974","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","micrantha","Cryptocarya micrantha","Meisn.",NA,"P. L. Rodrigues de Moraes","2426","South America","Brazil","São Paulo","Iguape","Estação Ecológica Juréia-Itatins, Núcleo Rio Verde","-47.24119","-24.54794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301731' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144974","NY01144974_01","P. L. Rodrigues de Moraes","2001","05","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1144978","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","micrantha","Cryptocarya micrantha","Meisn.",NA,"P. L. Rodrigues de Moraes","2451","South America","Brazil","São Paulo","Iguape","Estação Ecológica Juréia-Itatins, Núcleo Rio Verde, Trilha da Figueira.","-47.24119","-24.54794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301738' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144978","NY01144978_01","P. L. Rodrigues de Moraes","2001","06","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1144975","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cryptocarya","micrantha","Cryptocarya micrantha","Meisn.",NA,"P. L. Rodrigues de Moraes","2427","South America","Brazil","São Paulo","Iguape","Estação Ecológica Juréia-Itatins, Núcleo Rio Verde","-47.24119","-24.54794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301733' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144975","NY01144975_01","P. L. Rodrigues de Moraes","2001","05","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:05-03","UFRJ","RFA","24976","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cryptocarya","micrantha","Cryptocarya micrantha","Meisn.",NA,"Flávio de Brito Pereira","29/22",NA,"Brasil","Rio de Janeiro","Guapimirim","Fazenda São Francisco de Paula","-42.9818992614746","-22.5372009277344",NA,"Árvore, 9 m de altura, 16 cm de DAP, flores amarelas, folha verde.","RFA38477",NA,"A. Quinet","2000","07","19","21463","auto","2000","09","01","133","133",NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:20:05-03","UFRJ","RFA","26349","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cryptocarya","micrantha","Cryptocarya micrantha","Meisn.",NA,"F.B. Pereira","45/59",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Município de Abre Campo. 1° Distrito-Fazenda Cachoeira.","-42.525278","-20.208333",NA,"Árvore 12 m de altura, 10 cm de DAP. Folha verde; caule palha; raiz palha. fruto verde, comum no local.","RFA36317",NA,"A. Quinet","2000","12","22",NA,NA,"2001","09","06","584","584","42º31'31''W","20º12'30''S",NA,NA,NA,NA
