"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","monthIdentified","dayIdentified","continentOcean","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","infraspecificEpithet","fieldNumber","preparationType","order","class","typeStatus","sex"
"1","2020-11-04 11:14:07-03","ESALQ","ESA","99422","PreservedSpecimen","Plantae","Magnoliophyta","Monimiaceae","Macropeplus","dentatus","Macropeplus dentatus","(Perkins) I. Santos & Peixoto","Lírio, E.J.","2016","Forzza, R.C.","3196.0","2004","03","11","Brasil","Minas Gerais","Lima Duarte","-43.793098449707","-21.8425006866455","30417","ESA099422","ESA099422","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:14:07-03","ESALQ","ESA","15211","PreservedSpecimen","Plantae","Magnoliophyta","Monimiaceae","Macropeplus","dentatus","Macropeplus dentatus","(Perkins) I. Santos & Peixoto","Lírio, E.J.","2016","Barreto, K.D. et al.","1237.0","1993","09","22","Brasil","São Paulo","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","ESA015211","ESA015211","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:14:07-03","ESALQ","ESA","115833","PreservedSpecimen","Plantae","Magnoliophyta","Monimiaceae","Macropeplus","dentatus","Macropeplus dentatus",NA,NA,NA,"Elias, R.C.L.","10.0","2008","04","24","Brasil","Minas Gerais","Poços de Caldas","-46.5614013671875","-21.7877998352051","23696","ESA115833","ESA115833","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:14:07-03","ESALQ","ESA","21879","PreservedSpecimen","Plantae","Magnoliophyta","Monimiaceae","Macropeplus","dentatus","Macropeplus dentatus","(Perkins) I. Santos & Peixoto","Lírio, E.J.","2016","Tamashiro, J.Y. et al.","867.0","1995","04","13","Brasil","São Paulo","São Bento do Sapucai","-45.7299995422363","-22.6800003051758","18089","ESA021879","ESA021879","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:31:46-03","MN","R","23329","PreservedSpecimen","Plantae",NA,"Monimiaceae","Macropeplus","dentatus","Macropeplus dentatus","(Perkins) I. Santos & Peixoto","Santos, I.S.S.","1999","Glaziou, A.F.M.; Schwacke, C.A.W.",NA,"1879","09","09","Brasil",NA,NA,NA,NA,NA,"R000023329","R000023329_001",NA,"08","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:39:54-03","UFJF","CESJ","70301","PreservedSpecimen","Plantae","Angiosperma","Monimiaceae","Macropeplus","dentatus","Macropeplus dentatus","(Perkins) I. Santos & Peixoto","J.H.C. Ribeiro","2017","J.H.C. Ribeiro","623","2015","10","31","Brasil","MInas Gerais","Baependi","-44.761111","-22.1225",NA,"CESJ070301",NA,NA,NA,NA,"América do Sul","Parque Estadual da Serra do Papagaio, Chapadão","-44.761111","-22.1225","1910","1910","Árvore, 5m, no interior de floresta nebular. Flores creme, pecíolos vermelhos. Indivíduo 3055 da fitossociologia.",NA,NA,NA,NA,NA,NA,NA
"7","2019-11-21 14:39:54-03","UFJF","CESJ","72165","PreservedSpecimen","Plantae","Angiosperma","Monimiaceae","Macropeplus","dentatus","Macropeplus dentatus","(Perkins) I. Santos & Peixoto","E.J. de Lírio","2016","E.J. de Lirio","1327","2015","06","02","Brasil","Minas Gerais","Rio Preto","-43.8278007507324","-22.0891990661621","20815","CESJ072165",NA,"auto","11",NA,"América do Sul","Serra Negra, trilha para o Ninho da Égua",NA,NA,NA,NA,"Arbusto 3m, frutos verdes.",NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:39:54-03","UFJF","CESJ","72164","PreservedSpecimen","Plantae","Angiosperma","Monimiaceae","Macropeplus","dentatus","Macropeplus dentatus","(Perkins) I. Santos & Peixoto","E.J. de Lírio","2016","E.J. de Lirio","1331","2015","06","02","Brasil","Minas Gerais","Rio Preto","-43.8278007507324","-22.0891990661621","20815","CESJ072164",NA,"auto","11",NA,"América do Sul","Serra Negra, trilha para o Ninho da Égua",NA,NA,NA,NA,"Em interior de mata, próximo a afloramenteo rochoso. Material em sílica.",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:35:44-03","UNICAMP","UEC","125750","S","Plantae","Magnoliopsida","Monimiaceae","Macropeplus","dentatus","Macropeplus dentatus","(Perkins) I.Santos & Peixoto","Lirio, EJ","2016","Kinoshita, LS; Meireles, LD; Galvão, JC; Aguirre, GH; Moraes, AR","42","2002","05","16","Brazil","Minas Gerais","Camanducaia","-46.021472","-22.887694",NA,"UEC087529","UEC087529",NA,NA,NA,NA,"Monte Verde, Pedra Redonda","-46.021472","-22.887694",NA,NA,"árvore 7m, frutos roxos/negros",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:35:44-03","UNICAMP","UEC","121006","S","Plantae","Magnoliopsida","Monimiaceae","Macropeplus","dentatus","Macropeplus dentatus","(Perkins) I.Santos & Peixoto",NA,"2016","Meireles, LD; Flores, A; Rodrigues, RS; Belinello, R","590","2001","09","19","Brazil","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","UEC087531","UEC087531","auto",NA,NA,NA,"Monte Verde, afloramento de platô",NA,NA,NA,NA,"árvore 4m, flores amarelas",NA,NA,NA,NA,NA,NA,NA
