"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","previousCatalogNumber","geoFlag","individualCount","typeStatus","verbatimLongitude","verbatimLatitude","class","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00857879","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Cyanocephalus","viaticus","Cyanocephalus viaticus","(Harley) Harley & J.F.B.Pastore","R. M. Harley","25222","1988","10","20","South America","Brazil","Minas Gerais","Pedra Azul","6km ao sul da cidade na estrada para Jequitinhonha.","-41.2969","-16.0056","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=946544' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857879","NY00857879_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-27 16:43:59-03","UFSC","CTBS","2391","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","viaticus","Cyanocephalus viaticus","(Harley) Harley & J.F.B.Pastore","Andrade, I.R. et al.",NA,"2003","05","10",NA,"Brasil","Minas Gerais","Pedra Azul",NA,"-41.2971992492676","-16.0053005218506",NA,NA,NA,"Bioma Caatinga; Hábito subarbustivo; Flores roxas.",NA,NA,"Harley, R.M.","2015","02","10","39993","BHZB 3785","auto",NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:30:21-03","MBM","MBM","249527","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","viatica","Hyptis viatica","R.M. Harley","Harley, R.M.; et al.; et al.","24664",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Pedra Azul","Estrada Pedra Azul, Rod. BR-116","-41.2971992492676","-16.0053005218506",NA,NA,NA,NA,"MBM249527","MBM249527","Harley, R.M.",NA,NA,NA,"39993",NA,"auto",NA,NA,NA,NA,NA,NA
"4","2020-12-11 11:36:54-03","UFMG","BHCB","48523","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lamiaceae","Hyptis","viatica","Hyptis viatica","Harley",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2018-02-25 05:30:00-03","MO","MOBOT","2911537","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","viaticus","Cyanocephalus viaticus","(Harley) Harley & J.F.B. Pastore","R.M. Harley|Ana M. Giulietti|B.L. Stannard|David J.N. Hind|C. Kameyama|J. F. Prado|P. Rudall|Rosângela Simão-Bianchini|Nigel P. Taylor|Daniela C. Zappi","Harley 25222","1988","10","20","South America","Brazil","Minas Gerais",NA,"Pedra Azu. 6 km. ao sul da cidade na estrada para Jequitinhonha. Encosta rochosa de afloramento gnáissico.","-41.2333333","-16.05","700.00000000",NA,NA,NA,NA,NA,"R.Liesner (MO)",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"6","2012-08-14 12:51:00-03","MO","MOBOT","100508656","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","viatica","Hyptis viatica","Harley","Pereira","Pereira 9807","1965","1","30","South America","Brazil","Minas Gerais",NA,"BR 4, km 878-879.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Holotype",NA,NA,NA,NA
"7","2015-08-13 05:50:00-03","MO","MOBOT","2911339","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","viatica","Hyptis viatica","Harley","R.M. Harley","Harley 25199","1988","10","19","South America","Brazil","Minas Gerais",NA,"Pedra Azul. 10 km. ao leste da cidade, na estrada para Almenara. Lajedo granitico. Erva com cerca de 20 cm de altura.","-41.2","-16.13333","1000.00000000",NA,NA,NA,NA,NA,"R.M. Harley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:54-03","FZB-BH","BHZB","4519","S","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","viaticus","Cyanocephalus viaticus",NA,"Fernandes, M.G.C.",NA,"2004","03","19",NA,"Brasil","MG","Pedra Azul","Fazenda Bom Jardim. Coordenadas: 16°03'33 S, 41°17'26 W.","-41.290556","-16.059167",NA,NA,NA,"Sobre afloramento granítico.Anteriormente identificada como Hyptis sp.",NA,NA,"R. M. Harley","2015","02","10",NA,NA,NA,NA,NA,"41W 17' 26","16S 03' 33",NA,NA
"9","2019-06-10 10:10:54-03","FZB-BH","BHZB","3785","S","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","viaticus","Cyanocephalus viaticus",NA,"Andrade, I.R. et al.",NA,"2003","05","10",NA,"Brasil","MG","Pedra Azul",NA,"-41.2971992492676","-16.0053005218506",NA,NA,NA,"Doação de duplicata para herbário CTBS em julho 2016. Doação de duplicata para Herbário HUEFS , Maio 2019",NA,NA,"R. M. Harley","2015","02","10","39993",NA,"auto",NA,NA,NA,NA,NA,NA
"10","2019-11-13 11:20:36-03","USP","SPF","80558","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Cyanocephalus","viaticus","Cyanocephalus viaticus","(Harley) Harley & J.F.B.Pastore","Harley, RM","25199","1988","10","19",NA,"Brasil","Minas Gerais","Pedra Azul",NA,"-41.2","-16.133333","1000","1000",NA,NA,"SPF00080558","SPF00080558","Silva-Luz, CL","2015",NA,NA,NA,NA,NA,NA,NA,"-41.2","-16.133333",NA,NA
